lemmata EN;bn:id;wn_synset;Column4;description;confidence
7″_single;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
biggest_singles;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
single_players;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
45_rpm_single;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
physical_single;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
7-inch_record;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
single_plays;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
sps;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
"\7\""\""_single\""""";bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
7-inch_records;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
45-rpm_record;bn:00789872n;wn:6592078n;I;an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional);0.5797535181045532
sioux_music;bn:00791135n;wn:9669631n;T;a member of the large western branch of Sioux people which was made up of several groups that lived on the plains;0.7516838908195496
dakota_music;bn:00791135n;wn:9669631n;T;a member of the large western branch of Sioux people which was made up of several groups that lived on the plains;0.7516838908195496
nakota_music;bn:00791135n;wn:9669631n;T;a member of the large western branch of Sioux people which was made up of several groups that lived on the plains;0.7516838908195496
lakota_music;bn:00791135n;wn:9669631n;T;a member of the large western branch of Sioux people which was made up of several groups that lived on the plains;0.7516838908195496
iroquois_music;bn:00791149n;wn:8305277n;T;"a league of Iroquois tribes including originally the Mohawk, Oneida, Onondaga, Cayuga and Seneca (the Five Nations); after 1722 they were joined by the Tuscarora (the Six Nations)";0.7266087532043457
ondō;bn:00795268n;wn:6911180n;O;a Siouan language spoken by the Ofo;0.4362999200820923
ondo;bn:00795268n;wn:6911180n;O;a Siouan language spoken by the Ofo;0.4362999200820923
stutter_edit;bn:00795601n;wn:14004958n;T;(music) a tremulous effect produced by rapid repetition of a single tone or rapid alternation of two tones;0.5785995721817017
piano_four_hands;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
vier_händen;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
a_quattro_mani;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
piano_four-hands;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
four_hands;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
piano_4_hands;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
four_hand_piano;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
zu_vier_händen;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
vierhändig;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
piano;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
four-hand_piano;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
secondo;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
a_quatre_mains;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
quattro_mani;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
piano_four_hand;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
à_quatre_mains;bn:00796621n;wn:7031276n;P;the principal part of a duet (especially a piano duet);0.6486166715621948
furiant;bn:00797855n;wn:538144n;"\"",a Bohemian dance with 3 steps and a hop in fast time,0.6193795800209045";;
sustain;bn:00799530n;wn:9684226n;S;an adherent of Hinayana Buddhism;0.388532429933548
hemiola;bn:00804704n;wn:6857986n;I;"(music) the third note of a diatonic scale; midway between the tonic and the dominant";0.4603956937789917
african_hemiola_style;bn:00804704n;wn:6857986n;I;"(music) the third note of a diatonic scale; midway between the tonic and the dominant";0.4603956937789917
emiolia;bn:00804704n;wn:6857986n;I;"(music) the third note of a diatonic scale; midway between the tonic and the dominant";0.4603956937789917
ambiophonics;bn:00805165n;wn:4030965n;A;a stereophonic sound recording or reproducing system using four separate channels;0.5931344032287598
afrocubanismo;bn:00809924n;wn:6225505n;A;"a Brazilian religious cult of African origin; combines voodoo elements with singing and chanting and dancing";0.5302262902259827
nigun;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
hasidic_music;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
nign;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
chassidic_music;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
nigunim;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
niggun;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
niggunim;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
chasidic_music;bn:00811735n;wn:9521051n;A;a name under which Ninkhursag was worshipped;0.5140807032585144
organ_concerto;bn:00817347n;wn:7041125n;A;composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance;0.5893551111221313
dappan_koothu;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
tappaankuthu;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
dappankuthu;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
dappanguthu;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
tappankuthu;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
dappaankuthu;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
tapanguchi;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
dappaan_koothu;bn:00817931n;wn:10240715n;D;a musician who plays the koto;0.4306997060775757
min'yō;bn:00818980n;wn:7056113n;M;"a stately piece of music composed for dancing the minuet; often incorporated into a sonata or suite";0.4359973073005676
min'yo;bn:00818980n;wn:7056113n;M;"a stately piece of music composed for dancing the minuet; often incorporated into a sonata or suite";0.4359973073005676
nippon_minyo;bn:00818980n;wn:7056113n;M;"a stately piece of music composed for dancing the minuet; often incorporated into a sonata or suite";0.4359973073005676
min'you;bn:00818980n;wn:7056113n;M;"a stately piece of music composed for dancing the minuet; often incorporated into a sonata or suite";0.4359973073005676
rondador;bn:00819893n;wn:3245724n;T;a pipe of the bagpipe that is tuned to produce a single continuous tone;0.5688855051994324
balaban;bn:00819875n;wn:2891788n;B;a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece;0.5408843755722046
yasti_balaban;bn:00819875n;wn:2891788n;B;a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece;0.5408843755722046
comprimario;bn:00820643n;wn:7026920n;A;"opera in which the musical and dramatic elements are equally important; the music is appropriate to the action";0.6370783448219299
zoroastrian_music;bn:00821669n;wn:9686146n;Z;follower of Zoroaster and Zoroastrianism;0.6985384225845337
zarathustran_music;bn:00821669n;wn:9686146n;Z;follower of Zoroaster and Zoroastrianism;0.6985384225845337
underground_music;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground_bands;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
musik_'underground';bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground_scene;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground_musician;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground_rock;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground_musicians;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground_band;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
underground_music_industry;bn:00821856n;wn:7060167n;"\"",the traditional and typically anonymous music that is an expression of the life of people in a community,0.6327117085456848";;
parlour_song;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlour_music;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlor_song;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlour_songs;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlor_music;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlour_mode;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
submediant-octave_mode;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlor_songs;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlour_chord;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlor_ballad;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlour_ballads;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
mediant-octave_mode;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
pseudo-phrygian_mode;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
mediant-octave_modal_frame;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
parlour_ballad;bn:00822665n;wn:9760913n;P;a person who provides musical accompaniment (usually on a piano);0.5181725025177002
psychoanalysis_and_music;bn:00825954n;wn:4983402n;M;the property of sounding like music;0.6625308990478516
music&psychoanalysis;bn:00825954n;wn:4983402n;M;the property of sounding like music;0.6625308990478516
eye_music;bn:00832482n;wn:5620050n;E;(music) brilliance of display (as in the performance of music);0.5281049013137817
augenmusik;bn:00832482n;wn:5620050n;E;(music) brilliance of display (as in the performance of music);0.5281049013137817
passamezzo_antico;bn:00833972n;wn:2630402a;T;relating to or influenced by antinomianism;0.40955331921577454
passo_e_mezzo;bn:00833972n;wn:2630402a;T;relating to or influenced by antinomianism;0.40955331921577454
uruguayan_rock;bn:00834789n;wn:9746936n;U;a native or inhabitant of Uruguay;0.5414670705795288
christian_music_industry;bn:00837340n;wn:7061968n;T;a secular form of gospel that was a major Black musical genre in the 1960s and 1970s;0.5960780382156372
gospel_music_industry;bn:00837340n;wn:7061968n;T;a secular form of gospel that was a major Black musical genre in the 1960s and 1970s;0.5960780382156372
contemporary_christian_music_industry;bn:00837340n;wn:7061968n;T;a secular form of gospel that was a major Black musical genre in the 1960s and 1970s;0.5960780382156372
manual;bn:00837758n;wn:3614532n;A;a musical instrument that is played by means of a keyboard;0.5895400047302246
organ_manual;bn:00837758n;wn:3614532n;A;a musical instrument that is played by means of a keyboard;0.5895400047302246
keyboard_manual;bn:00837758n;wn:3614532n;A;a musical instrument that is played by means of a keyboard;0.5895400047302246
hoofdwerk;bn:00837758n;wn:3614532n;A;a musical instrument that is played by means of a keyboard;0.5895400047302246
manualiter;bn:00837758n;wn:3614532n;A;a musical instrument that is played by means of a keyboard;0.5895400047302246
forró;bn:00839108n;wn:7060697n;T;a genre of popular music composed for ballroom dancing;0.49603748321533203
forro_pe-de-serra;bn:00839108n;wn:7060697n;T;a genre of popular music composed for ballroom dancing;0.49603748321533203
forro;bn:00839108n;wn:7060697n;T;a genre of popular music composed for ballroom dancing;0.49603748321533203
forró_pé-de-serra;bn:00839108n;wn:7060697n;T;a genre of popular music composed for ballroom dancing;0.49603748321533203
forró_pé-de_serra;bn:00839108n;wn:7060697n;T;a genre of popular music composed for ballroom dancing;0.49603748321533203
african_popular_music;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
afropop;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
afrobeats;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
african_pop_music;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
afropop_music;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
afro_pop;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
afro-pop;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
afro_pop_music;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
african_pop;bn:00839613n;wn:7061180n;A;"a kind of danceable music popular among black South Africans; includes a whistle among its instruments";0.7320002913475037
educational_music;bn:00840901n;wn:8283649n;E;a school for the study of music;0.688100278377533
brukdown;bn:00841580n;wn:8283649n;B;a school for the study of music;0.41281235218048096
harmonica_techniques;bn:00842254n;wn:2147567s;T;shaped in the form of a harp;0.46431276202201843
blues-harp;bn:00842254n;wn:2147567s;T;shaped in the form of a harp;0.46431276202201843
cross_harping;bn:00842254n;wn:2147567s;T;shaped in the form of a harp;0.46431276202201843
cross_harp;bn:00842254n;wn:2147567s;T;shaped in the form of a harp;0.46431276202201843
richter-tuned_harmonica;bn:00842245n;wn:2147567s;T;shaped in the form of a harp;0.5249900817871094
blues_harp;bn:00842245n;wn:2147567s;T;shaped in the form of a harp;0.5249900817871094
richter_tuned_harmonica;bn:00842245n;wn:2147567s;T;shaped in the form of a harp;0.5249900817871094
blues_harmonica;bn:00842245n;wn:2147567s;T;shaped in the form of a harp;0.5249900817871094
10-hole_harmonica;bn:00842245n;wn:2147567s;T;shaped in the form of a harp;0.5249900817871094
harmonica_blues;bn:00842245n;wn:2147567s;T;shaped in the form of a harp;0.5249900817871094
uk_hard_house;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
hard_house;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
scouse_house;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
subground;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
hardhouse;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
hard_bounce;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
pumping_house;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
bouncy_house;bn:00846386n;wn:4157099n;U;"a small room (in large old British houses) next to the kitchen; where kitchen utensils are cleaned and kept and other rough household jobs are done";0.44272905588150024
technical_death_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
progressive_death_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tech-death;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tekk-death;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
prog_death;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
progdeath;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
progessive_death_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tekk_death_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tekk_death;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
technical_death;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
techdeath;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tekk-death_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
prog-death;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tech-death_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tech_death;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
techdeath_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
tech_death_metal;bn:00847706n;wn:10311995n;T;a fan of heavy metal music;0.5614744424819946
rockism;bn:00850157n;wn:10535881n;R;a performer or composer or fan of rock music;0.6039919853210449
rockism_and_poptimism;bn:00850157n;wn:10535881n;R;a performer or composer or fan of rock music;0.6039919853210449
rockist;bn:00850157n;wn:10535881n;R;a performer or composer or fan of rock music;0.6039919853210449
rockists;bn:00850157n;wn:10535881n;R;a performer or composer or fan of rock music;0.6039919853210449
cycle;bn:00851397n;wn:15122011n;C;(music) the beat of musical rhythm;0.5939840078353882
cycle_of_compositions;bn:00851397n;wn:15122011n;C;(music) the beat of musical rhythm;0.5939840078353882
composition_cycle;bn:00851397n;wn:15122011n;C;(music) the beat of musical rhythm;0.5939840078353882
compositional_cycle;bn:00851397n;wn:15122011n;C;(music) the beat of musical rhythm;0.5939840078353882
level;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
tonal_step;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
tonality_level;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
root_progression;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
foundation_note;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
shift_of_level;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
shift_of_level_principle;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
shifts_of_level;bn:00852162n;wn:236668r;"\"",without tonality,0.5767987966537476";;
;bn:00852160n;wn:414619r;O;in an optional manner;0.755057692527771
jazz_guitar;bn:00853099n;wn:10220486n;"\"",a musician who plays or composes jazz music,0.6361480355262756";;
chord_solo;bn:00853099n;wn:10220486n;"\"",a musician who plays or composes jazz music,0.6361480355262756";;
chord_melody;bn:00853099n;wn:10220486n;"\"",a musician who plays or composes jazz music,0.6361480355262756";;
electric_guitar;bn:00853099n;wn:10220486n;"\"",a musician who plays or composes jazz music,0.6361480355262756";;
bass_pedals;bn:00858515n;wn:1728052v;B;operate the pedals on a keyboard instrument;0.6084226369857788
bass_pedal;bn:00858515n;wn:1728052v;B;operate the pedals on a keyboard instrument;0.6084226369857788
c_minor;bn:00860254n;wn:6864308n;C;a key based on the minor scale;0.6170673370361328
c-moll;bn:00860254n;wn:6864308n;C;a key based on the minor scale;0.6170673370361328
c-minor;bn:00860254n;wn:6864308n;C;a key based on the minor scale;0.6170673370361328
power_chord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
indeterminate_chord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
spider_chord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
fifth_chord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
power_chords;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
5th_chord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
spider_cord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
open-fifth_chord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
powerchord;bn:00862644n;wn:3272010n;A;a guitar whose sound is amplified by electrical means;0.5669488906860352
heartland_rock;bn:00865060n;wn:7065740n;H;"rock music with deliberately offensive lyrics expressing anger and social alienation; in part a reaction against progressive rock";0.5289520025253296
southern_rock;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
southern_metal;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
southern-rock;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
southern_rock/metal;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
1980s_southern_rock;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
1990s_southern_rock;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
southern_hardcore;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
1960s_southern_rock;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
southern_boogie;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
cowboy_rock;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
1970s_southern_rock;bn:00869997n;wn:1605445s;S;located in the south or characteristic of southern people or places;0.5692853927612305
arena_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
corporate_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
stadium_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
1960s_aor;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
anthem_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
1970s_stadium_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
a.o.r._-_adult_oriented_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
1970s_aor;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
pomp_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
arena-rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
melodic_hard_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
1960s_album-oriented_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
1960s_arena_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
1970s_arena_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
1960s_stadium_rock;bn:00870001n;wn:7065333n;A;"a style of rock music that emerged in the 1970s; associated with attempts to combine rock with jazz and other forms; intended for listening and not dancing";0.6624670028686523
bajo_sexto;bn:00871044n;wn:4224842n;B;"a stringed instrument of India; has a long neck and movable frets; has 6 or 7 metal strings for playing and usually 13 resonating strings";0.5199534893035889
acordeón;bn:00871044n;wn:4224842n;B;"a stringed instrument of India; has a long neck and movable frets; has 6 or 7 metal strings for playing and usually 13 resonating strings";0.5199534893035889
bajo_quinto;bn:00871044n;wn:4224842n;B;"a stringed instrument of India; has a long neck and movable frets; has 6 or 7 metal strings for playing and usually 13 resonating strings";0.5199534893035889
bajo-sexto;bn:00871044n;wn:4224842n;B;"a stringed instrument of India; has a long neck and movable frets; has 6 or 7 metal strings for playing and usually 13 resonating strings";0.5199534893035889
sixth_bass;bn:00871044n;wn:4224842n;B;"a stringed instrument of India; has a long neck and movable frets; has 6 or 7 metal strings for playing and usually 13 resonating strings";0.5199534893035889
rōkyoku;bn:00871823n;wn:10122858n;R;a Japanese woman trained to entertain men with conversation and singing and dancing;0.4473331570625305
naniwa-bushi;bn:00871823n;wn:10122858n;R;a Japanese woman trained to entertain men with conversation and singing and dancing;0.4473331570625305
rokyoku;bn:00871823n;wn:10122858n;R;a Japanese woman trained to entertain men with conversation and singing and dancing;0.4473331570625305
naniwa_bushi;bn:00871823n;wn:10122858n;R;a Japanese woman trained to entertain men with conversation and singing and dancing;0.4473331570625305
naniwabushi;bn:00871823n;wn:10122858n;R;a Japanese woman trained to entertain men with conversation and singing and dancing;0.4473331570625305
roukyoku;bn:00871823n;wn:10122858n;R;a Japanese woman trained to entertain men with conversation and singing and dancing;0.4473331570625305
post-grunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
post_grunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
pop_grunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
nu-grunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
alt-grunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
post-grunge_music;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
alternative_grunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
postgrunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
1990s_post-grunge;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
generation_xi;bn:00872662n;wn:6892979n;P;a performance of rock music;0.5312229990959167
cantabile;bn:00874901n;wn:4983688n;"\"",the property of being suitable for singing,0.5161128640174866";;
gesangvoll;bn:00874901n;wn:4983688n;"\"",the property of being suitable for singing,0.5161128640174866";;
enka;bn:00875658n;wn:7025900n;E;traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste;0.5090882182121277
