wn_synset,bn:id,pos,lemmata EN,definition,lemmata FR,is it related to music?
,bn:00035477n,,"flute, transverse_flute, side-blown_flute, side-blown_flutes, flutes, fluter, flute-player, flautista, floutist, the_flute, flutenist, jazz_flutist, fluteplaying, edge-blown_aerophone, flöte, edge-blown_aerophones, wooden_flute, classical_flautist, flute_playing, floete, fluteplayer, flute-playing",A high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,badakshani,YES
,bn:00035477n,,"flute, transverse_flute, side-blown_flute, side-blown_flutes, flutes, fluter, flute-player, flautista, floutist, the_flute, flutenist, jazz_flutist, fluteplaying, edge-blown_aerophone, flöte, edge-blown_aerophones, wooden_flute, classical_flautist, flute_playing, floete, fluteplayer, flute-playing",A high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,flutes,YES
,bn:00035477n,,"flute, transverse_flute, side-blown_flute, side-blown_flutes, flutes, fluter, flute-player, flautista, floutist, the_flute, flutenist, jazz_flutist, fluteplaying, edge-blown_aerophone, flöte, edge-blown_aerophones, wooden_flute, classical_flautist, flute_playing, floete, fluteplayer, flute-playing",A high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,flutiste,YES
,bn:00035477n,,"flute, transverse_flute, side-blown_flute, side-blown_flutes, flutes, fluter, flute-player, flautista, floutist, the_flute, flutenist, jazz_flutist, fluteplaying, edge-blown_aerophone, flöte, edge-blown_aerophones, wooden_flute, classical_flautist, flute_playing, floete, fluteplayer, flute-playing",A high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,flûtiste,YES
,bn:00035477n,,"flute, transverse_flute, side-blown_flute, side-blown_flutes, flutes, fluter, flute-player, flautista, floutist, the_flute, flutenist, jazz_flutist, fluteplaying, edge-blown_aerophone, flöte, edge-blown_aerophones, wooden_flute, classical_flautist, flute_playing, floete, fluteplayer, flute-playing",A high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,pipeau,YES
,bn:00035574n,,"foghorn, fogsignal, fog_signal",A loud low warning signal that can be heard by fogbound ships,corne_de_brume,YES
,bn:00035574n,,"foghorn, fogsignal, fog_signal",A loud low warning signal that can be heard by fogbound ships,fogsignal,YES
,bn:00035610n,,"folk_dance, folk_dancing, traditional_dance, folk_dances, ethnic_dance, traditional_dances",A style of dancing that originated among ordinary people (not in the royal courts),danse_traditionnelle,YES
,bn:00035610n,,"folk_dance, folk_dancing, traditional_dance, folk_dances, ethnic_dance, traditional_dances",A style of dancing that originated among ordinary people (not in the royal courts),danse_folklorique,YES
,bn:00035610n,,"folk_dance, folk_dancing, traditional_dance, folk_dances, ethnic_dance, traditional_dances",A style of dancing that originated among ordinary people (not in the royal courts),danses_traditionnelles,YES
,bn:00035610n,,"folk_dance, folk_dancing, traditional_dance, folk_dances, ethnic_dance, traditional_dances",A style of dancing that originated among ordinary people (not in the royal courts),groupe_folklorique,YES
,bn:00035610n,,"folk_dance, folk_dancing, traditional_dance, folk_dances, ethnic_dance, traditional_dances",A style of dancing that originated among ordinary people (not in the royal courts),danse_ethnique,YES
,bn:00035610n,,"folk_dance, folk_dancing, traditional_dance, folk_dances, ethnic_dance, traditional_dances",A style of dancing that originated among ordinary people (not in the royal courts),danses_folkloriques,YES
,bn:00035611n,,"folk_dancer, folk_dancers",Someone who does folk dances,danseuse_folklorique,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,troubadour,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,troubadours,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,ménestrel,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,trobador,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,jongleur,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,trouvère,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,ménétrier,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,femme-troubadour,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,troubadouresse,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,trobairitz,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,poète-chanteur,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,ménestrels,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,chanteur_folk,YES
,bn:00035614n,,"troubadour, minstrel, folk_singer, jongleur, poet-singer, trobadors, trovadoras, troubadours, trobadour, trovadora, trovador, trovatore, traubadours, troubador, troubadors, troubadour_poetry, trovadors, trovatores, trubador, trobador, troubadour_lyric",A singer of folk songs,chanteuse_folk,YES
,bn:00035727n,,"footfall, footstep, step",The sound of a step of someone walking,pas,YES
,bn:00035727n,,"footfall, footstep, step",The sound of a step of someone walking,disposition,YES
,bn:00035727n,,"footfall, footstep, step",The sound of a step of someone walking,étape,YES
,bn:00035727n,,"footfall, footstep, step",The sound of a step of someone walking,bruit_de_pas,YES
,bn:00035727n,,"footfall, footstep, step",The sound of a step of someone walking,mesure,YES
,bn:00036092n,,"four-part_harmony, four-part_writing, four-line_harmony, four_part_harmony, four-voice_texture, four-voice_harmony",Harmony in which each chord has four notes that create four melodic lines,harmonie_à_quatre_voix,YES
,bn:00036112n,,fourth,The musical interval between one note and another four notes away from it,quart,YES
,bn:00036112n,,fourth,The musical interval between one note and another four notes away from it,quatrième,YES
,bn:00036134n,,"foxtrot, fox-trot, fox_trot, slow_foxtrot, slowfox, jasondows, foxtrot,_the_cartoon",A ballroom dance in quadruple time; combines short and long and fast and slow steps fixed sequences,foxtrot,YES
,bn:00036134n,,"foxtrot, fox-trot, fox_trot, slow_foxtrot, slowfox, jasondows, foxtrot,_the_cartoon",A ballroom dance in quadruple time; combines short and long and fast and slow steps fixed sequences,slow_fox,YES
,bn:00036134n,,"foxtrot, fox-trot, fox_trot, slow_foxtrot, slowfox, jasondows, foxtrot,_the_cartoon",A ballroom dance in quadruple time; combines short and long and fast and slow steps fixed sequences,slowfox,YES
,bn:00036134n,,"foxtrot, fox-trot, fox_trot, slow_foxtrot, slowfox, jasondows, foxtrot,_the_cartoon",A ballroom dance in quadruple time; combines short and long and fast and slow steps fixed sequences,fox-trot,YES
,bn:00036134n,,"foxtrot, fox-trot, fox_trot, slow_foxtrot, slowfox, jasondows, foxtrot,_the_cartoon",A ballroom dance in quadruple time; combines short and long and fast and slow steps fixed sequences,slow-fox,YES
,bn:00036337n,,"free-reed, free_reed",A reed that does not fit closely over the aperture,anches_libres,YES
,bn:00036338n,,"free-reed_instrument, free_reed_aerophone, reed_instrument, list_of_free_reed_instruments, free_reeds, sets_of_free_reeds, harmonica, free_reed_vibrator, free_reed_instrument, free-reed_aerophone, interruptive_free_reed_aerophone, plosive_free_reed_aerophone, displacement_free_reed_aerophone, harmonicum, reed_or_free_reed_aerophone",A wind instrument with a free reed,instrument_à_anche_libre,YES
,bn:00036338n,,"free-reed_instrument, free_reed_aerophone, reed_instrument, list_of_free_reed_instruments, free_reeds, sets_of_free_reeds, harmonica, free_reed_vibrator, free_reed_instrument, free-reed_aerophone, interruptive_free_reed_aerophone, plosive_free_reed_aerophone, displacement_free_reed_aerophone, harmonicum, reed_or_free_reed_aerophone",A wind instrument with a free reed,instrument_à_anche,YES
,bn:00036338n,,"free-reed_instrument, free_reed_aerophone, reed_instrument, list_of_free_reed_instruments, free_reeds, sets_of_free_reeds, harmonica, free_reed_vibrator, free_reed_instrument, free-reed_aerophone, interruptive_free_reed_aerophone, plosive_free_reed_aerophone, displacement_free_reed_aerophone, harmonicum, reed_or_free_reed_aerophone",A wind instrument with a free reed,anche_libre,YES
,bn:00036338n,,"free-reed_instrument, free_reed_aerophone, reed_instrument, list_of_free_reed_instruments, free_reeds, sets_of_free_reeds, harmonica, free_reed_vibrator, free_reed_instrument, free-reed_aerophone, interruptive_free_reed_aerophone, plosive_free_reed_aerophone, displacement_free_reed_aerophone, harmonicum, reed_or_free_reed_aerophone",A wind instrument with a free reed,instrument_a_anche_libre,YES
,bn:00036338n,,"free-reed_instrument, free_reed_aerophone, reed_instrument, list_of_free_reed_instruments, free_reeds, sets_of_free_reeds, harmonica, free_reed_vibrator, free_reed_instrument, free-reed_aerophone, interruptive_free_reed_aerophone, plosive_free_reed_aerophone, displacement_free_reed_aerophone, harmonicum, reed_or_free_reed_aerophone",A wind instrument with a free reed,anches_libres,YES
,bn:00036338n,,"free-reed_instrument, free_reed_aerophone, reed_instrument, list_of_free_reed_instruments, free_reeds, sets_of_free_reeds, harmonica, free_reed_vibrator, free_reed_instrument, free-reed_aerophone, interruptive_free_reed_aerophone, plosive_free_reed_aerophone, displacement_free_reed_aerophone, harmonicum, reed_or_free_reed_aerophone",A wind instrument with a free reed,anches_libres_instrument,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,cor,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,trompe_de_chasse,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,cor_français,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,trompe_de_france,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,cor_d'harmonie,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,cors_français,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,corne,YES
,bn:00036444n,,"horn, french_horn, french_hunting_horn, trompe_de_chasse",A brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves,cor_de_chasse,YES
,bn:00036503n,,"fret, fret_buzz, fretted_instrument, fretted_instruments, frets, guitar_fret",A small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch,frette,YES
,bn:00036503n,,"fret, fret_buzz, fretted_instrument, fretted_instruments, frets, guitar_fret",A small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch,touchette,YES
,bn:00036503n,,"fret, fret_buzz, fretted_instrument, fretted_instruments, frets, guitar_fret",A small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch,frettes,YES
,bn:00037339n,,gargle,The sound produced while gargling,gargarisme,YES
,bn:00037536n,,"gavotte, tempo_di_gavotta, gavote, gavot",An old formal French dance in quadruple time,gavotte,YES
,bn:00040675n,,glissade,(ballet) a gliding or sliding step in ballet,glissade,YES
,bn:00040867n,,gobble,The characteristic sound made by a turkey cock,avaler,YES
,bn:00041049n,,"gong, tam-tam, gongs, prime, bossed, pitched_gong, nipple_gongs, suspended_gongs, bowl_gongs, luo, water_gong, wind_gong, nipple_gong, pitched_gongs, chau_gong, chinese_gong, opera_gong, tamtam, pot_gong",A percussion instrument consisting of a metal plate that is struck with a softheaded drumstick,gong,YES
,bn:00041049n,,"gong, tam-tam, gongs, prime, bossed, pitched_gong, nipple_gongs, suspended_gongs, bowl_gongs, luo, water_gong, wind_gong, nipple_gong, pitched_gongs, chau_gong, chinese_gong, opera_gong, tamtam, pot_gong",A percussion instrument consisting of a metal plate that is struck with a softheaded drumstick,gongs,YES
,bn:00041049n,,"gong, tam-tam, gongs, prime, bossed, pitched_gong, nipple_gongs, suspended_gongs, bowl_gongs, luo, water_gong, wind_gong, nipple_gong, pitched_gongs, chau_gong, chinese_gong, opera_gong, tamtam, pot_gong",A percussion instrument consisting of a metal plate that is struck with a softheaded drumstick,tam-tam,YES
,bn:00041049n,,"gong, tam-tam, gongs, prime, bossed, pitched_gong, nipple_gongs, suspended_gongs, bowl_gongs, luo, water_gong, wind_gong, nipple_gong, pitched_gongs, chau_gong, chinese_gong, opera_gong, tamtam, pot_gong",A percussion instrument consisting of a metal plate that is struck with a softheaded drumstick,tamtam,YES
,bn:00041319n,,"grand_piano, grand",A piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,piano_à_queue,YES
,bn:00041319n,,"grand_piano, grand",A piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,grand_piano,YES
,bn:00041319n,,"grand_piano, grand",A piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,aile,YES
,bn:00041643n,,greek_mode,Any of the descending diatonic scales in the music of classical Greece,mode_grec,YES
,bn:00041834n,,"groan, moan",An utterance expressing pain or disapproval,gémissement,YES
,bn:00041834n,,"groan, moan",An utterance expressing pain or disapproval,gémir,YES
,bn:00041834n,,"groan, moan",An utterance expressing pain or disapproval,râlement,YES
,bn:00041834n,,"groan, moan",An utterance expressing pain or disapproval,râle,YES
,bn:00041834n,,"groan, moan",An utterance expressing pain or disapproval,voix_humaine,YES
,bn:00041834n,,"groan, moan",An utterance expressing pain or disapproval,plainte,YES
,bn:00041834n,,"groan, moan",An utterance expressing pain or disapproval,râler,YES
,bn:00041977n,,growling,A gruff or angry utterance (suggestive of the growling of an animal),grognement,YES
,bn:00041999n,,"mutter, murmur, murmuring, grumble, grumbling, muttering",A complaint uttered in a low and indistinct tone,rumeur,YES
,bn:00041999n,,"mutter, murmur, murmuring, grumble, grumbling, muttering",A complaint uttered in a low and indistinct tone,marmonnement,YES
,bn:00041999n,,"mutter, murmur, murmuring, grumble, grumbling, muttering",A complaint uttered in a low and indistinct tone,murmure,YES
,bn:00041999n,,"mutter, murmur, murmuring, grumble, grumbling, muttering",A complaint uttered in a low and indistinct tone,marmottement,YES
,bn:00041999n,,"mutter, murmur, murmuring, grumble, grumbling, muttering",A complaint uttered in a low and indistinct tone,râle,YES
,bn:00042259n,,gurgle,The bubbling sound of water flowing from a bottle with a narrow neck,gargouillis,YES
,bn:00042383n,,"horselaugh, ha-ha, haw-haw, hee-haw",A loud laugh that sounds like a horse neighing,haha,YES
,bn:00042383n,,"horselaugh, ha-ha, haw-haw, hee-haw",A loud laugh that sounds like a horse neighing,tonitruant,YES
,bn:00042383n,,"horselaugh, ha-ha, haw-haw, hee-haw",A loud laugh that sounds like a horse neighing,hee-haw,YES
,bn:00042634n,,"half_note, minim, half-note, 𝄼, demi-pause, half_notes",A musical note having the time value of half a whole note,blanche,YES
,bn:00042634n,,"half_note, minim, half-note, 𝄼, demi-pause, half_notes",A musical note having the time value of half a whole note,blanches,YES
,bn:00042634n,,"half_note, minim, half-note, 𝄼, demi-pause, half_notes",A musical note having the time value of half a whole note,demi-note,YES
,bn:00042634n,,"half_note, minim, half-note, 𝄼, demi-pause, half_notes",A musical note having the time value of half a whole note,minime,YES
,bn:00042640n,,"semitone, half_step, minor_second, half_tone, just_chromatic_semitone, major_semitone, just_diatonic_semitone, greater_chromatic_semitone, major_chroma, semi-tone, pythagorean_minor_second, semitones, larger_limma, pythagorean_major_semitone, minor_semitone, just_minor_semitone, half-step, pythagorean_apotomē, pythagorean_chromatic_semitone, apotome, larger_chromatic_semitone, semitone_maximus, diatonic_semitone, halfstep, pythagorean_diatonic_semitone, demiton, major_diatonic_semitone, octave_and_minor_second, pythagorean_limma, pythagorean_apotome, pythagorean_minor_semitone, just_minor_second",The musical interval between adjacent keys on a keyboard instrument,demi-ton,YES
,bn:00042640n,,"semitone, half_step, minor_second, half_tone, just_chromatic_semitone, major_semitone, just_diatonic_semitone, greater_chromatic_semitone, major_chroma, semi-tone, pythagorean_minor_second, semitones, larger_limma, pythagorean_major_semitone, minor_semitone, just_minor_semitone, half-step, pythagorean_apotomē, pythagorean_chromatic_semitone, apotome, larger_chromatic_semitone, semitone_maximus, diatonic_semitone, halfstep, pythagorean_diatonic_semitone, demiton, major_diatonic_semitone, octave_and_minor_second, pythagorean_limma, pythagorean_apotome, pythagorean_minor_semitone, just_minor_second",The musical interval between adjacent keys on a keyboard instrument,demi-ton_;_seconde,YES
,bn:00042640n,,"semitone, half_step, minor_second, half_tone, just_chromatic_semitone, major_semitone, just_diatonic_semitone, greater_chromatic_semitone, major_chroma, semi-tone, pythagorean_minor_second, semitones, larger_limma, pythagorean_major_semitone, minor_semitone, just_minor_semitone, half-step, pythagorean_apotomē, pythagorean_chromatic_semitone, apotome, larger_chromatic_semitone, semitone_maximus, diatonic_semitone, halfstep, pythagorean_diatonic_semitone, demiton, major_diatonic_semitone, octave_and_minor_second, pythagorean_limma, pythagorean_apotome, pythagorean_minor_semitone, just_minor_second",The musical interval between adjacent keys on a keyboard instrument,etape_moitié,YES
,bn:00042640n,,"semitone, half_step, minor_second, half_tone, just_chromatic_semitone, major_semitone, just_diatonic_semitone, greater_chromatic_semitone, major_chroma, semi-tone, pythagorean_minor_second, semitones, larger_limma, pythagorean_major_semitone, minor_semitone, just_minor_semitone, half-step, pythagorean_apotomē, pythagorean_chromatic_semitone, apotome, larger_chromatic_semitone, semitone_maximus, diatonic_semitone, halfstep, pythagorean_diatonic_semitone, demiton, major_diatonic_semitone, octave_and_minor_second, pythagorean_limma, pythagorean_apotome, pythagorean_minor_semitone, just_minor_second",The musical interval between adjacent keys on a keyboard instrument,demi-tons,YES
,bn:00042640n,,"semitone, half_step, minor_second, half_tone, just_chromatic_semitone, major_semitone, just_diatonic_semitone, greater_chromatic_semitone, major_chroma, semi-tone, pythagorean_minor_second, semitones, larger_limma, pythagorean_major_semitone, minor_semitone, just_minor_semitone, half-step, pythagorean_apotomē, pythagorean_chromatic_semitone, apotome, larger_chromatic_semitone, semitone_maximus, diatonic_semitone, halfstep, pythagorean_diatonic_semitone, demiton, major_diatonic_semitone, octave_and_minor_second, pythagorean_limma, pythagorean_apotome, pythagorean_minor_semitone, just_minor_second",The musical interval between adjacent keys on a keyboard instrument,demi-pas,YES
,bn:00042640n,,"semitone, half_step, minor_second, half_tone, just_chromatic_semitone, major_semitone, just_diatonic_semitone, greater_chromatic_semitone, major_chroma, semi-tone, pythagorean_minor_second, semitones, larger_limma, pythagorean_major_semitone, minor_semitone, just_minor_semitone, half-step, pythagorean_apotomē, pythagorean_chromatic_semitone, apotome, larger_chromatic_semitone, semitone_maximus, diatonic_semitone, halfstep, pythagorean_diatonic_semitone, demiton, major_diatonic_semitone, octave_and_minor_second, pythagorean_limma, pythagorean_apotome, pythagorean_minor_semitone, just_minor_second",The musical interval between adjacent keys on a keyboard instrument,limma_pythagore,YES
,bn:00042678n,,halloo,A shout to attract attention,taïaut,YES
,bn:00042734n,,hammer,A striker that is covered in felt and that causes the piano strings to vibrate,marteau,YES
,bn:00042798n,,"handbell, handbell_tree, handbell_choir, handbells, hand_bells, handbell_ensemble, bell_choir, hand_bell, handbell_team",A bell that is held in the hand,handbell,YES
,bn:00042798n,,"handbell, handbell_tree, handbell_choir, handbells, hand_bells, handbell_ensemble, bell_choir, hand_bell, handbell_team",A bell that is held in the hand,cloche_à_main,YES
,bn:00042798n,,"handbell, handbell_tree, handbell_choir, handbells, hand_bells, handbell_ensemble, bell_choir, hand_bell, handbell_team",A bell that is held in the hand,clochettes,YES
,bn:00043015n,,"harmonic, natural_harmonic, harmonic_frequency, flageolet_tone, flageolet-note, upper_partial, flageolet_tones, harmonic_partial, harmonic_wave, natural_harmonics, partial, overtone, harmonic_waves",A tone that is a component of a complex sound,harmonique,YES
,bn:00043015n,,"harmonic, natural_harmonic, harmonic_frequency, flageolet_tone, flageolet-note, upper_partial, flageolet_tones, harmonic_partial, harmonic_wave, natural_harmonics, partial, overtone, harmonic_waves",A tone that is a component of a complex sound,harmoniques,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,harmonica,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,orgue_à_bouche,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,harpe,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,harmoniciste,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,m'buat,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,harmonicas,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,musique_à_bouche,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,harmonika,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,mundharmonika,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,guimbarde,YES
,bn:00043021n,,"harmonica, mouth_organ, french_harp, mouth_harp, harp, blues_harp, mouth_organs, harmonica/diatonic_harmonica, harmonica_holder, mundharmonika, tin_sandwich, armonica_a_bocca, harmonica_rack, overbending, bass_harmonica, moothie, aeolina",A small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole,ruine-babines,YES
,bn:00043022n,,harmonics,The study of musical sound,harmonie,YES
,bn:00043022n,,harmonics,The study of musical sound,harmoniques,YES
,bn:00043030n,,harmony,An agreeable sound property,harmonie,YES
,bn:00043180n,,"hula, hula-hula, hawaiian_dancing, hula_dance, ʻauana, hula_kahiko, hula_'auana, 'auana, hula_ʻauana, dance_in_hawaii, hawaiian_dance, kumu_hula, mele_hula_pahu",A Polynesian rain dance performed by a woman,hula,YES
,bn:00043180n,,"hula, hula-hula, hawaiian_dancing, hula_dance, ʻauana, hula_kahiko, hula_'auana, 'auana, hula_ʻauana, dance_in_hawaii, hawaiian_dance, kumu_hula, mele_hula_pahu",A Polynesian rain dance performed by a woman,hula-hula,YES
,bn:00043180n,,"hula, hula-hula, hawaiian_dancing, hula_dance, ʻauana, hula_kahiko, hula_'auana, 'auana, hula_ʻauana, dance_in_hawaii, hawaiian_dance, kumu_hula, mele_hula_pahu",A Polynesian rain dance performed by a woman,danse_hawaïenne,YES
,bn:00043180n,,"hula, hula-hula, hawaiian_dancing, hula_dance, ʻauana, hula_kahiko, hula_'auana, 'auana, hula_ʻauana, dance_in_hawaii, hawaiian_dance, kumu_hula, mele_hula_pahu",A Polynesian rain dance performed by a woman,danse_hula,YES
