wn_synset,bn:id,pos,lemmata EN,definition,lemmata ES,is it related to music?,note
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,música_ambiental,YES,
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,ambient,YES,
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,ambient_music,YES,
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,musica_ambiental,YES,
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,música_ambient,YES,
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,musica_ambient,YES,
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,ambiente,YES,
,bn:03354925n,,"ambient_music, ambient, psybient, isolationist_ambient, post-minimal_ambient, post-ambient, ambiental_music, postambient, postminimal_ambient_music, atmospheric_music, post-ambient_music, psychedelic_ambient, isolationist_ambient_music, ambient_electronica, ambient_dub, post-minimalist_ambient_music, postambient_music, ambient_industrial, organic_ambient_music, post-minimal_ambient_music, psybient,_psychill, postminimal_ambient, postminimalist_ambient_music, post-minimalist_ambient, ambient_groove",Ambient music is a genre of music that emphasizes tone and atmosphere over traditional musical structure or rhythm.,electrónica_ambiente,YES,
,bn:16031176n,,"psychology_of_music_preference, music_preference",The psychology of music preference is the study of the psychological factors behind peoples' different music preferences.,psicología_de_la_preferencia_musical,YES,
,bn:03826338n,,"soundcheck, line_check, sound_check, linecheck, check,_one,_two, line-check","A soundcheck is the preparation that takes place before a concert, speech, or similar performance to adjust the sound on the venue's sound reinforcement system or PA system.",prueba_de_sonido,YES,
,bn:00000982n,,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,proyección_acústica,YES,
,bn:00000982n,,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,proyección_de_sonido,YES,
,bn:03373165n,,"protopunk, proto-punk, proto_punk, proto_punk_rock, protopunk_music, prepunk, protopunk_rock, pre-punk_rock, prepunk_rock, '60s_punk, proto-punk_rock, pre-punk",Proto-punk is the rock music played by garage bands from the 1960s to mid-1970s that presaged the punk rock movement.,proto-punk,YES,
,bn:03373165n,,"protopunk, proto-punk, proto_punk, proto_punk_rock, protopunk_music, prepunk, protopunk_rock, pre-punk_rock, prepunk_rock, '60s_punk, proto-punk_rock, pre-punk",Proto-punk is the rock music played by garage bands from the 1960s to mid-1970s that presaged the punk rock movement.,protopunk,YES,
,bn:03373165n,,"protopunk, proto-punk, proto_punk, proto_punk_rock, protopunk_music, prepunk, protopunk_rock, pre-punk_rock, prepunk_rock, '60s_punk, proto-punk_rock, pre-punk",Proto-punk is the rock music played by garage bands from the 1960s to mid-1970s that presaged the punk rock movement.,proto_punk,YES,
,bn:03373165n,,"protopunk, proto-punk, proto_punk, proto_punk_rock, protopunk_music, prepunk, protopunk_rock, pre-punk_rock, prepunk_rock, '60s_punk, proto-punk_rock, pre-punk",Proto-punk is the rock music played by garage bands from the 1960s to mid-1970s that presaged the punk rock movement.,punk_proto,YES,
,bn:01605018n,,"prosody, musical_prosody","In music, prosody is the way the composer sets the text of a vocal composition in the assignment of syllables to notes in the melody to which the text is sung, or to set the music with regard to the ambiance of the lyrics.",prosodia,YES,
,bn:02680953n,,"tour_promoter, concert_promoter, college_concert_promoter, tour_promoters",Tour promoters are the individuals or companies responsible for organizing a live concert tour or special event performance.,promotor_de_giras,YES,
,bn:02680953n,,"tour_promoter, concert_promoter, college_concert_promoter, tour_promoters",Tour promoters are the individuals or companies responsible for organizing a live concert tour or special event performance.,promotores_de_giras,YES,
,bn:02680953n,,"tour_promoter, concert_promoter, college_concert_promoter, tour_promoters",Tour promoters are the individuals or companies responsible for organizing a live concert tour or special event performance.,promotor_de_conciertos,YES,
,bn:01958950n,,"promotional_single, promo_single, promotional_recording, promo_recording, advance_single, buzz_single, promotional_record, promo, promotional_singles, promotional_album, plug_copy, promo_cd, promo-single, radio_promo, radio_single","A promotional recording, or promo, or plug copy, is an audio or video recording distributed free, usually in order to promote a recording that is or soon will be commercially available.",promo,YES,
,bn:01958950n,,"promotional_single, promo_single, promotional_recording, promo_recording, advance_single, buzz_single, promotional_record, promo, promotional_singles, promotional_album, plug_copy, promo_cd, promo-single, radio_promo, radio_single","A promotional recording, or promo, or plug copy, is an audio or video recording distributed free, usually in order to promote a recording that is or soon will be commercially available.",sencillo_promocional,YES,
,bn:01958950n,,"promotional_single, promo_single, promotional_recording, promo_recording, advance_single, buzz_single, promotional_record, promo, promotional_singles, promotional_album, plug_copy, promo_cd, promo-single, radio_promo, radio_single","A promotional recording, or promo, or plug copy, is an audio or video recording distributed free, usually in order to promote a recording that is or soon will be commercially available.",promo_cd,YES,
,bn:01958950n,,"promotional_single, promo_single, promotional_recording, promo_recording, advance_single, buzz_single, promotional_record, promo, promotional_singles, promotional_album, plug_copy, promo_cd, promo-single, radio_promo, radio_single","A promotional recording, or promo, or plug copy, is an audio or video recording distributed free, usually in order to promote a recording that is or soon will be commercially available.",grabación_promocional,YES,
,bn:01958950n,,"promotional_single, promo_single, promotional_recording, promo_recording, advance_single, buzz_single, promotional_record, promo, promotional_singles, promotional_album, plug_copy, promo_cd, promo-single, radio_promo, radio_single","A promotional recording, or promo, or plug copy, is an audio or video recording distributed free, usually in order to promote a recording that is or soon will be commercially available.",single_promocional,YES,
,bn:03685845n,,"prolation_canon, proportional_canon, canon_by_diminution, canon_per_diminutionem, canon_by_augmentation, canon_per_augmentationem, diminution_canon, augmentation_canon, sloth_canon, mensuration_canon","In music, a prolation canon is a type of canon, a musical composition wherein the main melody is accompanied by one or more imitations of that melody in other voices.",prolation_canon,YES,
,bn:03685845n,,"prolation_canon, proportional_canon, canon_by_diminution, canon_per_diminutionem, canon_by_augmentation, canon_per_augmentationem, diminution_canon, augmentation_canon, sloth_canon, mensuration_canon","In music, a prolation canon is a type of canon, a musical composition wherein the main melody is accompanied by one or more imitations of that melody in other voices.",medición_canon,YES,
,bn:00955973n,,"prolation, tempus, prolatio","Prolation is a term used in the theory of the mensural notation of medieval and Renaissance music to describe its rhythmic structure on a small scale, as opposed to tempus, which described a larger scale.",prolación,YES,
,bn:00955973n,,"prolation, tempus, prolatio","Prolation is a term used in the theory of the mensural notation of medieval and Renaissance music to describe its rhythmic structure on a small scale, as opposed to tempus, which described a larger scale.",prolatio,YES,
,bn:00955973n,,"prolation, tempus, prolatio","Prolation is a term used in the theory of the mensural notation of medieval and Renaissance music to describe its rhythmic structure on a small scale, as opposed to tempus, which described a larger scale.",prolacion,YES,
,bn:16035757n,,"progressive_house, melodic_trance, prog_house, progressive_edm, progressive_house_music, progressive_dance, progressive_breakbeat, progressive_breaks, progressive, progressive_dance_music",Progressive house is a subgenre of house music.,progressive_house,YES,
,bn:16035757n,,"progressive_house, melodic_trance, prog_house, progressive_edm, progressive_house_music, progressive_dance, progressive_breakbeat, progressive_breaks, progressive, progressive_dance_music",Progressive house is a subgenre of house music.,house_progresivo,YES,
,bn:16035757n,,"progressive_house, melodic_trance, prog_house, progressive_edm, progressive_house_music, progressive_dance, progressive_breakbeat, progressive_breaks, progressive, progressive_dance_music",Progressive house is a subgenre of house music.,saltos_progresivos,YES,
,bn:03406973n,,"programming, programming_music, audio_programming, drum_programming, music_programming","Programming is a form of music production and performance using electronic devices and computer software, such as sequencers and workstations or hardware synthesizers, sampler and sequencers, to generate sounds of musical instruments.",programación,YES,
,bn:03406973n,,"programming, programming_music, audio_programming, drum_programming, music_programming","Programming is a form of music production and performance using electronic devices and computer software, such as sequencers and workstations or hardware synthesizers, sampler and sequencers, to generate sounds of musical instruments.",programacion,YES,
,bn:03406973n,,"programming, programming_music, audio_programming, drum_programming, music_programming","Programming is a form of music production and performance using electronic devices and computer software, such as sequencers and workstations or hardware synthesizers, sampler and sequencers, to generate sounds of musical instruments.",programación_de_batería,YES,
,bn:01522855n,,"progg, swedish_progressive_music, progg_movement, progg_music",Progg was a left-wing and anti-commercial musical movement in Sweden that began in the late 1960s and became more widespread in the 1970s.,progg,YES,
,bn:03598364n,,"audio_bit_depth, 16_bit_audio, 24-bit_audio, audio_resolition, 24_bit_audio, audio_resolution, 16-bit_sound, 24-bit_resolution, 16-bit_audio, 8-bit_sound, resolution","In digital audio using pulse-code modulation, bit depth is the number of bits of information in each sample, and it directly corresponds to the resolution of each sample.",profundidad_bits_audio,YES,
,bn:03598364n,,"audio_bit_depth, 16_bit_audio, 24-bit_audio, audio_resolition, 24_bit_audio, audio_resolution, 16-bit_sound, 24-bit_resolution, 16-bit_audio, 8-bit_sound, resolution","In digital audio using pulse-code modulation, bit depth is the number of bits of information in each sample, and it directly corresponds to the resolution of each sample.",profundidad_de_bits_audio,YES,
,bn:00553091n,,"voice_teacher, singing_instructor, voice_teachers, singing_teacher, song_pedagogue",A voice teacher or singing teacher is a musical instructor who assists adults and children in the development of their abilities in singing.,profesor_de_voz,YES,
,bn:00553091n,,"voice_teacher, singing_instructor, voice_teachers, singing_teacher, song_pedagogue",A voice teacher or singing teacher is a musical instructor who assists adults and children in the development of their abilities in singing.,profesor_de_canto,YES,
,bn:00553091n,,"voice_teacher, singing_instructor, voice_teachers, singing_teacher, song_pedagogue",A voice teacher or singing teacher is a musical instructor who assists adults and children in the development of their abilities in singing.,maestro_de_canto,YES,
,bn:00056457n,,music_teacher,Someone who teaches music,profesor_de_música,YES,
,bn:00056457n,,music_teacher,Someone who teaches music,educación_musical,YES,
,bn:03727019n,,"vocal_coach, repetiteur, singing_coach, vocal_coaches, vocal_coaching, voice_coach","A vocal coach, also known as a voice coach, is a music teacher, usually a piano accompanist, who helps singers prepare for a performance, often also helping them to improve their singing technique and take care of and develop their voice, but is not the same as a singing teacher.",profesor_de_canto,YES,
,bn:03727019n,,"vocal_coach, repetiteur, singing_coach, vocal_coaches, vocal_coaching, voice_coach","A vocal coach, also known as a voice coach, is a music teacher, usually a piano accompanist, who helps singers prepare for a performance, often also helping them to improve their singing technique and take care of and develop their voice, but is not the same as a singing teacher.",vocal_coach,YES,
,bn:03727019n,,"vocal_coach, repetiteur, singing_coach, vocal_coaches, vocal_coaching, voice_coach","A vocal coach, also known as a voice coach, is a music teacher, usually a piano accompanist, who helps singers prepare for a performance, often also helping them to improve their singing technique and take care of and develop their voice, but is not the same as a singing teacher.",entrenador_vocal,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productor_musical,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productor_discográfico,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",producción_musical,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productora_discográfica,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productora_discografica,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productor_discografico,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productor_de_musica,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productor_de_música,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productora_musical,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",producción_discográfica,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productores_discograficos,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",producción_discografica,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",produccion_discografica,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productora_de_música,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productores_discográficos,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",produccion_discográfica,YES,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",productor,YES,
,bn:03230153n,,"executive_producer, executive_producers, co-executive_producer, creative_producer, artistic_producer, exec-producer, executive_in_charge_of_production, executive_produced, exec-produced",Executive producer is one of the top positions in the making of a commercial entertainment product.,productor_ejecutivo,YES,
,bn:03230153n,,"executive_producer, executive_producers, co-executive_producer, creative_producer, artistic_producer, exec-producer, executive_in_charge_of_production, executive_produced, exec-produced",Executive producer is one of the top positions in the making of a commercial entertainment product.,producción_ejecutiva,YES,
,bn:03230153n,,"executive_producer, executive_producers, co-executive_producer, creative_producer, artistic_producer, exec-producer, executive_in_charge_of_production, executive_produced, exec-produced",Executive producer is one of the top positions in the making of a commercial entertainment product.,productora_ejecutiva,YES,
,bn:03230153n,,"executive_producer, executive_producers, co-executive_producer, creative_producer, artistic_producer, exec-producer, executive_in_charge_of_production, executive_produced, exec-produced",Executive producer is one of the top positions in the making of a commercial entertainment product.,productores_ejecutivos,YES,
,bn:17192493n,,music_production,The manufacturing process of a musical work,producción_musical,YES,
,bn:17192493n,,music_production,The manufacturing process of a musical work,produccion_discografica,YES,
,bn:17192493n,,music_production,The manufacturing process of a musical work,produccion_musical,YES,
,bn:17192493n,,music_production,The manufacturing process of a musical work,producción_discográfica,YES,
,bn:03824873n,,"production_music, library_music, stock_music, royalty_free_music, library_label, royalty-free_music","Production music is recorded music that can be licensed to customers for use in film, television, radio and other media.",producción_musical,YES,
,bn:03824873n,,"production_music, library_music, stock_music, royalty_free_music, library_label, royalty-free_music","Production music is recorded music that can be licensed to customers for use in film, television, radio and other media.",biblioteca_de_música,YES,
,bn:03824873n,,"production_music, library_music, stock_music, royalty_free_music, library_label, royalty-free_music","Production music is recorded music that can be licensed to customers for use in film, television, radio and other media.",música,YES,
,bn:03432429n,,concert_production,Concert production is the act of putting on a concert or a live music performance.,producción_de_conciertos,YES,
,bn:03432429n,,concert_production,Concert production is the act of putting on a concert or a live music performance.,produccion_de_conciertos,YES,
,bn:00064693n,,promenade,A square dance figure; couples march counterclockwise in a circle,procesión,YES,
,bn:01634676n,,"audio_signal_processing, audio_processing, acoustic_signal_processing, digital_audio_processing, sound_processing, digital_audio_effects, audio_processor",Audio signal processing is a subfield of signal processing that is concerned with the electronic manipulation of audio signals.,procesamiento_digital_de_sonido,YES,
,bn:01634676n,,"audio_signal_processing, audio_processing, acoustic_signal_processing, digital_audio_processing, sound_processing, digital_audio_effects, audio_processor",Audio signal processing is a subfield of signal processing that is concerned with the electronic manipulation of audio signals.,procesamiento_digital_de_audio,YES,
,bn:01634676n,,"audio_signal_processing, audio_processing, acoustic_signal_processing, digital_audio_processing, sound_processing, digital_audio_effects, audio_processor",Audio signal processing is a subfield of signal processing that is concerned with the electronic manipulation of audio signals.,procesamiento_de_sonido,YES,
,bn:01634676n,,"audio_signal_processing, audio_processing, acoustic_signal_processing, digital_audio_processing, sound_processing, digital_audio_effects, audio_processor",Audio signal processing is a subfield of signal processing that is concerned with the electronic manipulation of audio signals.,procesamiento_de_señales_audio,YES,
,bn:01634676n,,"audio_signal_processing, audio_processing, acoustic_signal_processing, digital_audio_processing, sound_processing, digital_audio_effects, audio_processor",Audio signal processing is a subfield of signal processing that is concerned with the electronic manipulation of audio signals.,procesador_de_audio,YES,
,bn:00064356n,,prima_ballerina,A leading female ballet dancer,primera_bailarina,YES,
,bn:00000983n,,acoustic_radiation_pressure,(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave,presión_de_la_radiación_acústica,YES,
,bn:02283865n,,"pre-order, pre-orders, pre-order_incentive, pre-order_incentives, preorder_bonus, pre-order_bonus, pre-ordering",A pre-order is an order placed for an item that has not yet been released.,pre-orden,YES,
,bn:03093724n,,unmeasured_prelude,Unmeasured or non-measured prelude is a prelude in which the duration of each note is left to the performer.,preludios_sin_compás,YES,
,bn:03093724n,,unmeasured_prelude,Unmeasured or non-measured prelude is a prelude in which the duration of each note is left to the performer.,preludios_sin_compas,YES,
,bn:03093724n,,unmeasured_prelude,Unmeasured or non-measured prelude is a prelude in which the duration of each note is left to the performer.,preludio_no_medida,YES,
,bn:01209748n,,"prelude_and_fugue, fantasia_and_fugue, fantasy_and_fugue, toccata_and_fugue, 24_preludes_and_fugues, preludes_and_fugues",The prelude and fugue is a musical form generally consisting of two movements in the same key for solo keyboard.,preludio_y_fuga,YES,
,bn:01387563n,,"pregón, pregon, son_pregón, son_pregon","Pregón, a Spanish word meaning announcement or street-seller's cry, has a particular meaning in both Cuban music and Latin American music in general.",pregón,YES,
,bn:01387563n,,"pregón, pregon, son_pregón, son_pregon","Pregón, a Spanish word meaning announcement or street-seller's cry, has a particular meaning in both Cuban music and Latin American music in general.",pregon,YES,
,bn:01608206n,,"pregap, pre-gap","The pregap on a Red Book audio CD is the portion of the audio track that precedes ""index 01"" for a given track in the table of contents.",pregap,YES,
,bn:03170838n,,"precomposition, precompositional","In music, precompositional decisions are those decisions which a composer decides upon before or while beginning to create a composition.",precomposicional,YES,
,bn:01094790n,,"powerviolence, power_violence, powercore, power-violence, power_hardcore, extreme_hardcore",Powerviolence is an extremely dissonant and fast subgenre of hardcore punk which is closely related to thrashcore and grindcore.,powerviolence,YES,
,bn:01094790n,,"powerviolence, power_violence, powercore, power-violence, power_hardcore, extreme_hardcore",Powerviolence is an extremely dissonant and fast subgenre of hardcore punk which is closely related to thrashcore and grindcore.,power_violence,YES,
,bn:01094790n,,"powerviolence, power_violence, powercore, power-violence, power_hardcore, extreme_hardcore",Powerviolence is an extremely dissonant and fast subgenre of hardcore punk which is closely related to thrashcore and grindcore.,violencia_el_poder,YES,
,bn:00774370n,,"power_trio, power_trios, rock_trio","A power trio is a rock and roll band format having a lineup of electric guitar, bass guitar and drum kit, leaving out the second rhythm guitar or keyboard instrument that are used in other rock music bands that are quartets and quintets.",power_trio,YES,
,bn:00774370n,,"power_trio, power_trios, rock_trio","A power trio is a rock and roll band format having a lineup of electric guitar, bass guitar and drum kit, leaving out the second rhythm guitar or keyboard instrument that are used in other rock music bands that are quartets and quintets.",power_trío,YES,
,bn:00774370n,,"power_trio, power_trios, rock_trio","A power trio is a rock and roll band format having a lineup of electric guitar, bass guitar and drum kit, leaving out the second rhythm guitar or keyboard instrument that are used in other rock music bands that are quartets and quintets.",tríos_eléctricos,YES,
,bn:00949063n,,"power_pop, powerpop, 1970s_power_pop, power-pop, power_pop_revival, prominent_rock, 1960s_power_pop","Power pop is a form of pop rock based on the early music of bands such as the Who, the Beatles, the Beach Boys, and the Byrds.",power_pop,YES,
,bn:00949063n,,"power_pop, powerpop, 1970s_power_pop, power-pop, power_pop_revival, prominent_rock, 1960s_power_pop","Power pop is a form of pop rock based on the early music of bands such as the Who, the Beatles, the Beach Boys, and the Byrds.",powerpop,YES,
,bn:00949063n,,"power_pop, powerpop, 1970s_power_pop, power-pop, power_pop_revival, prominent_rock, 1960s_power_pop","Power pop is a form of pop rock based on the early music of bands such as the Who, the Beatles, the Beach Boys, and the Byrds.",power_rock,YES,
,bn:00949063n,,"power_pop, powerpop, 1970s_power_pop, power-pop, power_pop_revival, prominent_rock, 1960s_power_pop","Power pop is a form of pop rock based on the early music of bands such as the Who, the Beatles, the Beach Boys, and the Byrds.",power-pop,YES,
,bn:01073954n,,"power_metal, epic_metal, elf_metal, nwoshm, powermetal, christian_power_metal, folk-power_metal, blackened_power_metal, new_wave_of_swedish_heavy_metal, disney_metal, thrash-power_metal, power-metal, flower_metal, prog-power_metal","Power metal is a subgenre of heavy metal combining characteristics of traditional heavy metal with speed metal, often within symphonic context.",power_metal,YES,
,bn:01073954n,,"power_metal, epic_metal, elf_metal, nwoshm, powermetal, christian_power_metal, folk-power_metal, blackened_power_metal, new_wave_of_swedish_heavy_metal, disney_metal, thrash-power_metal, power-metal, flower_metal, prog-power_metal","Power metal is a subgenre of heavy metal combining characteristics of traditional heavy metal with speed metal, often within symphonic context.",power_metal_extremo,YES,
,bn:01073954n,,"power_metal, epic_metal, elf_metal, nwoshm, powermetal, christian_power_metal, folk-power_metal, blackened_power_metal, new_wave_of_swedish_heavy_metal, disney_metal, thrash-power_metal, power-metal, flower_metal, prog-power_metal","Power metal is a subgenre of heavy metal combining characteristics of traditional heavy metal with speed metal, often within symphonic context.",power_metal_sinfónico,YES,
