wn_synset,bn:id,pos,lemmata EN,definition,lemmata FR,is it related to music?
,bn:00649504n,,indonesian_hip_hop,Indonesian hip hop is hip hop music performed in Indonesia.,hip_hop_indonésien,YES
,bn:00650042n,,"keyboard_bass, piano_bass, synth_bass","Keyboard bass is the use of a smaller, low-pitched keyboard with fewer notes than a regular keyboard or pedal keyboard to substitute for the deep notes of a bass guitar or double bass in music.",basse_clavier,YES
,bn:00651310n,,"pashto_music, music_of_nwfp, pashtun_music",Pashto music is commonly performed in Afghanistan and Pakistan among Pashtun people.,"musique_pashto, musique_pachtoune",YES
,bn:00653475n,,"free_music, libre_music","Free music can also mean free improvisation: improvised music without any rules, and not in any particular style.","musique_libre, music_libre, édition_libre, musique_en_libre_diffusion, musiques_libres, mouvement_des_musiques_libres",YES
,bn:00654798n,,"tragédie_en_musique, tragedie_en_musique, tragedie_lyrique, tragédies_en_musique, tragedia_lirica, tragedies_en_musique, lyric_tragedy, french_lyric_tragedy, musical_tragedy, tragédie_lyrique","Tragédie en musique, also known as tragédie lyrique, is a genre of French opera introduced by Jean-Baptiste Lully and used by his followers until the second half of the eighteenth century.","tragédie_lyrique, tragédie_en_musique, tragedie_lyrique, opéra_baroque_français, l'opéra_baroque_français, tragédies_lyriques",YES
,bn:00655291n,,romanian_hip_hop,"Romanian hip hop first emerged in 1982, along with the break-dancing movement which became very popular in the 1980s.","rap_et_hip-hop_roumain, hip-hop_roumain",YES
,bn:00660814n,,"drone_music, drone-music, drone, drone_ambient, ambient_drone, dronology, drone_rock","Drone music, drone-based music, or simply drone, is a minimalist genre that emphasizes the use of sustained sounds, notes, or tone clusters – called drones.","drone, musique_drone, drone_music",YES
,bn:00661513n,,"music_of_india, indian_music, songs_of_india, music_in_india, india_medieval_music, indian_music_in_the_united_kingdom, vocal_music_of_india, indian_hip-hop, indian_rap, tamil_songs, hindi_hip-hop, sangeet, indian_vocal_music, indian_musicians_and_their_music, popular_music_in_india","Owing to India's vastness and diversity, Indian Music encompass numerous genres, multiple varieties and forms which include classical music, folk, rock, and pop.","musique_indienne, la_musique_indienne",YES
,bn:00661696n,,"takht, takhat","Takht is the representative musical ensemble, the orchestra, of Middle Eastern music.",takht,YES
,bn:00662367n,,"madih_nabawi, madih, madih_an-nabawi","Madih nabawi, one of the principal religious genres of Arabic music, is a song form dedicated to expressing praises, love and devotion for the prophet Muhammad and his family.","madih_nabawi, madih_nabaoui",YES
,bn:00663109n,,"tangent_piano, tangent, tangent_mechanism, tangentenfluegel, tangentenflügel, cembalo_angelico, tangentenflugel",The tangent piano is a very rare keyboard instrument that resembles a harpsichord and early pianos in design.,"piano_à_tangentes, piano_de_tangente, tangentenflügel, piano_a_tangentes",YES
,bn:00665503n,,"spinto_soprano, lirico_spinto","A type of operatic soprano voice that has the limpidity and easy high notes of a lyric soprano, yet can be ""pushed"" on to achieve dramatic climaxes without strain.","soprano_spinto, spinto_lirico",YES
,bn:00665509n,,"dramatic_soprano, wagnerian_soprano, wagnerian_sopranos, dramatic_sopranos, wagnerian-soprano","A dramatic soprano is a type of operatic soprano with a powerful, rich, emotive voice that can sing over, or cut through, a full orchestra.",soprano_dramatique,YES
,bn:00666910n,,"comma, musical_comma, tridecimal_comma, comma_sequence, undecimal_seconds_comma, music_comma, undecimal_comma","In music theory, a comma is a very small interval, the difference resulting from tuning one note two different ways.","comma, virgule",YES
,bn:00667893n,,dj_big_band,A DJ big band is a large musical ensemble made of a large number of DJ's.,dj_big_band,YES
,bn:00670739n,,"andalusi_nubah, nawbah, arab-andalusian, nouba, andalusian_nubah, nubah, andalusi_nuba, nawba, andalusian_nawba, andalusi_nawba","Andalusī nūbah, also transliterated nūba, nūbā, or nouba, or in its classical Arabic form, nawba, nawbah, or nōbah, is a musical genre found in the North African Maghrib states of Morocco, Algeria, Tunisia, and Libya but, as the name indicates, it has its origins in Arabo-Andalusian music.","nouba, arabo-andalouse, nawbah, andalusi_nubah",YES
,bn:00671192n,,"teutonic_thrash_metal, teutonic_thrash, german_thrash_metal",Teutonic thrash metal is a regional scene of thrash metal music that originated during the 1980s in Germany.,"big_three_of_teutonic_thrash_metal, thrash_metal_allemand",YES
,bn:00671524n,,"kouxian, kou_xiang, kouxiang, hoho",Kouxian is a general Chinese term for any variety of jaw harp.,"kouxian, kou_xian, hoho",YES
,bn:00674294n,,"click_track, click-track, clicktrack","A click track is a series of audio cues used to synchronize sound recordings, sometimes for synchronization to a moving image.",piste_de_clic,YES
,bn:00674929n,,"big_band_remote, big_band_remotes","A big band remote was a remote broadcast, popular on radio during the 1930s and 1940s, involving a coast-to-coast live transmission of a big band.",big_band_remote,YES
,bn:00678165n,,loft_jazz,Loft jazz was a cultural phenomenon that occurred in New York City during the mid-1970s.,jazz_loft,YES
,bn:00680910n,,shona_music,Shona music is the music of the Shona people of Zimbabwe.,musique_shona,YES
,bn:00680932n,,"percussion_ensemble, percussion_band, drum_ensemble, percussion_ensembles",A percussion ensemble is a musical ensemble consisting of only percussion instruments.,ensemble_de_percussions,YES
,bn:00681399n,,"passion, passion_setting, passion_oratorio, passio, passion_cantata, passion_music","In Christian music, a Passion is a setting of the Passion of Christ.",passion,YES
,bn:00682057n,,"serbian_rock, rock_music_in_serbia, serbian_rock_music",Serbian rock is the rock music scene of Serbia.,rock_serbe,YES
,bn:00682103n,,"rock_music_in_bosnia_and_herzegovina, bosnian_rock",The rock music of Bosnia and Herzegovina mostly developed during the time when Bosnia was part of socialist Yugoslavia.,musique_rock_en_bosnie-herzégovine,YES
,bn:00682224n,,"rock_music_in_switzerland, swiss_rock","Rock and roll first entered Switzerland in the 1950s, as a series of American musicians popularized the style internationally.",rock_suisse,YES
,bn:00683005n,,"kanjira, kañjīrā, khanjira, ganjira, kanjeera","The kanjira, khanjira, khanjiri or ganjira, a South Indian frame drum, is an instrument of the tambourine family.",kanjira,YES
,bn:00683367n,,"jazz_drumming, jazz_drummer, jazz_drums, jazz_time_signature",Jazz drumming is the art of playing percussion in jazz styles ranging from 1910s-style Dixieland jazz to 1970s-era jazz fusion and 1980s-era Latin jazz.,batteur_de_jazz,YES
,bn:00683514n,,piston,"The piston is a type of oboe invented by Breton musician, teacher, and luthier Youenn Le Bihan in 1983.",piston,YES
,bn:00685053n,,zabumba,A zabumba is a type of bass drum used in Brazilian music.,zabumba,YES
,bn:00689098n,,"psychedelic_trance, psytrance, full_on, dark_psytrance, psy_trance, psychedelic_breakbeat, psy_music, israeli_trance, dark_psy, psy-trance, minimal_psytrance, dark_psychedelic_trance, melodic_psytrance, psychedelic_trance_music, russian_psytrance, psy, full-on, minimal_psychedelic_trance, fullon, scandinavian_trance, psyprog, russian_psychedelic_trance, psybient, psybreaks, progressive_psytrance, minimalist_trance, black_trance, minimal_trance, morning_trance","Psychedelic trance, psytrance or psy is a subgenre of trance music characterized by arrangements of rhythms and layered melodies created by high tempo riffs.","trance_psychédélique, psy_trance, psytrance, psychedelic_trance, goa-trance, trance_psychedelique, trance-goa, goa_&_psychedelic_trance, liste_d'artistes_de_trance_psychédélique, trance_goa, goa_trance, psy-trance, psytrance_sombre",YES
,bn:00689478n,,baroque_orchestra,"A Baroque orchestra is a large ensemble for mixed instruments that existed during the Baroque era of Western Classical music, commonly identified as 1600–1750.",orchestre_baroque,YES
,bn:00689601n,,"baroque_violin, baroque_violinist, baroque_cello, baroque_bow",A Baroque violin is a violin set up in the manner of the baroque period of music.,"violon_baroque, violoncelle_baroque",YES
,bn:00690142n,,"progressive_bluegrass, newgrass","Il progressive bluegrass è uno dei sottogeneri più importanti del bluegrass, sviluppatosi negli Stati Uniti a cavallo fra gli anni sessanta e settanta del XX secolo.","newgrass, bluegrass_progressif, progressive_bluegrass",YES
,bn:00697308n,,dive_bomb,"Dive bomb is a guitar technique in which the tremolo bar, or whammy bar is used to rapidly lower the pitch of a note, creating a sound considered to be similar to a bomb dropping.",bombe_de_plongée,YES
,bn:00699049n,,dubbing,"In sound recording, dubbing is the transfer or copying of previously recorded audio material from one medium to another of the same or a different type.",doublage,YES
,bn:00701768n,,"bootleg_recording, bootleg, roio, bootleg_album, bootlegs, bootleg_cassette, bootleg_records, audio_bootleg, bootleg_recordings, music_bootleg, bootleg_movie, bootleg_record",A bootleg recording is an audio or video recording of a performance not officially released by the artist or under other legal authority.,"bootleg, bootlegs, album_pirate, discographie_pirate, enregistrement_bootleg, bootleg_enregistrements",YES
,bn:00702170n,,"symphonic_poem, symphonic_poems, tone_poem, tondichtung, poema, symphonic_picture, symphonische_dichtung","A symphonic poem or tone poem is a piece of orchestral music, usually in a single continuous movement, which illustrates or evokes the content of a poem, short story, novel, painting, landscape, or other source.","poème_symphonique, poèmes_symphoniques, poeme_symphonique",YES
,bn:00702610n,,"japanese_hip_hop, j-hip_hop, japanese_rap_music, j-hiphop, j-rap, japanese_hip-hop, japanese_rap, nip_hop",Japanese hip hop is said to have begun when Hiroshi Fujiwara returned to Japan and started playing hip hop records in the early 1980s.,"hip-hop_au_japon, j-rap, rap_japonais, jrap, hiphop_japonais, hip-hop_japonais",YES
,bn:00704223n,,"electroclash, retro-electro, synthtron, new_new_wave, tech-pop, synthcore, elektroclash, electro, retro_electro, electro_clash, electroklash, electroclash_kids, nouveau_disco","Electroclash is a genre of music that fuses 1980s electro, new wave and synth-pop with 1990s techno, retro-style electropop and electronic dance music.","electroclash, electro-clash, retro_electro, new_new_wave, tech_pop, nouveau_disco",YES
,bn:00705180n,,"garage_rock, garage_rock_revival, garage_band, 60s_punk, garge_rock, garage-rock, garage_pop, garage_bands, arizona_garage, frat_rock, 1960s_punk, garage_revival, 1990s_garage_rock, 1980s_garage_rock, garage_rock/post-punk_revival","Garage rock is a raw and energetic style of rock and roll that flourished in the mid-1960s, most notably in the United States and Canada, and has experienced a series of subsequent revivals.","garage_rock, rock_garage, garage, groupes_de_garage, renouveau_garage_rock, frat_rock",YES
,bn:00707890n,,"polyrhythm, polyrhythms, tribal_rhythms, african_polyrhythm, polyrhythmics, polyrythm, polymetre, polyrhythmic, tribal_rhythm","Polyrhythm is the simultaneous use of two or more rhythms that are not readily perceived as deriving from one another, or as simple manifestations of the same meter.","polyrythmie, polyrythme, polyrythmique, rythmes_tribaux, polyrythmies",YES
,bn:00709554n,,"vocal_learning, go:0042297","Vocal learning is the ability to modify acoustic and syntactic sounds, acquire new sounds via imitation, and produce vocalizations.",apprentissage_vocal,YES
,bn:00709593n,,"irish_traditional_music_session, irish_jam_session, seisiún, irish_sessions, seisiun, irish_jam_sessions, irish_session",Irish traditional music sessions are mostly informal gatherings at which people play Irish traditional music.,session_de_musique_traditionnelle_irlandaise,YES
,bn:00710285n,,"entrainment, beat_induction, foot_tapping",Entrainment in the biomusicological sense refers to the synchronization of organisms to an external perceived rhythm such as human music and dance.,entraînement,YES
,bn:00710662n,,"house_band, houseband","A house band is a group of musicians, often centrally organized by a band leader, who regularly play at an establishment.","groupe_en_résidence, groupe_maison, orchestre_maison, house_band",YES
,bn:00711086n,,wordless_functional_analysis,Wordless functional analysis is a method of musical analysis developed in the 1950s by the Austrian-born British musician and writer Hans Keller.,analise_fonctionnelle_sans_mots,YES
,bn:00711790n,,"heptatonic_scale, egyptian_scale, heptatonic, heptatone_scales, septatonic_scale",A heptatonic scale is a musical scale that has seven pitches per octave.,"heptatonique, échelle_heptatonique",YES
,bn:00711792n,,"hexatonic_scale, blues_box, miracle_hexachord, wunderreihe, augmented_scale, six-note_scale, tritone_scale, hexatonic, set-class_6-20, two-semitone_tritone_scale, liszt_mode, hexatonic_system","In music and music theory, a hexatonic scale is a scale with six pitches or notes per octave.",hexatonic,YES
,bn:00715870n,,"unfinished_symphony, unfinished_musical_compositions","An unfinished symphony is a fragment of a symphony, by a particular composer, that musicians and academics consider incomplete or unfinished for various reasons.",,YES
,bn:00717538n,,"ancient_music, music_in_ancient_persia, archaeomusicologist, ancient_chinese_music","Ancient music refers to the musical systems that were developed in the ancient past, literate cultures, including Mesopotamia, India, Persia, Egypt, China, Greece, and Rome, which replaced prehistoric music.",musique_ancienne,YES
,bn:00717773n,,"prehistoric_music, primitive_music, evolution_of_music, music, origins_of_music, ancient_musical_instrument, prehistory_of_music, prehistoric_musical_instrument","Prehistoric music is a term in the history of music for all music produced in preliterate cultures, beginning somewhere in very late geological history.","musique_préhistorique, préhistoire_de_la_musique, musique_de_la_préhistoire, instruments_de_musique_préhistoriques, paléo-musique",YES
,bn:00718320n,,"one-hit_wonder, one-hit_wonders, one_hit_wonders, two_hit_wonders, two-hit_wonder, 1_hit_wonder, one_hit_wonder, one-hit-wonder, two_hit_wonder, favorite_one_hit_wonders, one-hit_wonders_in_classical_music, one_note_wonder, two-hit_wonders","A one-hit wonder is any entity that achieves mainstream popularity, often for only one piece of work, and becomes known among the general public solely for that momentary success.","one-hit_wonder, one_hit_wonder, succès_sans_lendemain",YES
,bn:00724075n,,"barre_chord, barr_chord, bar_chord, barr, barred_chord, barring, caged, diagonal_barre_chord, barre_chords, barré_chord, bar_chords","In music, a barre chord is a type of chord on a guitar or other stringed instrument, that the musician plays by using one or more fingers to press down multiple strings across a single fret of the fingerboard.","barré, accord_barré, accords_barrés",YES
,bn:00725470n,,"travesti, en_travesti","Travesti is a theatrical term referring to the portrayal of a character in an opera, play, or ballet by a performer of the opposite sex.","travesti, rôle_travesti, role_travesti, en_travesti",YES
,bn:00727057n,,"guest_appearance, guest_star, guest_role, featuring, feat., guest_of_honour, featured_guest, guest_actress, guest_appearances, guest_vocalist, featured_artist, guest_of_honor, guest_stars, guest_starring, guest_vocal, guest_performer, featured_performer, guest-star, guest_solo, ft., guests_of_honor, guest_vocals, special_guest_star, guest_actor, guest_artist","In show business, a guest appearance is the participation of an outsider performer in an event such as a music record or concert, show, etc., when the performer does not belong to the regular band, cast, or other performing group.","guest-star, guest_star, invité_d'honneur, vocals_d'invité, apparition, chanteuse_invitée, chanteur_invité, mettant_en_vedette, rôle_d'invité, guest_stars",YES
,bn:00734358n,,"rebec, rubeba, ribible, rebequin, patchi, rebeck, rebet",The rebec is a bowed stringed instrument of the Medieval era and the early Renaissance.,"rebec, rabāb, rébec",YES
,bn:00735003n,,"traditional_irish_music, irish_traditional_music, irish_folk_music, irish_trad, folk_music_of_ireland, irish_folk, irish_traditional, irish_folk_songs, traditional_music_of_ireland, irish_folk_song, traditional_music_of_northern_ireland, traditional_music_of_the_republic_of_ireland, folk_music_of_northern_ireland, goltrai, suantrai",Irish traditional music is a genre of folk music that developed in Ireland.,"musique_traditionnelle_irlandaise, folk_irlandais, musique_folk_irlandaise, musique_traditionnelle_de_l'irlande",YES
,bn:00735193n,,"war_song, military_song, military_songs, war_songs, world_war_i_song","A war song is a musical composition that relates to war, or a society's attitudes towards war.","chant_militaire, chanson_de_soldat",YES
,bn:00735887n,,"tejano_music, tex-mex, tex-mex_and_tejano_music, texmex, orquesta_tejana, tejano, tex-mex_music, musica_tejana, tex-mex_and_tejano","Tejano music also música tejana is a popular music style fusing Mexican, European, and U.S. influences.","musique_tex-mex, tex-mex, tejano_music, musique_tejano",YES
,bn:00736133n,,"lion's_roar, rugghio_di_leone, löwengebrull",The lion's roar is a membranophone instrument that has a drum head and a cord or horsehair passing through it.,tambour_à_corde,YES
,bn:00737410n,,"fade, crossfader, fade-out, pre-fader_listening, pre_fade_listener, cross-fader, pfl_-_pre-fader_listen, fader, crossfade","In audio engineering, a fade is a gradual increase or decrease in the level of an audio signal.","crossfader, fader, crossfading, faders, fade-out, fondu",YES
,bn:00737478n,,kotar,A kotar is a type of prepared guitar with a sound reminiscent of the koto.,kotar,YES
,bn:00738845n,,dhak,The dhak is a huge membranophone instrument from India.,dhak,YES
,bn:00739902n,,"dhaki, dhakis","Dhakis are traditional drummers who play the dhak during Hindu festivals, primarily in Bengal.",dhaki,YES
,bn:00740759n,,"classic_rag, classical_ragtime, classic_ragtime","For the term ""rag"" in classical Indian music, see Raga.",classic_rag,YES
,bn:00741173n,,"sound_system, jamaican_sound_system, reggae_sound_system","In Jamaican popular culture, a sound system is a group of disc jockeys, engineers and MCs playing ska, rocksteady or reggae music.",,YES
,bn:00741640n,,indonesian_popular_music_recordings,"Recorded music is a reflection of modern Indonesian history and culture—specifically class consciousness, economics and post-colonial identity.",enregistrements_de_musique_populaire_indonesienne,YES
,bn:00741848n,,"darkcore, darkside_hardcore, darkside_jungle","Darkcore is a music subgenre of breakbeat hardcore and jungle in the UK rave scene, that emerged from late 1992.","darkcore, darkside",YES
,bn:00745036n,,armenian_opera,Armenian opera is the art of opera in Armenia or opera by Armenian composers.,opéra_arménienne,YES
,bn:00745238n,,"pueblo_music, hopi_music, zuni_music","Pueblo music includes the music of the Hopi, Zuni, Taos Pueblo, San Ildefonso, Santo Domingo, and many other Puebloan peoples, and according to Bruno Nettl features one of the most complex Native American musical styles on the continent.",musique_pueblo,YES
,bn:00745738n,,sporting_song,"A Sporting Song is a folk-song which celebrates Fox hunting, Horse racing, Gambling and other recreations.",,YES
,bn:00746809n,,bebung,Bebung is a type of vibrato executed on the clavichord.,bebung,YES
,bn:00749587n,,navajo_music,"Navajo music is music made by Navajos, mostly hailing from the Four Corners region of the Southwestern United States and the territory of the Navajo Nation.",musique_navajo,YES
,bn:00749779n,,"sociomusicology, sociology_of_music, music_sociology, sociomusicologist","Sociomusicology, also called music sociology or the sociology of music, refers to both an academic subfield of sociology that is concerned with music, as well as a subfield of musicology that focuses on social aspects of musical behavior and the role of music in society.",sociologie_de_la_musique,YES
,bn:00750078n,,"hindu_music, hindu_songs",Hindu music is music created for or influenced by Hinduism.,musique_hindoue,YES
,bn:00750438n,,"narodna_muzika, folk_muzika","Narodna muzika also called Folk muzika means folk music in the South Slavic languages; Bosnian, Bulgarian, Macedonian, Montenegrin and Serbian.",narodna_muzika,YES
,bn:00751680n,,resheto,The resheto is a Ukrainian percussive folk instrument.,resheto,YES
,bn:00751975n,,"incomplete_repetition, aabc_form","Incomplete repetition is a musical form featuring two large sections, the second being a partial or incomplete re-presentation or repetition of the first.",repétition_incomplète,YES
,bn:00753886n,,yuman_music,"Yuman music is the music of Yumans, a group of Native American tribes from what is now Southern California and Baja California.",musique_yuman,YES
,bn:00754217n,,"christmas_music, christmas_song, holiday_song, non-christmas_christmas_songs, christmas_album, holiday_album, list_of_christmas_songs, christmas_albums, holiday, list_of_christmas_number_one_singles, xmas_music, holiday_music, christmas_songs, list_of_non-religious_christmas_songs",Christmas music comprises a variety of genres of music regularly performed or heard around the Christmas season.,"musique_de_noël, chant_de_noël, album_de_vacances, chansons_de_noël, musique_de_vacances, album_de_noël",YES
,bn:00754315n,,"pastorale, pastorella","Pastorale refers to something of a pastoral nature in music, whether in form or in mood.","pastorale, bergerie",YES
,bn:00755531n,,"radio_orchestra, broadcast_orchestra, television_orchestra",A radio orchestra is an orchestra employed by a radio network in order to provide programming as well as sometimes perform incidental or theme music for various shows on the network.,"orchestre_radiophonique, orchestre_de_la_radio",YES
,bn:00760181n,,"calypso, calypso_music, calypso_jazz, calypso-jazz",Calypso is a style of Afro-Caribbean music that originated in Trinidad and Tobago during the early to mid-19th century and spread to the rest of the Caribbean Antilles and Venezuela by the mid-20th century.,"calypso, jazz_calypso, musique_calypso",YES
,bn:00761567n,,"sambass, drum_'n'_bossa","Sambass, drum 'n' bossa or drum 'n' sambass is a regional subgenre of drum and bass music mostly native to Brazil, which combines drum and bass rhythms with influences from Latin American music.",sambass,YES
,bn:00762123n,,"ottoman_classical_music, ottoman_music, turkish_classical_music, turk_sanat_muzi, turk_sanat_muzgi, tuerk_sanat_muezi, classical_turkish_music, türk_sanat_müziği, tuerk_sanat_muezgi, turkish_art_music, turkish_court_music, classical_music_in_turkey, ottoman_turkish_music",Ottoman music was developed in Istanbul and other major Ottoman cities and towns through the palaces and Sufi lodges of the Ottoman Empire.,"musique_ottomane, musique_classique_turque",YES
,bn:00764459n,,kirikoketa,The kirikoketa is a specialized Basque music wooden device akin to the txalaparta and closely related to working activities.,kirikoketa,YES
,bn:00765226n,,"uk_garage, ukg, speed_garage, garage_hop, post-garage, ukg:_uk_garage_and_two-step","UK garage, abbreviated as UKG, is a genre of electronic music which originated in England in the early to mid-1990s.",uk_garage,YES
,bn:00767338n,,"jesus_music, gospel_beat","Jesus music, known as gospel beat music in the United Kingdom, is a style of Christian music that originated on the West Coast of the United States in the late 1960s and early 1970s.",musique_jésus,YES
,bn:00767815n,,"conjunto, conjunto_de_música_calentana, conjunto_de_arpa_grande, conjunto_jarocho, conjunto_calentano, conjunto_tejano, conjunto_huasteco","The term conjunto refers to several types of small musical ensembles present in different Latin American musical traditions, mainly in Mexico and Cuba.","conjunto, conjunto_tex-mex",YES
,bn:00769724n,,"natural_sounds, natural_sound, nature_sounds, non-synthesized_sound","Natural sounds are any sounds produced by non-human organisms as well as those generated by natural, non-biological sources within their normal soundscapes.","son_naturel, musique_naturelle, sons_naturels",YES
,bn:00774296n,,"acousmatic_sound, visualized_sound, acousmatique, acousmatic",Acousmatic sound is sound that is heard without an originating cause being seen.,acousmatique,YES
,bn:00774370n,,"power_trio, power_trios, rock_trio","A power trio is a rock and roll band format having a lineup of electric guitar, bass guitar and drum kit, leaving out the second rhythm guitar or keyboard instrument that are used in other rock music bands that are quartets and quintets.","power_trio, trios_électriques",YES
,bn:00774652n,,strain,A strain is a series of musical phrases that create a distinct melody of a piece.,,YES
,bn:00775821n,,"maqam, arabic_maqam, arab_maqam, arabian_maqam","Arabic maqam is the system of melodic modes used in traditional Arabic music, which is mainly melodic.","maqâm, les_maqâms, muqâm, muqam, muqam_ouïgour, maqam, maqôm, maqam_arabe",YES
,bn:00776406n,,zouglou,Zouglou is a dance oriented style of music originated from Côte d'Ivoire during the mid-1990s.,"zouglou, zougloumen",YES
,bn:00778194n,,"slit_drum, slit_drums, slit_gong, tongue_drum, tongue_drums, log_drums, gulgul, slit-drum, incision_drum, slit-gong, slit_gongs, log_drum, bamboo_slit_drum",A slit drum or slit gong is a hollow percussion instrument.,"tambour_à_fente, gong_à_fente, tambour_langue",YES
,bn:00781959n,,"cântec_batrânesc, cantec_batranesc",Cântec batrânesc is a traditional form of ballad which originates from Romania.,"cântec_batrânesc, cantec_batranesc",YES
,bn:00783163n,,"systematic_musicology, systematische_musikwissenschaft, systematic_music_theory","Systematic musicology is an umbrella term, used mainly in Central Europe, for several subdisciplines and paradigms of musicology.",musicologie_systématique,YES
,bn:00783894n,,"blues_scale, jazz_scale, jazz_scales, jazz_melodic_minor_scale",The term blues scale refers to several different scales with differing numbers of pitches and related characteristics.,gamme_blues,YES
,bn:00784281n,,biguine,"Biguine is a rhythm-centric style of music that originated from Saint-Pierre, Martinique in the 19th century.","biguine, la_biguine_instruments",YES
,bn:00785696n,,baisha_xiyue,"Baisha xiyue is one of the two surviving forms of traditional music of the Naxi people of Lijiang, Yunnan Province, China, known as ""Naxi ancient music"".",baisha_xiyue,YES
,bn:00786379n,,"carimbo, carimbó, rhythm_carimbo",Carimbó is a Brazilian dance.,"carimbo, rythme_carimbo, carimbó",YES
,bn:00788252n,,"liquid_funk, liquid_dnb, liquid_drum_&_bass, liquid_drum_and_bass, liquid, melodic_dum_&_bass","Liquid funk, liquid drum & bass, liquid DnB, liquid or sometimes just melodic drum & bass is a subgenre of drum and bass.","liquid_funk, funk_liquide",YES
,bn:00789205n,,"analog_synthesizer, analogue_synthesizer, analog_synthesiser, polyphonic_analogue_synthesizer, analogue_synthesiser, synthesist, analog_synth, analog_synthesis, analogue_synthesisers, analog_synthesizers",An analog synthesizer is a synthesizer that uses analog circuits and analog signals to generate sound electronically.,"synthétiseur_analogique, synthétiseurs_analogiques, synthétiseur",YES
,bn:00789289n,,"pop_rock, pop/rock, rock/pop, pop-rock, melodic_rock, guitar_pop_rock, pop-rock_music, guitar_pop, pop_rock_music, guitar-pop, pop_'n'_roll, rock_pop, pop-_rock, poprock, rock_-_pop, pop/rock_music","Pop rock is rock music with a greater emphasis on professional songwriting and recording craft, and less emphasis on attitude.","pop_rock, pop-rock, pop/rock, pope_rauque, rock_mélodique, pop__rock",YES
,bn:00789872n,,"single, dvd_single, singles, 45_record, 45, 7-inch_vinyl, 45rpm_single, 7”, seven_inch_single, 7_inch_record, digital_single, single_play, videotape_single, internet_single, ld_single, single_album, music_single, 10_inch_single, radio_single, 7_inch_single, 45-rpm, single_record, 7″_single, biggest_singles, single_players, 45_rpm_single, physical_single, 7-inch_record, single_plays, sps, 7""_single, 7-inch_records, 45-rpm_record","In music, a single is a type of release, typically a song recording of fewer tracks than an LP record or an album.","single, cd_single, monoplage, simple, compact_disc_single, cassette_single, monoplages, seul_enregistrement, 45, seule_musique",YES
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.","remix, remixeur, remixage, remixée, remixe, remixer, remix_service, remake, dance_remix, remixes, remix_dance",YES
,bn:00791135n,,"sioux_music, dakota_music, nakota_music, lakota_music","The Sioux are a large group of Native Americans generally divided into three subgroups: Lakota, Dakota and Nakota.",musique_sioux,YES
,bn:00791149n,,iroquois_music,The Iroquois is a confederacy of six Native American tribes.,musique_iroquoise,YES
,bn:00795268n,,"ondō, ondo",Ondō is a type of Japanese folk music genre.,"ondō, ondo",YES
,bn:00795601n,,stutter_edit,"The stutter edit is the rhythmic repetition of small fragments of audio, occurring as the common 16th note repetition, but also as 64th notes and beyond, with layers of digital signal processing operations in a rhythmic fashion based on the overall length of the host tempo.",édition_de_bégaiement,YES
,bn:00796621n,,"piano_four_hands, vier_händen, a_quattro_mani, piano_four-hands, four_hands, piano_4_hands, four_hand_piano, zu_vier_händen, vierhändig, piano, four-hand_piano, secondo, a_quatre_mains, quattro_mani, piano_four_hand, à_quatre_mains",Piano four hands is a type of piano duet involving two players playing the same piano simultaneously.,"piano_à_quatre_mains, à_quatre_mains",YES
,bn:00797855n,,furiant,"A furiant is a rapid and fiery Bohemian dance in alternating 2/4 and 3/4 time, with frequently shifting accents; or, in ""art music"", in 3/4 time ""with strong accents forming pairs of beats"".",furiant,YES
,bn:00799530n,,sustain,Sustain označuje dobu trvání ustáleného zvuku hudebního nástroje.,"sustain, maintien",YES
,bn:00804704n,,"hemiola, african_hemiola_style, emiolia","In music, hemiola is the ratio 3:2.","hémiole, hemiole",YES
,bn:00805165n,,ambiophonics,"Ambiophonics is a method in the public domain that employs digital signal processing and two loudspeakers directly in front of the listener in order to improve reproduction of stereophonic and 5.1 surround sound for music, movies, and games in home theaters, gaming PCs, workstations, or studio monitoring applications.",ambiophonie,YES
,bn:00809924n,,afrocubanismo,"Afrocubanismo was an artistic and social movement in black-themed Cuban culture with origins in the 1920s, as in works by the cultural anthropologist Fernando Ortiz.",afrocubanismo,YES
,bn:00811735n,,"nigun, hasidic_music, nign, chassidic_music, nigunim, niggun, niggunim, chasidic_music",A nigun or niggun is a form of Jewish religious song or tune sung by groups.,"nigunim, nigun, nigoun, nigounim, niggun, niggounim, niggoun, niggunim",YES
,bn:00817347n,,organ_concerto,"An organ concerto is a piece of music, an instrumental concerto for a pipe organ soloist with an orchestra.",concerto_pour_orgue,YES
,bn:00817931n,,"dappan_koothu, tappaankuthu, dappankuthu, dappanguthu, tappankuthu, dappaankuthu, tapanguchi, dappaan_koothu",Dappan Koothu is a folk dance and music genre with an emphasis on percussion performed in the South Indian state of Tamil Nadu.,dappan_koothu,YES
,bn:00818980n,,"min'yō, min'yo, nippon_minyo, min'you",Min'yō is a genre of traditional Japanese music.,"minyō, min'yō, min'yo, minyo, min'yô, minyô",YES
