wn_synset,bn:id,lemmata EN,definition,lemmata DE,is it related to music?
,bn:03113002n,"italian_folk_music, folk_music_of_italy, traditional_music_of_italy, folk_and_popular_music_of_italy",Italian folk music has a deep and complex history.,italienische_volksmusik,YES
,bn:03326423n,"italian_hip_hop, italian_rap, italian_hip_hop_movement",Italian hip hop started in the 1980s.,"italienischer_hip-hop, hip-hop_in_italien, italienischen_hip-hop",YES
,bn:00452495n,"italo_disco, space_disco, italo-disco, italodisco, disco_italo, spaghetti_disco, spacesynth, italian_disco",Italo disco is a music genre which originated in Italy and was mainly produced in 1980s.,"italo_disco, italo-disco, italodisco",YES
,bn:00164862n,"italo_house, italo-house, italian_house",Italo house is a form of house music originating in Italy.,italo_haus,YES
,bn:00328024n,,Italo dance és el nom d'un gènere musical derivat de l'eurodance que s'anomena així per la procedència italiana de molts dels seus productors més famosos.,italodance,YES
,bn:08700009n,,երաժշտական ալբոմ,jag_kan_om_jag_vill,NO
,bn:02725269n,"jam_band, jamband, jambands, jamtronica, jam_band_festivals, jam_rock, livetronica, jam_bands, jam-band, jam_band_festival, jam_band_music","A jam band is a musical group whose live albums and concerts relate to a fan culture that began in the 1960s with the Grateful Dead, who held lengthy improvisational ""jams"" during their concerts.","jam-band, jamband, jam-bands",YES
,bn:12856355n,,Lied von Lou Dalfin,jan_d'_l'eiretto,NO
,bn:12856362n,,Optional.empty,jan_del_car,NO
,bn:03628576n,"turkish_music, turkish_style","Turkish music, in the sense described here, is not the music of Turkey, but rather a musical style that was occasionally used by the European composers of the Classical music era.","janitscharenmusik, türkischer_marsch, türkenmarsch, mehter_marsi, die_mehter_märsche, mehter_marşı",YES
,bn:02942541n,"japanese_jazz, j_jazz",Japanese jazz is jazz played by Japanese musicians and connected to Japan or Japanese culture.,japanischen_jazz,YES
,bn:00702610n,"japanese_hip_hop, j-hip_hop, japanese_rap_music, j-hiphop, j-rap, japanese_hip-hop, japanese_rap, nip_hop",Japanese hip hop is said to have begun when Hiroshi Fujiwara returned to Japan and started playing hip hop records in the early 1980s.,"japanischer_hip-hop, j-hip_hop, japanischer_hip_hop, hip-hop_in_japan, j-hip-hop, nip_hop",YES
,bn:02383297n,"jazz_funeral, new_orleans_funeral, new_orleans_funeral_music, funeral_with_music, new_orleans_jazz_funeral","A jazz funeral is a funeral procession accompanied by a brass band, in the tradition of New Orleans, Louisiana.","jazz-beerdigung, jazz_funeral",YES
,bn:00930163n,"punk_jazz, jazz_punk, jazzcore, swing_punk, thrash_jazz",Punk jazz is a music genre that describes the amalgamation of elements of the jazz tradition with the instrumentation or conceptual heritage of punk rock.,jazzcore,YES
,bn:02053243n,"jazz-funk, jazz_funk, funk-jazz","Jazz-funk is a subgenre of jazz music characterized by a strong back beat, electrified sounds and an early prevalence of analog synthesizers.","jazzfunk, jazz-funk",YES
,bn:01265523n,"jazz_piano, jazz_pianist, jazz-pianist",Jazz piano is a collective term for the techniques pianists use when playing jazz.,"jazz-piano, jazz-pianist, jazzpiano, jazzpianist",YES
,bn:01419045n,"jazz_rap, hip_hop_jazz, jazzhop, rap_jazz, razz_music, jazz_hop, jazz-rap, jazz_hip_hop","Jazz rap is a fusion of jazz and hip hop music, as well as an alternative hip hop subgenre, that developed in the late 1980s and early 1990s.","jazz-rap, jazz_rap, jazz-rap-gruppe",YES
,bn:01845982n,"jazz_standard, list_of_modal_and_post-bop_jazz_standards, list_of_swing_jazz_standards, list_of_latin_and_funk_jazz_standards, list_of_bebop_jazz_standards, list_of_mainstream_jazz_standards, jazz-standard, jazz_standards, list_of_jazz_pieces, list_of_swing_standards, list_of_bossa_nova_standards, standards, bossa_nova_standard, list_of_dixieland_standards, list_of_jazz_standards, list_of_bossa_standards","Jazz standards are musical compositions that are an important part of the musical repertoire of jazz musicians, in that they are widely known, performed, and recorded by jazz musicians, and widely known by listeners.","jazzstandard, jazz-standard, jazz-standards",YES
,bn:03213621n,"jersey_shore_sound, jersey_shore","The Jersey Shore sound is a genre of rock and roll popularized at the Jersey Shore on the Atlantic Ocean coast of New Jersey, United States.",jersey_shore_sound,YES
,bn:14075775n,,Muziekalbum,jetzt_erst_recht,NO
,bn:00153720n,"jiangnan_sizhu, jiang_nan_si_zhu, sizhu",Jiangnan sizhu is a style of traditional Chinese instrumental music from the Jiangnan region of China.,jiangnan_sizhu,YES
,bn:00390353n,"jit, jiti, harare_beat, jit-jive",Jit is a style of popular Zimbabwean dance music.,jit,YES
,bn:03180173n,"joik, yoik, yoiker, joiking, jojk, luohti, jojkare, yoiking",A joik or yoik is a traditional form of song in Sámi music performed by the Sámi people of Sapmi in Northern Europe.,"joik, joiken, jojk",YES
,bn:01753668n,"jōruri, jôruri, joruri",Jōruri is a form of traditional Japanese narrative music in which a tayū sings to the accompaniment of a shamisen.,jōruri,YES
,bn:17056305n,,Muziekalbum,josie,NO
,bn:00168766n,"religious_jewish_music, judaic_music, jewish_liturgical_music",This article describes the principal types of religious Jewish music from the days of the Temple to modern times.,jüdische_geistliche_musik,YES
,bn:03285905n,"jugalbandi, jugalbhandhi, jugalbandhi","A jugalbandi or jugalbandhi is a performance in Indian classical music, especially in Hindustani classical music, but also in Carnatic that features a duet of two solo musicians.","jugalbandi, jugalbandhi",YES
,bn:00181832n,"popular_music_in_the_socialist_federal_republic_of_yugoslavia, yugoslav_pop_and_rock_music, yu_rock, sfr_yugoslav_pop_and_rock_scene, yugoslav_pop_and_rock, yugoslav_rock, yugoslav_pop_and_rock_scene, yu_pop, yugoslav_rock_scene, popular_music_in_yugoslavia, yugoslavia_pop_music, yugoslav_pop_music, sfr_yugoslavia_pop_and_rock_music_scene, yugoslav_pop_and_rock_music_scene, yupop, ex-yu_rock_pop, yugoslav_rock_music, sfr_yugoslav_pop_and_rock_music_scene, ex-yu_music, yugoslav_pop_rock_music, yugoslavia_rock_music, sfr_yugoslav_pop_rock_scene, yugoslavia_rock","Popular music in Yugoslavia includes the pop and rock music of the former SFR Yugoslavia, including all their genres and subgenres.",jugoslawischen_rockszene,YES
,bn:00382065n,"jùjú_music, juju_music, afro-juju, ju_ju_music, jùjú","Jùjú is a style of Nigerian popular music, derived from traditional Yoruba percussion.","jùjú, juju_music",YES
,bn:00403381n,juke_joint_blues,Optional.empty,juke_joint_blues,YES
,bn:08609662n,,երաժշտական ալբոմ,jukebox_-_burton_cummings_och_randy_bachman,NO
,bn:16650372n,,Jungle ist ein Lied der amerikanischen Hardrock-Band Kiss.,jungle,NO
,bn:01417795n,"jungle_music, jungle, oldschool_jungle, ragga_jungle, jump-up_jungle, oldskool_jungle, ragga-jungle, old_school_jungle, ambient_jungle, hardcore_jungle, oldschool_drum_and_bass",Jungle is a music genre that developed out of the UK rave scene and sound system culture in the 1990s.,"jungle, junglist, ragga_jungle, oldschool_dschungel",YES
,bn:08672645n,,երաժշտական ալբոմ,just_doin'_it!,NO
,bn:11520443n,,երաժշտական ալբոմ,kaahlender,NO
,bn:03308442n,kakegoe,"Kakegoe usually refers to shouts and calls used in performances of traditional Japanese music, Kabuki theatre, and in martial arts such as kendo.",kakegoe,YES
,bn:02833544n,"kan_ha_diskan, kan-ha-diskan",Kan ha diskan is probably the most common type of traditional music of Brittany.,kan_ha_diskan,YES
,bn:00515729n,"canadian_rock, rock_music_of_canada, canadian_rock_music, canadian_thrash_metal","Rock music of Canada is a wide and diverse part of the general music of Canada, beginning with American and British style rock and roll in the mid-20th century.",kanadischen_rockband,YES
,bn:13968986n,,Muziekalbum,"kann_denn_schwachsinn_sünde_sein_…?, kann_denn_schwachsinn_sünde_sein…?, kann_denn_schwachsinn_sünde_sein, kann_denn_schwachsinn_sünde_sein?, kann_denn_schwachsinn_sünde_sein...?",NO
,bn:03464336n,"kansas_city_jazz, kanas_city_jazz","Kansas City jazz is a style of jazz that developed in Kansas City, Missouri during the 1920s and 1930s, which marked the transition from the structured big band style to the musical improvisation style of Bebop.","kansas_city_jazz, kansas-city-jazz",YES
,bn:00877028n,"carnatic_music, carnatic_sangeet, carnatic_classical_music, karnataka_music, karnataka_sangita, karnatic_classical_music, karnatic_music, karnāṭaka_saṃgīta, south_indian_classical, karnataka_sangeeth, carnatic_musician, karnakata_sangeetha, karnāṭaka_saṅgītam, origins_and_history_of_carnatic_music, list_of_carnatic_music_festivals, karnataka_sangeeta, javali, karnataka_sangeetham, karnataka_sangeetha, karnatak_music, south_indian_music, dravidian_music","Carnatic music, known as Karnāṭaka saṃgīta or Karnāṭaka saṅgītam in the South Indian languages, is a system of music commonly associated with South India, including the modern Indian states of Karnataka, Andhra Pradesh, Telangana, Kerala and Tamil Nadu, and Sri Lanka.","karnatische_musik, carnatic_klassische_musik, carnatic_musik",YES
,bn:00377886n,kaseko,"A musical genre from Suriname, a fusion of African, European and American styles.",kaseko,YES
,bn:03083153n,"cassation, kassation",Cassation is a minor musical genre related to the serenade and divertimento.,"kassation, cassazione",YES
,bn:01967366n,"kayōkyoku, kayokyoku","Kayōkyoku is a Japanese pop music genre, which became a base of modern J-pop.","kayōkyoku, kayokyoku",YES
,bn:02427719n,"celtic_fusion, celtic_reggae, celtic_rap, celtic_hip_hop","Celtic fusion is an umbrella term for any modern music which incorporates influences considered ""Celtic"", or Celtic music which incorporates modern music.",keltische_fusion,YES
,bn:03271664n,kinderwhore,Kinderwhore was a clothing style used by a handful of mostly female grunge bands in the US during the early to mid-1990s.,kinderwhore,YES
,bn:08646627n,,երաժշտական ալբոմ,kirsuberjagarðurinn,NO
,bn:00209143n,"čoček, cocek, kyuchek, chochek, kyutchek",Čoček is a musical genre and dance that emerged in the Balkans during the early 19th century.,"kjutschek, čoček, cocek, çyçek, qyqek",YES
,bn:08576018n,,երաժշտական ալբոմ,klappa_händerna_&_co.,NO
,bn:03321905n,"classical_period, classical_music_era, classical_music_period, classical_period_music, vienese_classic, classical-period_music, viennese_classicism, wiener_klassik, classical_era_of_music, classical_era_music, classical_music, classical_era_in_music, classical_period_in_music, viennese_classical, classical-era_music, classical_era, classical_period_of_music",The Classical period was an era of classical music between roughly 1730 and 1820.,"klassik, klassischen_musik-ära, klassischen_periode",YES
,bn:03391449n,"hindustani_classical_music, hindustani_music, hindustani_sangeet, north_indian_classical_music, northern_indian_classical_music, pakistani_classical_music, hindustani_classical, classical_music_of_pakistan, hindi-urdu_classical_music, traditional_music_of_pakistan, hindustani_classical_singing, śāstriya_saṅgīt, list_of_hindustani/_north_indian_music_composers, classical_pakistani_music, north_indian_music, gayaki, hindustani_classical_singer",Hindustani classical music is the classical music of northern regions of the Indian subcontinent.,"klassische_hindustanische_musik, hindustani_klassischen_musik, gayaki, hindustani_musik, klassischen_nordindischen_musik, hindustani_klassischen",YES
,bn:01531352n,"indian_classical_music, classical_indian_music, indian_classical_music_and_dance, classical_music_of_india, indian_classical, music_history_of_india, sangeeta, shastriya_gana, sangita, history_of_indian_music, madhyama_kala",Indian classical music is the classical music of the Indian subcontinent.,klassische_indische_musik,YES
,bn:03148248n,"persian_traditional_music, persian_classical_music, iranian_traditional_music, persian_classical, persian_folk_music, iranian_classical_music, musiqi-e_assil, sonati, history_of_persian_traditional_music, classical_persian_music","Persian traditional music or Iranian traditional music, also known as Persian classical music refers to the classical music of Iran.",klassische_persische_musik,YES
,bn:00373256n,"köchel_catalogue, kochel_catalogue, köchel-verzeichnis, koechel_catalogue, kochel_number, k., koechel-verzeichnis, kershel_catalogue, koechel_verzeichnis, kv, kochel_catalog, mozart_catalogue, köchel_catalog, köchel_number, köchel_verzeichnis, kochel-verzeichnis, kochel_verzeichnis, koechel_number, chronologisch-thematisches_verzeichnis_sämtlicher_tonwerke_wolfgang_amadé_mozarts, list_of_compositions_by_mozart_by_chronology","The Köchel catalogue is a chronological catalogue of compositions by Wolfgang Amadeus Mozart, originally created by Ludwig von Köchel, in which the entries are abbreviated K., or KV.","köchelverzeichnis, chronologisch-thematisches_verzeichnis_sämtlicher_tonwerke_wolfgang_amadé_mozarts, köchelverzeichnis_der_werke_von_wolfgang_amadeus_mozart, köchel-verzeichnis, chronologisch-thematisches_verzeichnis_sämtlicher_tonwerke_wolfgang_amade_mozarts",NO
,bn:02379671n,"kokle, kokles, concert_kokles, zither_kokles",Kokle ,kokle,YES
,bn:02487188n,kommos,A kommos is a lyrical song of lamentation in an Athenian tragedy that the chorus and a dramatic character sing together.,"kommos, kommoi",YES
,bn:15294447n,,Muziekalbum,kompass_ohne_norden,NO
,bn:00260139n,countersubject,Le contre-sujet est un terme utilisé dans le domaine de la fugue en musique classique.,kontrasubjekt,YES
,bn:16600163n,,Muziekalbum,kopffick_mit_niveau,NO
,bn:03093740n,"print-through, post-print, pre-print, tape_print-through","Print-through is a generally undesirable effect that arises in the use of magnetic tape for storing analog information, in particular music, caused by contact transfer of signal patterns from one layer of tape to another.","kopiereffekt, print-through",YES
,bn:03172805n,"korean_court_music, court_music_of_korea",Korean court music refers to the music developed in the Joseon Dynasty.,koreanischen_hofmusik,YES
,bn:02129926n,"krautrock, kosmische_musik, kraut_rock, deconstructivist_rock, kraut-rock, teutonic_rock, düsseldorf_school_of_electronic_music, berlin_school_of_electronic_music, kosmische","Krautrock is a broad genre of experimental rock that developed in West Germany in the late 1960s and early 1970s among artists who blended elements of psychedelic rock, electronic music, and avant-garde composition.","krautrock, kosmische_musik",YES
,bn:03165864n,"kriti, kritis, krithi","Kriti is also a spelling of Crete, GreeceKriti is a format of musical composition typical to Carnatic music.","krithi, kriti",YES
,bn:03750412n,"cuban_hip_hop, rap_cubano",Hip hop music arrived in Cuba via radio and TV broadcasts from Miami.,"kubanischer_hip-hop, hip-hop_in_kuba",YES
,bn:02110460n,"kuduro, kuduru",Kuduro is a type of music and dance from Angola.,"kuduro, kuduru",YES
,bn:08786599n,,"""Kuka hän on"" on suomalaisen rap-artisti Brädin 16.",kuka_hän_on,NO
,bn:03460043n,"kulning, kulokk, kaukning, lockrop, cow_calling, laling","Kulning or herding calls is a domestic Scandinavian music form, often used to call livestock","kulning, kauking, kaukning, kölning",YES
,bn:08665284n,,երաժշտական ալբոմ,kultiration_möter_internal_dread,NO
,bn:02319887n,"the_arts, arts, history_of_the_arts, classification_of_the_arts, creative_arts, cultural_arts, artistic_methods, arts_in_general, list_of_arts, forms_of_art","The arts refers to the theory, human application and physical expression of creativity found in human cultures and societies through skills and imagination in order to produce objects, environments and experiences.","kunst, künste",NO
,bn:00032400n,"style, expressive_style, art_style, styles_of_painting, painting_styles, visual_style, painting_style, stylizes, stylizer, stylizers, style_over_substance, style_in_visual_art, manner_of, stylisationally, stylisational, stylizings, stylisms, stylized, stylisations, stylize, stylises, styliser, stlye_in_art, stylising, style_in_art, stylisers, stylised, stylisings, visual_art_style, stylizations, stylism, stylized_art, style_of_art, stylizing, stylise",A way of expressing something (in language or art or music etc.) that is characteristic of a particular person or group of people or period,"kunststil, stil, epochenstil, stilepoche, stilrichtung, expressiven_stil",YES
,bn:03151362n,"kurdish_music, music_of_kurdistan, qernete, music_of_iraqi_kurdistan, qernête",Kurdish music refers to music performed in the Kurdish languages and Zaza-Gorani languages.,kurdische_musik,YES
,bn:02897238n,"kvæði, faroese_ballad, faroese_folk_ballads, kvaedi, faroese_ballads","Kvæði are the old ballads of the Faroe Islands, accompanied by the Faroese dance.","kvæði, färöische_balladen, kvädi, kvaedi",YES
,bn:03107556n,"kwaito, namibian_kwaito, south_african_kwaito","Kwaito is a music genre that emerged in Johannesburg, South Africa, during the 1990s.",kwaito,YES
,bn:12856345n,,Optional.empty,la_cançon_de_la_hialaira,NO
,bn:00049555n,"labanotation, kinetography_laban, laban_notation",A system of notation for dance movements that uses symbols to represent points on a dancer's body and the direction of the dancer's movement and the tempo and the dynamics,"labanotation, kinetografie, kinetographie, labannotation",YES
,bn:03135585n,"lambada, forbidden_dance, baile_prohibido","Lambada is a dance from Pará, Brazil.",lambada,YES
,bn:01157666n,"gospel_country, country_gospel, christian_country_music, christian_country, positive_country, southern_christian_music, christian_country_artists, country-style_christian_music, gospel_country_music, mainstream_artists_contributing_to_christian_country_music","Christian country music is music that is written to express either personal or a communal belief regarding Christian life, as well as to give a Christian alternative to mainstream secular music.",land_evangeliums,YES
,bn:01210781n,"country_rap, country-rap, hip_haw, country-hip-hop, country-hip_hop, country_hip-hop, hip_hopry, redneck_rap, rural_rap, country_hip_hop, hick-hop, country_trap, rebelcore, hick_hop, hill_hop_hop",Country rap is a fusion genre of popular music blasting country music with hip hop–style rapping.,"land_rap, landes-rap",YES
,bn:01568005n,country_folk,Countryfolk is een muziekfusion die voortkomt uit een combinatie van countrymuziek en folk.,landbevölkerung,YES
,bn:00007788n,"background_level, noise_level",The amplitude level of the undesired background noise,"lärmpegel, hintergrund-ebene",YES
,bn:15848143n,,Lass mich allein ist ein Lied des deutschen Rappers Bushido aus dem Album AMYF.,lass_mich_allein,NO
,bn:14573194n,,Lass mich in dein Leben ist ein Lied der deutschen Schlagersängerin Helene Fischer.,lass_mich_in_dein_leben,NO
,bn:08683612n,,երաժշտական ալբոմ,låtar_från_norrgimma,NO
,bn:01012839n,"latin_rap, latin_hip_hop, latin_hip-hop, latino_rap, latino_hip-hop, mexican_hip_hop, latin_american_hip-hop","Latin hip hop or Latin rap is hip hop music recorded by Latin American artists in the United States and Spanish-speaking countries in the Caribbean, Central America and South America.","latin_hip_hop, latin_rap-gruppe",YES
,bn:01626203n,latin_house,"Latin house is an electronic dance music genre that combines house and Latin American music, such as that of Puerto Rican, Cuban, Dominican, and African origin.",Latin_House,YES
,bn:02222022n,latin_jazz,Latin jazz is a genre of jazz with Latin American rhythms.,"latin_jazz, afro_cuban_jazz",YES
,bn:01622000n,latin_percussion,"The term Latin percussion refers to any number of a large family of musical instruments in the percussion, membranophone, lamellophone and/or idiophone family used in Latin music, which in turn is a very loosely related group of musical styles, mainly from the Latin American region, and ultimately having roots or influences in African music.",latin_percussion,YES
,bn:02502276n,"latin_pop, pop_latino, latin_pop_music, latin_pop_/_latin_stars, latin_stars, latin-pop",Latin pop is a pop music subgenre that is a fusion of United States–style music production with Latin music genres from anywhere in Latin America.,latin_pop,YES
,bn:12856446n,,Optional.empty,l'aubre_de_la_camba_tòrta,NO
,bn:00022300n,"control_room, operations_center, operations_control_center, operations_room, ops_room, control_center, opcen",A room housing control equipment (as in a recording studio),"leitwarte, leitstand, schaltwarte, meßwarte, kontrollzentrum, prozessleitwarte, messwarte, schaltzentrale",YES
,bn:12856462n,,Lied von Patric,letra_a_fatima,NO
,bn:12856470n,,Lied von Patric,libertat,NO
,bn:14368416n,,Lichter der Stadt Live ist ein Livealbum der deutschen Rockband Unheilig.,lichter_der_stadt_live,NO
,bn:14499899n,,Muziekalbum,liebe_ist_meine_religion,NO
,bn:13995711n,,երաժշտական ալբոմ,liebster,NO
,bn:03044573n,yiddish_song,"Yiddish song is a general description of several genres of music sung in Yiddish which includes songs of Yiddish theatre, Klezmer songs, and ""Yiddish art song"" after the model of the German Lied and French mélodie.",lied_in_jiddisch,YES
,bn:16916845n,,երաժշտական ալբոմ,lieder_wie_orkane,NO
,bn:00497412n,"lip_dub, lip_dup, lipdub",A lip dub is a type of music video that combines lip synching and audio dubbing to make a music video.,"lip_dub, lipdub",YES
,bn:08698683n,,երաժշտական ալբոմ,lite_nostalgi,NO
,bn:01592048n,"literal_music_video, literal_video_version, literal_videos, literal_video","A literal music video, also called a literal video version, is a satirical remix of an official music video clip in which the lyrics have been replaced with lyrics that describe the visuals in the video.",literal_video_clip,YES
,bn:10418974n,,Live: On out way to who know where is een livealbum van Magenta.,live:_on_our_way_to_who_knows_where,NO
,bn:10295035n,,Live at Shepherds Bush Empire 8th october 2011 is een livealbum van Caravan.,live_at_shepherds_bush_empire_8th_october_2011,NO
,bn:17257670n,,"Live in Frankfurt: Unfassbar, unvergleichbar, unvergesslich – Zwei Tage in der Ewigkeit ist das vierte Live- und Videoalbum der Südtiroler Deutschrock-Band Frei.","live_in_frankfurt:_unfassbar,_unvergleichbar,_unvergesslich",NO
,bn:13985673n,,երաժշտական ալբոմ,live_und_in_farbe,NO
,bn:01300524n,"live_electronic_music, electroacoustic_improvisation, live_electronics, lowercase_music, laptronica, eai","Live electronic music is a form of music that can include traditional electronic sound-generating devices, modified electric musical instruments, hacked sound generating technologies, and computers.","live-elektronik, elektroakustische_improvisation",YES
,bn:00257079n,,"La livetronica, ou jamtronica, est un genre musical mêlant des éléments de jam band à ceux de l'electronica,.",livetronica,YES
,bn:00962612n,"louisiana_blues, list_of_louisiana_blues_musicians",Louisiana blues is a genre of blues music that developed in the period after World War II in the state of Louisiana.,louisiana_blues,YES
,bn:01725208n,"lovers_rock, lovers'_rock, lover's_rock","Lovers rock is a style of reggae music noted for its romantic sound and content. While love songs had been an important part of reggae since the late 1960s, the style was given a greater focus and a name in London in the mid-1970s.",lovers_rock,YES
,bn:03302337n,"lundu, lundus",Lundu is a style of Afro-Brazilian music and dance with its origins in the African Bantu and Portuguese people.,"lundu, lundú",YES
,bn:08701534n,,երաժշտական ալբոմ,lyckliga_hundar,NO
,bn:15914370n,,երաժշտական ալբոմ,machtwechsel,NO
,bn:03306095n,"madonna_wannabe, madonnabe","A Madonna wannabe, or Madonnabe, is a person who dresses like pop star Madonna.","madonna_wannabe, madonna_möchtegern",YES
,bn:00965762n,"makossa, makassi, makosa",Makossa is a noted Cameroonian popular urban musical style.,makossa,YES
,bn:01175860n,"manele, manelist",Manele is a genre of pop folk music from Romania.,manele,YES
,bn:14739307n,,Muziekalbum,männer_sind_so,NO
,bn:02458743n,"mannheim_school, mannheim_orchestra, mannheim_roller, grand_sigh, mannheim_climax, mannheim_rocket, mannheim_birds, mannheim_style, mannheim_bird, mannheim_crescendo","Mannheim school refers to both the orchestral techniques pioneered by the court orchestra of Mannheim in the latter half of the 18th century and the group of composers of the early classical period, who composed for the orchestra of Mannheim.","mannheimer_schule, mannheimer_klassik, pfalzbayerische_schule, mannheimer_symphoniker",YES
,bn:13967983n,,երաժշտական ալբոմ,männlich,NO
,bn:03873627n,"māori_music, waiata, māori_instrument, māori_instruments, maori_music","Traditional Māori music, or pūoro Māori, is composed or performed by Māori, the native people of New Zealand, and includes a wide variety of folk music styles, often integrated with poetry and dance.","maori-musik, maorimusik, musik_der_māori",YES
,bn:11474164n,,երաժշտական ալբոմ,marknadens_soldat,NO
,bn:01657217n,"martial_industrial, militant_music, military_pop","Martial industrial is a syncretic offshoot of industrial music characterized by noise, dark ambient atmospheres, neofolk melodies, dark wave tunes and neoclassical orchestrations as well as the incorporation of audio from military marches, historical speeches and political, apolitical or metapolitical lyrics.",martial_industrial,YES
,bn:00640654n,"maskandi, maskanda",Maskandi is a kind of Zulu folk music that is evolving with South African society.,"maskandi, maskanda",YES
,bn:01511925n,"math_rock, mathrock, math-pop, math-rock, math_punk, maths_rock, mathpop, mathematical_rock, mathimatical_rock, math_pop",Math rock is a style of progressive and indie rock with roots in bands such as King Crimson and Rush as well as 20th-century minimal music composers such as Steve Reich.,"math-rock, math_rock",YES
,bn:02745367n,"mbalax, mbalakh",Mbalax is the national popular dance music of Senegal and the Gambia.,mbalax,YES
,bn:03264186n,"mbaqanga, mbhaqanga, umbaqanga, mbaqhanga",Mbaqanga is a style of South African music with rural Zulu roots that continues to influence musicians worldwide today.,"mbaqanga, mbaquanga, township_jive",YES
,bn:08703460n,,երաժշտական ալբոմ,medborgare_-_tack_och_adjö,NO
,bn:02278076n,"ceddin_deden, ottoman_military_band, janissary_band, mehter_platoon, janissary_military_band, janissary_music",Ottoman military bands are thought to be the oldest variety of military marching bands in the world.,"mehter, mehterhâne, mehterhane, mehter_takimi, osmanischen_militärkapelle",YES
,bn:17180353n,,Muziekalbum,mein_junges_und_sorgloses_herz,NO
,bn:03476774n,"melodic_death_metal, melodeath, gothenburg_metal, melodic_death, melodic_death-metal, swedecore, gothenburg_sound, post-death, melo-death_metal, melo_death_metal, melo-death, melodic_deathmetal, melo_death, melodeath_metal, melodic_death_metal_music, mellow_death, melodeth","Melodic death metal is a subgenre of death metal that employs highly melodic guitar riffs, often borrowing from traditional heavy metal.","melodic_death_metal, gothenburg_metal, new_wave_of_swedish_death_metal, melodic_death, göteborger_schule, melodeath, göteborger_metal, göteborg_death_metal, symphonischen_death_metal",YES
,bn:01801081n,"melodic_hardcore, melodic_hc, melocore, melodic_hardcore_punk_music, melodic_hardcore_punk_rock, melodic-hardcore, easycore, melodic_post_hardcore, melodic_hardcore_music, popcore, melodicore, list_of_melodic_hardcore_bands, melodic_hardcore_punk, melodic_punk, melodic_metallic_hardcore, melodic_hardcore_punk_rock_music, melocore_music",Melodic hardcore is a broadly defined subgenre of hardcore punk with a strong emphasis on melody in its guitar work.,"melodic_hardcore, melodic-core, melodycore, melodic_punk, melodic-hardcore, melodic_core",YES
,bn:02465124n,"mélodie, melodie, french_melodie","A mélodie is a form of French art song, arising in the mid-19th century.",mélodie,YES
,bn:08598380n,,երաժշտական ալբոմ,melodier_och_fåglar,NO
,bn:00958626n,"memphis_blues, list_of_memphis_blues_musicians","The Memphis blues is a style of blues music created from the 1910s to the 1930s by musicians in the Memphis area, such as Frank Stokes, Sleepy John Estes, Furry Lewis and Memphis Minnie.",memphis_blues,YES
,bn:03157321n,"mento, mento_music, mento_rhythm",Mento is a style of Jamaican folk music that predates and has greatly influenced ska and reggae music.,mento,YES
,bn:03167800n,merengue,Merengue is a style of Dominican music and dance.,merengue,YES
,bn:03167792n,"merengue_music, merengue, urban_merengue, merenguero, merenque","Merengue is a type of music and dance originating in the Dominican Republic, which has become a very popular genre throughout Latin America, and also in several major cities in the United States with Latin communities.","merengue, merengue_musik",YES
,bn:03381663n,merenrap,"Merenhouse/Merenrap is a hip hop music style formed by blending merengue music, with house, hip hop, and Caribbean music.",merenrap,YES
,bn:03093141n,"heavy_metal_subculture, hessian, metal_culture, heavy_metal_culture, metal_subculture, heavy_metal_community, metal_community",Fans of heavy metal music have created their own subculture that encompasses more than just appreciation of the style of music.,"metal, metalszene",YES
,bn:01921836n,mexican_cumbia,Mexican cumbia is a musical subgenre of cumbia which was reinvented in Mexico.,mexikanische_cumbia,YES
,bn:00384385n,"mexican_rock_music, rock_music_in_mexico, los_rebeldes_del_rock","Mexican rock music, often referred to in Mexico as rock nacional, originated in the 1950s.",mexikanische_rockband,YES
,bn:01381809n,"miami_bass, bass, rap_music/bass, booty_music, miami_bass_music",Miami bass is a subgenre of hip hop music that became popular in the 1980s and 1990s.,"miami_bass, bass_music",YES
,bn:01646884n,"microhouse, minimal_house, minimal, buftech, micro_house","Microhouse, buftech or sometimes just minimal, is a subgenre of house music strongly influenced by minimalism and 1990s techno.",microhouse,YES
,bn:02590365n,"midwest_hip_hop, midwest_rap, midwestern_hip_hop, midwest_hip-hop, st._louis_rappers, mid_coast_rap, midwest_hop_hop, midwestern_rap, mid_coast_hip_hop, st._louis_hip_hop, midwestern_hip-hop",Midwest hip hop is a regional genre of hip hop music performed by artists from the Midwestern United States.,midwest_hip_hop,YES
,bn:01230915n,"minimal_techno, mnml",Minimal techno is a minimalist subgenre of techno music.,"minimal_techno, mnml, minimaltechno, minimal-techno, minimalelektronik",YES
,bn:02454339n,"minneapolis_sound, the_minneapolis_sound","The Minneapolis sound is a subgenre of funk rock with elements of synth-pop and new wave, that was pioneered by Prince in the late 1970s.",minneapolis_sound,YES
,bn:15328736n,,2011 song with lyrics by Fler performed by Fler,minutentakt,NO
,bn:00818980n,"min'yō, min'yo, nippon_minyo, min'you",Min'yō is a genre of traditional Japanese music.,"min'yo, min'yō",YES
,bn:14829022n,,Muziekalbum,mit_den_gezeiten,NO
,bn:03581236n,"medieval_metal, renaissance_metal, medieval_heavy_metal, mittelalter_metal",Medieval metal is a subgenre of folk metal that blends heavy metal music with medieval folk music.,mittelaltermetal,YES
