wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
,bn:01013102n,,"aleatoricism, aleatory, aleatorist, aleatoric, aleatorism, random_literature, aleatorial","Aleatoricism or aleatorism, the noun associated with the adjectival aleatory and aleatoric is a term popularised by the musical composer Pierre Boulez, but also Witold Lutosławski and Franco Evangelisti, for compositions resulting from ""actions made by chance"", with its etymology deriving from alea, Latin word for ""dice"".",YES,,
,bn:01013542n,,australian_thrash_metal,Australian thrash metal is a regional scene of thrash metal music that originated during the late 1980s.,YES,,
,bn:01014201n,,fann_at-tanbura,"Fann aṭ-Ṭanbūra is a traditional music and dance genre in the Arab states of the Persian Gulf, especially Bahrain, Kuwait and Oman.",YES,,
,bn:01014310n,,"manjur, mangour",The manjur is a musical instrument used in the Arab states of the Persian Gulf but with East African origins.,YES,,
,bn:01014683n,,indigenous_music,"Indigenous music is a term for the traditional music of the indigenous peoples of the world, that is, the music of an ""original"" ethnic group that inhabits any geographic region alongside more recent immigrants who may be greater in number.",YES,,
,bn:01016021n,,"talk_box, talking_guitar, talk_boxes, electrospit, talk-box, talkbox, talk_box_guitar, voice_box, sonovox, singing_guitar",A talk box is an effects unit that allows musicians to modify the sound of a musical instrument by shaping the frequency content of the sound and to apply speech sounds onto the sounds of the instrument.,YES,,
,bn:01017289n,,"mudra, mudras_in_indian_music, list_of_pen_names_of_hindustani_musicians","Mudra is the unique signature of a Carnatic music composer, which is woven into some or all of their respective compositions.",YES,,
,bn:01019468n,,"game_piece, file-card_composition","Game piece is a concept of experimental music having its roots with composers Iannis Xenakis, Christian Wolff, John Zorn and Mathius Shadow-Sky.",YES,,
,bn:01019710n,,bonus_track,Additional/extra track on a music release,YES,,
,bn:01022951n,,"sound_mass, sound-mass, soundmass, fused_timbre, klangflächenmusik, ensemble_timbre","In musical composition, a sound mass is the result of compositional techniques, in which, ""the importance of individual pitches,"" is minimized, ""in preference for texture, timbre, and dynamics as primary shapers of gesture and impact,"" obscuring, ""the boundary between sound and noise"".",YES,,
,bn:01028300n,,"sound_art, sonic_art, sound_artist, audio_art",Sound art is an artistic discipline in which sound is utilised as a primary medium.,YES,,
,bn:01028582n,,azione_teatrale,"Azione teatrale is a genre of opera, popular in Italy and southern Europe in the late 17th and 18th centuries.",YES,,
,bn:01029157n,,"samba-rock, samba_rock, samba_soul, samba-soul","Samba rock is a Brazilian dance culture and music genre that fuses samba with soul, rock, and funk.",YES,,
,bn:01029724n,,"coro-pregón, coro-pregon, call-response, guía-coro, guia-coro","Coro-pregón in Afro-Cuban music and Cuban-based Latin music, most of all salsa, but also in some non-Cuban genres like merengue and bachata, refers to a call and response section between the lead singer and the coro.",YES,,
,bn:01030496n,,spin,"In radio broadcasting, a spin is a single play of a song.",YES,,
,bn:01031576n,,musical_short,The musical short can be traced back to the earliest days of sound films.,YES,,
,bn:01033785n,,"pakistani_music_journalism, pakistan_music_journalism",Music journalism in Pakistan has grown especially with the growth of the country's pop music industry and scene.,YES,,
,bn:01034360n,,"filmi_pop, filmi-pop","Filmi pop is a term first coined by Pakistani music journalist, Ali Tim in 1990 but made famous by the country's most influential pop critic, Nadeem F. Paracha.",YES,,
,bn:01034353n,,"sufi_rock, sufi-rock, muslim_rock",Sufi rock or Sufi folk rock is a subgenre of rock music that combines rock with classical Islamic sufi music traditions.,YES,,
,bn:01034658n,,"mirwas, marwas, marawis","The mirwās or marwas, plural marāwīs is a small double-sided hand drum originally from the Middle East.",YES,,
,bn:01034697n,,"shuffle_play, shuffle_mode, 🔀",Shuffle play is a mode of music playback in which songs are played in a randomized order that is decided upon for all tracks at once.,YES,,
,bn:01034703n,,"bell_chord, bell_effect",Optional.empty,YES,,
,bn:01034813n,,echo_machine,Kaikulaitteella lisätään ääneen keinotekoisesti kaikua.,YES,,
,bn:01035237n,,"heldenbaritone, heroic_baritone","A Heldenbaritone, also known as dramatic bass-baritone or hoher bass, is an opera singer, a German dramatic baritone.",YES,,
,bn:01035769n,,"popular_music_pedagogy, rock_music_pedagogy, popular_music_education, rock_music_education","Popular music pedagogy — alternatively called popular music education, rock music pedagogy, or rock music education — is a development in music education consisting of the systematic teaching and learning of popular music both inside and outside formal classroom settings.",YES,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",YES,,
,bn:01036253n,,"drum_stick, soft_stick, 5a, drum_sticks, drumstick","A drumstick is a type of percussion mallet used particularly for playing snare drum, drum kit and some other percussion instruments, and particularly for playing unpitched percussion.",YES,,
,bn:01037957n,,"record_collecting, vinyl_snob, crate_digger, music_collecting, vinyl_fetishist, crate_digging, record_collector","Record collecting is the hobby of collecting sound recordings, usually of music, but sometimes ""spoken word""",YES,,
,bn:01038148n,,"community_band, community_bands, municipal_band",A community band is a concert band or brass band ensemble composed of volunteer amateur musicians in a particular geographic area.,YES,,
,bn:01038927n,,"back_spinning, backspin","Back spinning describes the act of manually manipulating a vinyl record, using enough force to cause the record to spin backward.",YES,,
,bn:01039135n,,mascherata,A mascherata is a dance from the sixteenth century and was particularly popular in Florence.,YES,,
,bn:01039546n,,"music_executive, record_executive, music_exec, record_industry_executive, music_industry_executive, record_exec","A music executive or record executive is a person within a record label who works in senior management, making executive decisions over the label's artists.",YES,,
,bn:01039716n,,"na_mele_paleoleo, mele, mele_paleoleo",Nā mele paleoleo is a contemporary form of Hawaiian music that cuts and mixes American hip hop with Hawaiian rapping.,YES,,
,bn:01041740n,,"detroit_techno, detroit_electro, detroit_house",Detroit techno is a type of techno music that generally includes the first techno productions by Detroit-based artists during the 1980s and early 1990s.,YES,,
,bn:01043955n,,"dance-punk, disco-punk, disco_punk, dance_punk, punk_funk, funk-punk, alternative_dance_punk, techno-punk, funk_punk, punk_dance, dancepunk, dance_indie, punk-funk","Dance-punk is a post-punk genre that emerged in the late 1970s, and is closely associated with the post-disco and new wave movements.",YES,,
,bn:01044768n,,"ascii_tab, .tab, .txt, .btab, ascii_tablature","ASCII tab is a text file format used for writing guitar, bass guitar and drum tabulatures that uses plain ASCII numbers, letters and symbols.",YES,,
,bn:01045230n,,"australian_hardcore, list_of_australian_hardcore_punk_groups, list_of_australian_hardcore_punk_and_metalcore_groups, australian_hardcore_punk","Australian hardcore punk bands tend to have local fan bases, although a number have toured Australia and internationally.",YES,,
,bn:01048546n,,french_classical_music,"French classical music began with the sacred music of the Roman Catholic Church, with written records predating the reign of Charlemagne.",YES,,
,bn:01050693n,,uk_hardcore,Genre of music,YES,,
,bn:01050867n,,"organ_repertoire, organ_literature, organ_music",The organ repertoire is considered to be the largest and oldest repertory of all musical instruments.,YES,,
,bn:01052975n,,lu,"Lu is a Tibetan style of folk music of a cappella songs, which are distinctively high in pitch with glottal vibrations.",YES,,
,bn:01054193n,,"oramics, oramex_machine",Oramics is a drawn sound technique designed in 1957 by musician Daphne Oram.,YES,,
,bn:01061849n,,"double_clarinet, zummara","The term double clarinet refers to any of several woodwind instruments consisting of two parallel pipes made of cane, bird bone, or metal, played simultaneously, with a single reed for each.",YES,,
,bn:01063270n,,dene_music,"The Dene and their direct language relations live in the Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, as well as some parts of California, and through to the Apache and Navajo lands in the South Central United States.",YES,,
,bn:01063904n,,"gnawa_music, gnawa_musician, gnawa_fusions",Gnawa music is a body of Moroccan and sub-Saharan African Islamic religious songs and rhythms.,YES,,
,bn:01063911n,,"bay_area_thrash_metal, bay_area_thrash, bay_area_thrash_scene",Bay Area thrash metal referred to a steady following of heavy metal bands in the 1980s who formed and gained international status in the San Francisco Bay Area in California.,YES,,
,bn:01064298n,,concerto_for_solo_piano,"While a concerto is generally a piece for an instrument or instruments with orchestral accompaniment, some works for piano alone have been written with the seemingly contradictory designation concerto for solo piano.",YES,,
,bn:01066198n,,"psychobilly, punkabilly, horrorbilly",Psychobilly is a rock music fusion genre that mixes elements of rockabilly and punk rock.,YES,,
,bn:01066288n,,"cowpunk, list_of_cowpunk_bands, cow-punk, country_pop_punk, country-punk, country_punk, punk_country, cow_punk, country_punk_rock",Cowpunk is a subgenre of punk rock that began in the United Kingdom in the late 1970s and Southern California in the early 1980s.,YES,,
,bn:01066526n,,"false_relation, cross-relation, non-harmonic_relation, cross_relation","A false relation is the name of a type of dissonance that sometimes occurs in polyphonic music, most commonly in vocal music of the Renaissance.",YES,,
,bn:01069524n,,"guitar_picking, picking_technique, double_picking, plectrum_technique, chickin_pickin'",Guitar picking is a group of hand and finger techniques a guitarist uses to set guitar strings in motion to produce audible notes.,YES,,
,bn:01070119n,,boogie_rock,Boogie rock is a style of blues rock music that developed in the late 1960s.,YES,,
,bn:01071907n,,"live_instrumentation, live_instruments","In music, live instrumentation is the use of acoustic and electronic musical instruments in live music and recording rather than DJing, sampling, and other recording techniques.",YES,,
,bn:01072408n,,post-industrial_music,Music genre,YES,,
,bn:01072777n,,"galant_style, gallantry, galant, stile_galant","The galant style was an 18th-century movement in music, visual arts and literature.",YES,,
,bn:01073340n,,"lyric_soprano, light_lyric_soprano, light-lyric_soprano, full_lyric_soprano, soprano_lirico, lyric_sopranos","A lyric soprano is a type of operatic soprano voice that has a warm quality with a bright, full timbre that can be heard over an orchestra.",YES,,
,bn:01073954n,,"power_metal, epic_metal, elf_metal, nwoshm, powermetal, christian_power_metal, folk-power_metal, blackened_power_metal, new_wave_of_swedish_heavy_metal, disney_metal, thrash-power_metal, power-metal, flower_metal, prog-power_metal","Power metal is a subgenre of heavy metal combining characteristics of traditional heavy metal with speed metal, often within symphonic context.",YES,,
,bn:01073979n,,"dancehall, dancehall_music, bashment_soca, dancehall_reggae, bhangramuffin, bashment, reggae_dancehall, bhangra-wine",Dancehall is a genre of Jamaican popular music that originated in the late 1970s.,YES,,
,bn:01074056n,,"worldbeat, world_beat",Worldbeat is a music genre that blends pop music or rock music with world music or traditional music.,YES,,
,bn:01074096n,,"space_rock, spacerock, space-rock, space_metal, space_rocks","Space rock is a genre characterized by loose and lengthy song structures centered on instrumental textures that typically produce a hypnotic, otherworldly sound.",YES,,
,bn:01074693n,,dojo,The dojo is a hybrid instrument designed as a cross between the Dobro-style guitar and the banjo.,YES,,
,bn:01074720n,,"demo, demo_tape, demo_ii, demo_recordings, demo_tapes, demo_record, music_demo, demo_cassette, demo_recording, song_demo, demotape, demo_album, demonstration_record","A demo is a song or group of songs recorded for limited circulation or for reference use, rather than for general public release.",YES,,
,bn:01076598n,,pyeongtaek_nongak,Pyeongtaek nongak is a nongak or Korean farmer's music which has been performed and handed down in the Pyeongtaek region of Gyeonggi Province.,YES,,
,bn:01076834n,,"d♭_tuning, c♯_tuning, d-flat_tuning, db_tuning","D♭ tuning, also called C♯ tuning, is an alternative guitar tuning.",YES,,
,bn:01077110n,,"honorific_nicknames_in_popular_music, pop_princess, goddess_of_pop, the_queen_of_pop, asia's_romantic_balladeer, king_of_pop,_rock_and_soul, king_of_funk, godfather_of_punk, king_of_country_music, queen_of_tejano_music, r&b_princess, king_of_latin_pop, the_king_of_r&b, list_of_honorific_titles_in_popular_music, godfather_of_britpop, asia's_phoenix, prince_of_pop, godfather_of_rocksteady, king_of_japanese_pop, musician_nicknames, queen_of_country_music, queen_of_country, king_of_cantopop, king_of_soul, the_songstress_of_the_century, king_of_rap, the_queen_of_slovak_pop_music, first_family_of_soul, popstar_royalty, queen_of_disco, king_of_the_jukebox, god_of_songs, king_of_country, his_purple_majesty, king_of_folk, king_of_pop, the_godfather_of_go-go, princess_of_r&b, the_princess_of_pop, popular_music_royality, godfather_of_rap, the_king_of_rock_and_roll, king_of_bhangra, king_of_k-pop, king_of_chinese_pop, godfather_of_heavy_metal, royal_family_of_pop, king_of_r&b, queen_of_r&b, architect_of_rock_and_roll, his_royal_badness, queen_of_rock_and_roll, honorific_titles_in_popular_music","Honorific nicknames in popular music are terms used, most often in the media or by fans, to indicate the significance of an artist, and are often religious, familial, or royal and aristocratic titles, used metaphorically.",YES,,
,bn:01078513n,,"pinoy_reggae, filipino_reggae",Filipino reggae or Pinoy reggae is reggae music created in the Philippines.,YES,,
,bn:01080308n,,soprano_sfogato,Soprano sfogato is a contralto or mezzo-soprano who is capable—by sheer industry or natural talent—of extending their upper range and being able to encompass the coloratura soprano tessitura.,YES,,
,bn:01082099n,,"stev, kveder, gamle-stev",Stev is a form of Norwegian folk song consisting of four line lyric stanzas.,YES,,
,bn:01082469n,,"baggy, baggy_/_madchester","Baggy was a name given to a British indie-dance genre popular in the late 1980s and early 1990s, with many of the artists referred to as ""baggy"" being bands from the Madchester scene.",YES,,
,bn:01083696n,,"contra_dance, contradance, contra-dance, contra_dances, contra_dancing, contredance, contre-dance, contredances, contra_dance_music, kontretanz, contredanse, contra, techno_contra",Contra dance is a folk dance made up of long lines of couples.,YES,,
,bn:01085400n,,"stomp_progression, stomp_strain","In music and jazz harmony, the Stomp progression is an eight-bar chord progression named for its use in the ""stomp"" section of the composition ""King Porter Stomp"" by Jelly Roll Morton.",YES,,
,bn:01087758n,,"thematic_transformation, thematic_metamorphosis, theme_transformation, thematic_development","Thematic transformation is a musical technique in which a leitmotif, or theme, is developed by changing the theme by using permutation, augmentation, diminution, and fragmentation.",YES,,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,YES,,
,bn:01094790n,,"powerviolence, power_violence, powercore, power-violence, power_hardcore, extreme_hardcore",Powerviolence is an extremely dissonant and fast subgenre of hardcore punk which is closely related to thrashcore and grindcore.,YES,,
,bn:01095264n,,"indipop, indian_pop, i-pop, indi-pop, popular_music_of_india, hindi_pop, indian_popular_music, indian_pop_music, hindipop","Indian pop music, also known as Indi-pop, I-pop, refers to pop music produced in India that is independent from filmi soundtracks for Indian cinema, such as the music of Bollywood, which tends to be more popular.",YES,,
,bn:01095477n,,oversinging,"Oversinging is a term, sometimes derogatory, aimed at vocal styles that dominate the music they are performed in, including melisma and belting, and over-usage of embellishments on one sound.",YES,,
,bn:01095866n,,ganga,"Ganga is a type of singing that originated from rural Bosnia and Herzegovina, Croatia, and Montenegro.",YES,,
,bn:01098549n,,"chaconne, chacoon, ciaccone, ciacona, chacony, ciaconna, chacona, ciaccona, chaconde","A chaconne is a type of musical composition popular in the baroque era when it was much used as a vehicle for variation on a repeated short harmonic progression, often involving a fairly short repetitive bass-line which offers a compositional outline for variation, decoration, figuration and melodic invention.",YES,,
,bn:01099172n,,"passacaglia, passacaille, passacaglio, passacaglie, pasacalles, passagallo, passecaille, passacagli, pasacalle",The passacaglia is a musical form that originated in early seventeenth-century Spain and is still used today by composers.,YES,,
,bn:01099724n,,"arabesque, arabesk, arabesk_music, arabesque_music, arabesque-pop_music, turkish_arabesque_music_genre",Arabesque is a term created by Turkish musicologists for an Arabic style of music created in Turkey.,YES,,
,bn:01100058n,,"summer_hit, hit_of_the_summer","In the entertainment industry, a summer hit is a song that is released and peaks in its popularity during summer.",YES,,
,bn:01100362n,,"russian_guitar, semistrunka","The Russian guitar is an acoustic seven-string guitar that was developed in Russia toward the end of the 18th century: it shares most of its organological features with the Spanish guitar, although some historians insist on English guitar ascendancy.",YES,,
,bn:01102051n,,"balafon, balafo, balaphone, sosso-bala, balafons, balophong, balafón, gyil, sosso_balafon, balophone, balafeu, balo, balas, balaphon, balafou, sosso_bala, balophon, bala, sosso_balaphone, balafonist","The balafon is a gourd-resonated xylophone, a type of struck idiophone.",YES,,
,bn:01103930n,,"kumzits, kumzitz, kumsitz",Kumzits is a compound-word in Hebrew derived from the Yiddish words קום and זיץ.,YES,,
,bn:01104203n,,"comedy_rock, comedy_metal, comedy_punk, funny_punk, parody_rock, comedy_folk, list_of_comedy_bands, humorcore",Comedy rock is rock music that is comedic in nature.,YES,,
,bn:01105458n,,blues_scale,A musical scale having intervals that mutate between major and minor and used especially in jazz.,YES,,
,bn:01107435n,,"backmasking, backmasked_message, music_reverse, back-masking, backward_message, backmask, backmasker, backwards_message, backward_masking, satanic_message, back_masking, backwards_guitar, backwards_music, reverse_music, reversed_music, backward_music, egassem_drawkcab, backward_messages, backward_guitar, congratulations,_you_have_just_discovered_the_secret_message, backwards_masking",Backmasking is a recording technique in which a sound or message is recorded backward onto a track that is meant to be played forward.,YES,,
,bn:01107891n,,"moresca, danse_des_bouffons, morisca, moresque, les_bouffons, mauresque","For the Croatian sword dance, see Moreška.",YES,,
,bn:01111101n,,"spectral_music, spectralist_school, spectral_school, spectralist, école_spectrale, spectral_composition, spectralism, spectral_technique, spectralist_composer",Spectral music uses the acoustic properties of sound – or sound spectra – as a basis for composition.,YES,,
,bn:01113476n,,"folk_instrument, folk_instruments, traditional_instrument, people's_instrument, traditional_instruments, people's_instruments, ethnic_instrument",A folk instrument is a musical instrument that developed among common people and usually does not have a known inventor.,YES,,
,bn:01115270n,,polish_reggae,Reggae is one of the most popular music genres in Poland.,YES,,
,bn:01118902n,,twiddly_bits,Twiddly Bits is an English slang term.,YES,,
,bn:01122670n,,"ryūteki, ryuteki, dragon_flute, ryuuteki",The ryūteki is a Japanese transverse fue made of bamboo.,YES,,
,bn:01124165n,,"phaser, phase, phaseing, phasing, phased",A phaser is an electronic sound processor used to filter a signal by creating a series of peaks and troughs in the frequency spectrum.,YES,,
,bn:01126186n,,ikembe,"Ikembe, is a type of musical instrument of the lamellaphone group, common amongst the Bahutu of Rwanda, Burundi and the Congo.",YES,,
,bn:01126223n,,"moog_synthesizer, moog_modular_synthesizer, moog_synthesizers, moog_synthesiser, moog_modular, moog-synth, moog_apollo, moog_synth, moog_machine, moog_stand, moog_iii-c, moog_modular_v, moog_records, moog_modular_synthesiser, moog_modular_synthesizer_systems, moog_keyboard","Moog synthesizer may refer to any number of analog synthesizers designed by Robert Moog or manufactured by Moog Music, and is commonly used as a generic term for older-generation analog music synthesizers.",YES,,
,,,,,,,
,bn:01132858n,,"zortziko, zortzico, zorzico",The zortziko is a dance rhythm that originates in the Basque Country.,YES,,
,bn:01137414n,,"laúd, laud","Laúd is a plectrum-plucked chordophone from Spain, played also in diaspora countries such as Cuba and the Philippines.",YES,,
,bn:01137744n,,"flexi_disc, evatone_soundsheet, soundsheet, sonosheet, flexi-disk, sound_sheet, flexi-disc, phonosheet, flexidiscs, flexidisc, flexi_disk, flexidisk, evatone","The flexi disc is a phonograph record made of a thin, flexible vinyl sheet with a molded-in spiral stylus groove, and is designed to be playable on a normal phonograph turntable.",YES,,
,bn:01138075n,,"double_drop_d_tuning, double_droup_d, dadgbd","Double drop D tuning: DADGBD, also known simply as double drop D, is an alternative guitar tuning: E strings are tuned down one whole step to D rather than E as in standard tuning.",YES,,
,bn:01139736n,,performances_of_carnatic_music,"Carnatic music is usually performed by a small ensemble of musicians, who sit on an elevated stage.",YES,,
,bn:01141991n,,indianist_movement,The Indianist movement was a movement in American classical music that flourished from the 1880s through the 1920s.,YES,,
,bn:01142075n,,"sxe, straight_edge, straight-edge, history_of_straight_edge, xvx, straight_edger, edgemen, straightedge, straight_edge_hardcore, vegan_straight_edge, xxx, straight_edge_movement, straight_edge_punk_ideology","Straight edge is a subculture of hardcore punk whose adherents refrain from using alcohol, tobacco and other recreational drugs, in reaction to the excesses of punk subculture.",YES,,
,bn:01145168n,,algerian_hip_hop,"Algerian hip hop music, as a genre, includes the hip hop music of both native Algerians and Algerians abroad.",YES,,
,bn:01146843n,,"piano_duet, piano_duo","According to the Grove Dictionary of Music and Musicians, there are two kinds of piano duet: ""those for two players at one instrument, and those in which each of the two pianists has an instrument to him- or herself.""",YES,,
,bn:01147065n,,"g_major, prelude_in_g_major, preludeingmajor, 1s, key_of_g, g, g_major_scale, gmaj","G major is a major scale based on G, with the pitches G, A, B, C, D, E, and F♯.",YES,,
,bn:01147212n,,"ivorian_hip_hop, ivoirian_hip_hop","Hip hop is a major part of the popular music of Côte d'Ivoire, and has been fused with many of the country's native styles, such as zouglou.",YES,,
,bn:01147713n,,spars_code,"The SPARS code is a three-position alphabetic classification system developed in the early 1980s by the Society of Professional Audio Recording Services for commercial compact disc releases to denote aspects of the sound recording and reproduction process, distinguishing between the use of analog equipment and digital equipment.",YES,,
,bn:01149809n,,"shakuhachi, european_shakuhachi_society, shakuhatchi, international_shakuhachi_society, shakahuchi, 尺八, skakuhachi, meri, shukuhachi","The shakuhachi is a Japanese and ancient Chinese longitudinal, end-blown flute that is made of bamboo.",YES,,
,bn:01149920n,,shock_value,"Shock value is the potential of an image, text, action, or other form of communication, such as a public execution, to provoke a reaction of sharp disgust, shock, anger, fear, or similar negative emotions.",YES,,
,bn:01155409n,,"patter_song, patter-song",The patter song is characterised by a moderately fast to very fast tempo with a rapid succession of rhythmic patterns in which each syllable of text corresponds to one note.,YES,,
,bn:01155919n,,"ca_trù, ca_tru, hat_a_dao, hat_noi, ca_trù_singing, hát_ả_đào","Ca trù, also known as hát cô đầu or hát nói, is a Vietnamese genre of musical storytelling performed by a featuring female vocalist, with origins in northern Vietnam.",YES,,
,bn:01156755n,,"plunderphonics, plunderphonica",Plunderphonics is a music genre in which tracks are constructed by sampling recognizable musical works.,YES,,
,bn:01156726n,,"mixtape, mix_tape, mix-tape, mixtapes, street_album, mixed_track_medium, mixed_tape, audio_mixtape, mix_tapes, mix_cd, mixed_tapes","A mixtape is a compilation of music, typically from multiple sources, recorded onto a medium.",YES,,
,bn:01156885n,,"sampling, sample, music_sampling, music_sample, legal_issues_surrounding_music_sampling, audio_sample, sample_clearances, music_samples, music_sampler, sample_library, audio_samples, sample_pack, musical_sample, audio_sampler, sampling_music, stock_vocals, sample_clearance, stock_vocalist, sample_clearing","In music, sampling is the reuse of a portion of a sound recording in another recording.",YES,,
,bn:01157666n,,"gospel_country, country_gospel, christian_country_music, christian_country, positive_country, southern_christian_music, christian_country_artists, country-style_christian_music, gospel_country_music, mainstream_artists_contributing_to_christian_country_music","Christian country music is music that is written to express either personal or a communal belief regarding Christian life, as well as to give a Christian alternative to mainstream secular music.",YES,,
,bn:01158674n,,cafehorn,The Cafehorn is a musical instrument created by classical musician Nicola Gomirato.,YES,,
,bn:01159061n,,"15_equal_temperament, 15-tet, 15-tone_equal_temperament, 15tet, fifteen-tone_equal_temperament","In music, 15 equal temperament, called 15-TET, 15-EDO, or 15-ET, is a tempered scale derived by dividing the octave into 15 equal steps.",YES,,
,bn:01162254n,,"christian_punk, christian_punk_rock, punk-style_christian_music, christpunk, christian_punk_music, christian_pop_punk, christ_punk, christian_punk_rock_music",Christian punk is a form of Christian music and a subgenre of punk rock with some degree of Christian lyrical content.,YES,,
,bn:01162355n,,"rocksteady, rocksteady_music, rock_steady",Rocksteady is a music genre that originated in Jamaica around 1966.,YES,,
,bn:01162990n,,"united_states_military_bands, u.s._army_bands, service_band, u.s._military_bands, service_bands","United States military bands include musical ensembles maintained by the United States Army, United States Marine Corps, United States Navy, United States Air Force, and United States Coast Guard.",YES,,
,bn:01163672n,,sarajevo_school_of_pop_rock,"The Sarajevo school of pop rock collectively refers to the popular music created between 1960 and 1991 by artists and bands native to Sarajevo, Bosnia and Herzegovina.",YES,,
,bn:01164655n,,"air_guitar, the_annual_air_guitar_world_championship_contest, bjorn_turoque, air_drum, william_ocean, bjorn_tueroque, björn_turoque, air_bands, bjoern_turoque, air_guitar_world_championships, air_drumming, bjoern_tueroque, bjorn_türoque, björn_türoque","Air guitar is a form of dance and movement in which the performer pretends to play an imaginary rock or heavy metal-style electric guitar, including riffs and solos.",YES,,
,bn:01165332n,,"analog_recording, analog_audio, analogue_recording, analogue_audio","Analog recording is a technique used for the recording of analog signals which, among many possibilities, allows analog audio for later playback.",YES,,
,bn:01172215n,,music_law,"Music Law refers to legal aspects of the music industry, and certain legal aspects in other sectors of the entertainment industry.",YES,,
,bn:01175860n,,"manele, manelist",Manele is a genre of pop folk music from Romania.,YES,,
,bn:01177188n,,"special_edition, collector's_edition, limited_edition, memorial_edition, deluxe_edition, anniversary_edition, limited_edition_art, special_editions, collector's_editon, limited_print, limited-edition, collectors'_edition, limited_edition_print, gold_edition, collectors_edition","The terms special edition, limited edition, and variants such as deluxe edition, or collector's edition, are used as a marketing incentive for various kinds of products, originally published products related to the arts, such as books, prints, video games or recorded music and films, but now including clothing, cars, fine wine, and whisky, among other products.",YES,,
,bn:01179196n,,"jewish_art_music_movement, jewish_art_music, society_for_jewish_music, society_for_jewish_folk_music","The Jewish art music movement began at the end of the 19th century in Russia, with a group of Russian Jewish classical composers dedicated to preserving Jewish folk music and creating a new, characteristically Jewish genre of classical music.",YES,,
,bn:01180383n,,"australian_country_music, new_zealander_country_music, australian_country-rock, list_of_australian_country_musicians",Australian country music is a part of the music of Australia.,YES,,
,bn:01181265n,,relative_pitch,Relative pitch is the ability of a person to identify or re-create a given musical note by comparing it to a reference note and identifying the interval between those two notes.,YES,,
,bn:01183226n,,"carnival_song, carnival_songs, canti_carnascialeschi, canto_carnascialesco","A carnival song or canto carnascialesco was a late fifteenth- and early sixteenth-century song used to celebrate the carnival season in Florence, mainly the weeks preceding Lent and the Calendimaggio, which lasted from May 1 to June 24.",YES,,
,bn:01183295n,,"allemande, german_dance, alamand, almaine, almayne, allemanda, alman, alemana, almain","An allemande is a renaissance and baroque dance, and one of the most popular instrumental dance styles in baroque music, with notable examples by Couperin, Purcell, Bach and Handel.",YES,,
,bn:01186496n,,"popular_music_in_sweden, swedish_music_export, swedish_music_abroad, swedish_pop_music, swedish_rock, swedish_pop, swedish_rock_music","Swedish popular music, also called Swedish pop music, or just Swedish pop, refers to music that has swept the Swedish mainstream at any given point in recent times.",YES,,
,bn:01188466n,,digipak,Trademark; patented type of optical disc packaging,YES,,
,bn:01190779n,,"acousmatic_music, acousmatic_art","Acousmatic music is a form of electroacoustic music that is specifically composed for presentation using speakers, as opposed to a live performance.",YES,,
,bn:01194857n,,"deathcore, death_metalcore, brutal_deathcore, hardcore_death_metal, technical_deathcore, list_of_deathcore_groups, progressive_deathcore, crossover_death, death-core, deathcore_punk, melodic_deathcore, symphonic_deathcore, death_hardcore, death_core, deathmetalcore, deathcore_music",Deathcore is an extreme metal subgenre that combines death metal with metalcore.,YES,,
,bn:01195200n,,xhosa_music,"Xhosa music has long been a major part of the music of South Africa, especially in the field of jazz.",YES,,
,bn:01197756n,,trova,Trova ˈt̪ɾoβa is a style of Cuban popular music originating in the 19th century.,YES,,
,bn:01203966n,,"saung, myanmar_harp, burmese_harp, saung-gauk, burma_harp, myanmar_saung, saunggauk, saung_gauk",The saung is an arched harp used in traditional Burmese music.,YES,,
,bn:01209096n,,zulu_music,The Zulu people are a South African ethnic group.,YES,,
,bn:01209128n,,innu_music,The Innu are among the First Nations of Canada.,YES,,
,bn:01209748n,,"prelude_and_fugue, fantasia_and_fugue, fantasy_and_fugue, toccata_and_fugue, 24_preludes_and_fugues, preludes_and_fugues",The prelude and fugue is a musical form generally consisting of two movements in the same key for solo keyboard.,YES,,
,bn:01210316n,,"vocal_harmony, vocal_harmonies, harmony_vocals",Vocal harmony is a style of vocal music in which a consonant note or notes are simultaneously sung as a main melody in a predominantly homophonic texture.,YES,,
,bn:01210781n,,"country_rap, country-rap, hip_haw, country-hip-hop, country-hip_hop, country_hip-hop, hip_hopry, redneck_rap, rural_rap, country_hip_hop, hick-hop, country_trap, rebelcore, hick_hop, hill_hop_hop",Country rap is a fusion genre of popular music blasting country music with hip hop–style rapping.,YES,,
,bn:01212022n,,synthestration,Synthestration is the art of composing music in the form of a MIDI mockup.,YES,,
