wn_synset,bn:id,pos,lemmata EN,definition,lemmata NL,is it related to music?,note,removed EN,removed NL
,bn:02014173n,,"rhythm_guitar, rhythm_guitarist, rhythm_guitar_solo, rhythm_guitars, second_guitar, rythm_guitar, guitar","In music performances, rhythm guitar is a technique and role that performs a combination of two functions: to provide all or part of the rhythmic pulse in conjunction with other instruments from the rhythm section ; and to provide all or part of the harmony, i.e. the chords from a song's chord progression, where a chord is a group of notes played together.",ritmische_gitaar,YES,,,
,bn:02014173n,,"rhythm_guitar, rhythm_guitarist, rhythm_guitar_solo, rhythm_guitars, second_guitar, rythm_guitar, guitar","In music performances, rhythm guitar is a technique and role that performs a combination of two functions: to provide all or part of the rhythmic pulse in conjunction with other instruments from the rhythm section ; and to provide all or part of the harmony, i.e. the chords from a song's chord progression, where a chord is a group of notes played together.",ritmegitaar,YES,,,
,bn:02014173n,,"rhythm_guitar, rhythm_guitarist, rhythm_guitar_solo, rhythm_guitars, second_guitar, rythm_guitar, guitar","In music performances, rhythm guitar is a technique and role that performs a combination of two functions: to provide all or part of the rhythmic pulse in conjunction with other instruments from the rhythm section ; and to provide all or part of the harmony, i.e. the chords from a song's chord progression, where a chord is a group of notes played together.",ritmegitarist,YES,,,
,bn:02014173n,,"rhythm_guitar, rhythm_guitarist, rhythm_guitar_solo, rhythm_guitars, second_guitar, rythm_guitar, guitar","In music performances, rhythm guitar is a technique and role that performs a combination of two functions: to provide all or part of the rhythmic pulse in conjunction with other instruments from the rhythm section ; and to provide all or part of the harmony, i.e. the chords from a song's chord progression, where a chord is a group of notes played together.",ritme_gitaar,YES,,,
,bn:02014173n,,"rhythm_guitar, rhythm_guitarist, rhythm_guitar_solo, rhythm_guitars, second_guitar, rythm_guitar, guitar","In music performances, rhythm guitar is a technique and role that performs a combination of two functions: to provide all or part of the rhythmic pulse in conjunction with other instruments from the rhythm section ; and to provide all or part of the harmony, i.e. the chords from a song's chord progression, where a chord is a group of notes played together.",ritme_gitarist,YES,,,
,bn:01665701n,,"rhythm_changes, sears_roebuck_bridge","Rhythm changes are a common 32-bar chord progression in jazz, originating as the chord progression for George Gershwin's ""I Got Rhythm"".",rhythm_changes,YES,,,
,bn:01665701n,,"rhythm_changes, sears_roebuck_bridge","Rhythm changes are a common 32-bar chord progression in jazz, originating as the chord progression for George Gershwin's ""I Got Rhythm"".",ritme_verandert,YES,,,
,bn:00067664n,,"rhonchus, rhonchi, rhoncus",A sound like whistling or snoring that is heard with a stethoscope during expiration as air passes through obstructed channels,rhonchi,YES,,,
,bn:00067664n,,"rhonchus, rhonchi, rhoncus",A sound like whistling or snoring that is heard with a stethoscope during expiration as air passes through obstructed channels,rhonchus,YES,,,
,bn:02394801n,,rhapsody,"A rhapsody in music is a one-movement work that is episodic yet integrated, free-flowing in structure, featuring a range of highly contrasted moods, colour, and tonality.",rapsodie,YES,,,
,bn:02394801n,,rhapsody,"A rhapsody in music is a one-movement work that is episodic yet integrated, free-flowing in structure, featuring a range of highly contrasted moods, colour, and tonality.",rhapsodie,YES,,,
,bn:02571318n,,"rhaita, ghaita",The rhaita or ghaita is a double reed instrument from North Africa.,rhaita,YES,,,
,bn:00585632n,,"revolutionary_song, revolutionary_music, political_songs, political_song",Revolutionary songs are political songs that advocate or praise revolutions.,revolutionaire_lied,YES,,,
,bn:02041380n,,"revolutionary_opera, bage_yangban_xi, 八个样板戏, yángbǎn_xì, ba_ge_yang_ban_xi, model_plays, revolutionary_model_opera, eight_model_plays, eight_revolutionary_operas, eight_model_operas, model_revolutionary_operas, revolutionary_beijing_operas, ba_ge_yangban_xi, model_opera, revolutionary_peking_operas, bā_gè_yáng_bǎn_xì, revolutionary_peking_opera, yang-pan-hsi, yangban_xi, revolutionary_beijing_opera, yangbanxi, 样板戏, revolutionary_operas, model_operas, model_revolutionary_opera, model_play, yang_ban_xi, yáng_bǎn_xì, yángbǎnxì","In China, revolutionary operas or model operas were a series of shows planned and engineered during the Cultural Revolution by Jiang Qing, the wife of Chairman Mao Zedong.",acht-model_speelt,YES,,,
,bn:00462532n,,reverse_tape_effects,"Reverse tape effects are special effects created by recording sound onto magnetic tape and then physically reversing the tape so that when the tape is played back, the sounds recorded on it are heard in reverse.",reverse_tape_effecten,YES,,,
,bn:03241860n,,"reverse_echo, backwards_echo, backward_echo, reverse_reverb, reverse_regeneration","Reverse reverb, also known as backwards reverb, or sometimes reverse echo, is a sound effect created as the result of recording a reverberated signal of an audio recording played backwards.",reverse_echo,YES,,,
,bn:00067512n,,"reveille, le_réveil, you_gotta_get_up,_you_gotta_get_up,_you_gotta_get_up_this_morning, revielle, i_can't_get_'em_up,_i_can't_get_'em_up,_i_can't_get_'em_up_this_morning",A signal to get up in the morning; in the military it is a bugle call at sunrise,reveille,YES,,,
,bn:01944981n,,"retrograde, non-retrogradable_rhythm, cancrizans",A musical line which is the reverse of a previously or simultaneously stated line is said to be its retrograde or cancrizans.,retrograde,YES,,,
,bn:02768650n,,"responsory, responsoriale, responsories, responsorio, responsorium, responsoria, matin_responsory, responsorial, responsorial_singing",A responsory or respond is a type of chant in western Christian liturgies.,responsoriale,YES,,,
,bn:02768650n,,"responsory, responsoriale, responsories, responsorio, responsorium, responsoria, matin_responsory, responsorial, responsorial_singing",A responsory or respond is a type of chant in western Christian liturgies.,responsorium,YES,,,
,bn:02768650n,,"responsory, responsoriale, responsories, responsorio, responsorium, responsoria, matin_responsory, responsorial, responsorial_singing",A responsory or respond is a type of chant in western Christian liturgies.,responsory,YES,,,
,bn:02768650n,,"responsory, responsoriale, responsories, responsorio, responsorium, responsoria, matin_responsory, responsorial, responsorial_singing",A responsory or respond is a type of chant in western Christian liturgies.,responsoria,YES,,,
,bn:03252507n,,"resonator_guitar, resophonic_guitar, triolian, national_resophonic_guitar, spider_bridge, duolian, biscuit_bridge, tricone","A resonator guitar or resophonic guitar is an acoustic guitar that produces sound by conducting string vibrations through the bridge to one or more spun metal cones, instead of to the guitar's sounding board.",resonatorgitaar,YES,,,
,bn:03252507n,,"resonator_guitar, resophonic_guitar, triolian, national_resophonic_guitar, spider_bridge, duolian, biscuit_bridge, tricone","A resonator guitar or resophonic guitar is an acoustic guitar that produces sound by conducting string vibrations through the bridge to one or more spun metal cones, instead of to the guitar's sounding board.",resonator_gitaar,YES,,,
,bn:03252507n,,"resonator_guitar, resophonic_guitar, triolian, national_resophonic_guitar, spider_bridge, duolian, biscuit_bridge, tricone","A resonator guitar or resophonic guitar is an acoustic guitar that produces sound by conducting string vibrations through the bridge to one or more spun metal cones, instead of to the guitar's sounding board.",resophonic_gitaar,YES,,,
,bn:03508115n,,"rescue_opera, rescue_operas",Rescue opera was a genre of opera in the late 18th and early 19th centuries in France and Germany.,redding_opera,YES,,,
,bn:03508503n,,"re-release, reissue, rerelease, re-issue, re-edition, repackage, revisited_album, reissue_album, re-released, reissued, repackage_album","In the music industry, a reissue is the release of an album or single which has been released at least once before, sometimes with alterations or additions.",heruitgave,YES,,,
,bn:03508503n,,"re-release, reissue, rerelease, re-issue, re-edition, repackage, revisited_album, reissue_album, re-released, reissued, repackage_album","In the music industry, a reissue is the release of an album or single which has been released at least once before, sometimes with alterations or additions.",opnieuw_uitgebracht,YES,,,
,bn:03508503n,,"re-release, reissue, rerelease, re-issue, re-edition, repackage, revisited_album, reissue_album, re-released, reissued, repackage_album","In the music industry, a reissue is the release of an album or single which has been released at least once before, sometimes with alterations or additions.",re-release,YES,,,
,bn:00359536n,,"re-recording_mixer, dubbing_mixer, record_mixer","A re-recording mixer in North America, also known as a dubbing mixer in Europe, is a post-production audio engineer who mixes recorded dialogue, sound effects and music to create the final version of a soundtrack for a feature film, television program, or television advertisement.",re-recording_mixer,YES,,,
,bn:03649346n,,requiem,"John Rutter's Requiem is a musical setting of parts of the Latin Requiem with added psalms and biblical verses in English, completed in 1985.",requiem,YES,,,
,bn:00603440n,,"reprise, reprised","In music, a reprise is the repetition or reiteration of the opening material later in a composition as occurs in the recapitulation of sonata form, though—originally in the 18th century—was simply any repeated section, such as is indicated by beginning and ending repeat signs.",reprise,YES,,,
,bn:03171207n,,repetitive_music,Repetitive music is music that features a relatively high degree of repetition in its creation or reception.,repetitieve_muziek,YES,,,
,bn:14462094n,,"repetition, repetition_in_music, repeated_note, restatement, musical_repetition","Repetition is important in music, where sounds or sequences are often repeated.",herhaling,YES,,,
,bn:01605024n,,"répétiteur, repetiteur, rehearsal_director, korrepetitor, repétiteur","A répétiteur is an accompanist, tutor or coach of ballet dancers or opera singers.",repetitor,YES,,,
,bn:01605024n,,"répétiteur, repetiteur, rehearsal_director, korrepetitor, repétiteur","A répétiteur is an accompanist, tutor or coach of ballet dancers or opera singers.",correpetitor,YES,,,
,bn:01605024n,,"répétiteur, repetiteur, rehearsal_director, korrepetitor, repétiteur","A répétiteur is an accompanist, tutor or coach of ballet dancers or opera singers.",co-repetitor,YES,,,
,bn:01605024n,,"répétiteur, repetiteur, rehearsal_director, korrepetitor, repétiteur","A répétiteur is an accompanist, tutor or coach of ballet dancers or opera singers.",correpetitie,YES,,,
,bn:02371178n,,repeat_after_me_song,A repeat after me song is a type of song where a leader sings a verse followed by the audience repeating what he/she says.,repeat_after_me_song,YES,,,
,bn:00067106n,,"rendition, rendering",A performance of a musical composition or a dramatic role etc.,interpretatie,YES,,,
,bn:00047197n,,"rendition, interpretation, rendering",The act of interpreting something as expressed in an artistic performance,uitvoering,YES,,,
,bn:00047197n,,"rendition, interpretation, rendering",The act of interpreting something as expressed in an artistic performance,vertolking,YES,,,
,bn:00047197n,,"rendition, interpretation, rendering",The act of interpreting something as expressed in an artistic performance,weergave,YES,,,
,bn:00047197n,,"rendition, interpretation, rendering",The act of interpreting something as expressed in an artistic performance,interpretatie,YES,,,
,bn:01935979n,,"renaissance_music, mannerism_in_music, rennaisance_music, music_of_the_renaissance, music_of_the_rennaisance, music_of_the_renaisance, music_of_the_rennaissance, rennaissance_music, renaissance, renaisance_music, 16th_century_music",Renaissance music is vocal and instrumental music written and performed in Europe during the Renaissance era.,renaissancemuziek,YES,,,
,bn:01935979n,,"renaissance_music, mannerism_in_music, rennaisance_music, music_of_the_renaissance, music_of_the_rennaisance, music_of_the_renaisance, music_of_the_rennaissance, rennaissance_music, renaissance, renaisance_music, 16th_century_music",Renaissance music is vocal and instrumental music written and performed in Europe during the Renaissance era.,renaissance_muziek,YES,,,
,bn:01502035n,,"remix_album, remix_albums, list_of_best-selling_remix_albums_worldwide, list_of_best_selling_remix_album_worldwide",A remix album is an album consisting of remixes or rerecorded versions of an artist's earlier released material.,remixalbum,YES,,,
,bn:01502035n,,"remix_album, remix_albums, list_of_best-selling_remix_albums_worldwide, list_of_best_selling_remix_album_worldwide",A remix album is an album consisting of remixes or rerecorded versions of an artist's earlier released material.,remix_album,YES,,,
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.",remix,YES,,,
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.",megamix,YES,,,
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.",dance_remix,YES,,,
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.",remixen,YES,,,
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.",remixes,YES,,,
,bn:00789960n,,"remix, remixes, underground_remixer, remixing, remixes_and_remixing, remixer, re-mixing, instrumental_version, disco_mix, techno-remixing, dance_remix, instrumental_mix, underground_remixers, extended_mix","A remix is a piece of media which has been altered or contorted from its original state by adding, removing, and changing pieces of the item.",remixer,YES,,,
,bn:03561227n,,"remaster, digital_remastering, digitally_remastered, digitally_remaster, remastered_video_game, video-game_remaster, videogame_remaster, remastered_video-game, remastered, remastered_videogame, video_game_remaster, audio_remaster, digital_remaster","Remaster refers to changing the quality of the sound or of the image, or both, of previously created recordings, either audiophonic, cinematic, or videographic.",remaster,YES,,,
,bn:03561227n,,"remaster, digital_remastering, digitally_remastered, digitally_remaster, remastered_video_game, video-game_remaster, videogame_remaster, remastered_video-game, remastered, remastered_videogame, video_game_remaster, audio_remaster, digital_remaster","Remaster refers to changing the quality of the sound or of the image, or both, of previously created recordings, either audiophonic, cinematic, or videographic.",geremasterde,YES,,,
,bn:03561227n,,"remaster, digital_remastering, digitally_remastered, digitally_remaster, remastered_video_game, video-game_remaster, videogame_remaster, remastered_video-game, remastered, remastered_videogame, video_game_remaster, audio_remaster, digital_remaster","Remaster refers to changing the quality of the sound or of the image, or both, of previously created recordings, either audiophonic, cinematic, or videographic.",digitale_remastering,YES,,,
,bn:03561227n,,"remaster, digital_remastering, digitally_remastered, digitally_remaster, remastered_video_game, video-game_remaster, videogame_remaster, remastered_video-game, remastered, remastered_videogame, video_game_remaster, audio_remaster, digital_remaster","Remaster refers to changing the quality of the sound or of the image, or both, of previously created recordings, either audiophonic, cinematic, or videographic.",digitaal_geremastered,YES,,,
,bn:00168766n,,"religious_jewish_music, judaic_music, jewish_liturgical_music",This article describes the principal types of religious Jewish music from the days of the Temple to modern times.,joodse_muziek,YES,,,
,bn:00067026n,,"release, tone_ending",(music) the act or manner of terminating a musical phrase or tone,toon_eindigend,YES,,,
,bn:01181265n,,relative_pitch,Relative pitch is the ability of a person to identify or re-create a given musical note by comparing it to a reference note and identifying the interval between those two notes.,relatief_gehoor,YES,,,
,bn:01181265n,,relative_pitch,Relative pitch is the ability of a person to identify or re-create a given musical note by comparing it to a reference note and identifying the interval between those two notes.,relatieve_toonhoogte,YES,,,
,bn:01560397n,,rekilaulu,Rekilaulu is a type of rhymed stanzaic folksong in Finland.,rekilaulu,YES,,,
,bn:01340341n,,"rehearsal_letter, rehearsal_number, rehearsal_mark","A rehearsal letter is a boldface letter of the alphabet in an orchestral score, and its corresponding parts, that provides the conductor, who typically leads rehearsals, with a convenient spot to tell the orchestra to begin at places other than the start of movements or pieces.",repetitie_brief,YES,,,
,bn:03192791n,,"regular_temperament, generator, tuning_generator, linear_temperament","Regular temperament is any tempered system of musical tuning such that each frequency ratio is obtainable as a product of powers of a finite number of generators, or generating frequency ratios.",regelmatige_temperament,YES,,,
,bn:00066905n,,registration,(music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops,registratie,YES,,,
,bn:00066905n,,registration,(music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops,registrant,YES,,,
,bn:03117862n,,"reggaeton, reggaetón, reggeaton, cubaton, reggueton, reaggaton, cuban_reggaeton, fussion_music, regueton, underground_reggaeton, reggaton, salsatón, reguetón, melaza, latino_urban, reggaetón_music, latin_reggae, 2000s_reggaeton, den_bow, ragaeton, cubatón","Reggaeton, also known as reggaetón and reguetón, is a music style that originated in Puerto Rico during the mid-1990s.",reggaeton,YES,,,
,bn:03117862n,,"reggaeton, reggaetón, reggeaton, cubaton, reggueton, reaggaton, cuban_reggaeton, fussion_music, regueton, underground_reggaeton, reggaton, salsatón, reguetón, melaza, latino_urban, reggaetón_music, latin_reggae, 2000s_reggaeton, den_bow, ragaeton, cubatón","Reggaeton, also known as reggaetón and reguetón, is a music style that originated in Puerto Rico during the mid-1990s.",reggaetón,YES,,,
,bn:03117862n,,"reggaeton, reggaetón, reggeaton, cubaton, reggueton, reaggaton, cuban_reggaeton, fussion_music, regueton, underground_reggaeton, reggaton, salsatón, reguetón, melaza, latino_urban, reggaetón_music, latin_reggae, 2000s_reggaeton, den_bow, ragaeton, cubatón","Reggaeton, also known as reggaetón and reguetón, is a music style that originated in Puerto Rico during the mid-1990s.",reggeaton,YES,,,
,bn:00994365n,,"reggae_rock, reggae_metal, reggae-rock, cali_reggae, rock_reggae, ragga_metal","Reggae rock is a subgenre of reggae fusion and rock music that primarily uses the genres reggae, rock and ska.",reggae_rock,YES,,,
,bn:03857299n,,"reggae_fusion, reggae-pop, reggae_pop, reggae/pop, euro_reggae, trap_dancehall, island-pop, island_pop, pop_reggae, reggaefusion, pop_dancehall, smooth_reggae","Reggae fusion is a genre of reggae that mixes reggae or dancehall with other genres, such as pop, rock, R&B, jazz and drum and bass.",reggae_fusion,YES,,,
,bn:01429963n,,"reggae_en_español, spanish_reggae, spanish_dancehall, reggae_en_espanol",Reggae en Español is reggae music recorded in the Spanish language by artists of Latin American origin.,reggae_en_español,YES,,,
,bn:01651800n,,"regal, regals","The regal is a small portable organ, furnished with beating reeds and having two bellows.",regaal,YES,,,
,bn:00266499n,,"re-edit, re_edit, reëdit, re-edited, reedits, reedit, reedited, re-edits, reediting, re-editing","In popular music, a re-edit is an altered version of a recorded song created by repeating, reordering, or removing sections of the original recording - for example, making a chorus repeat several times in a row, or extending the length of a break section.",re-edit,YES,,,
,bn:00066762n,,reed_stop,An organ stop with the tone of a reed instrument,tongwerk,YES,,,
,bn:00066759n,,"reed_pipe, cornopian, cornopean",Organ pipe with a vibrating reed,riet_pijp,YES,,,
,bn:00066759n,,"reed_pipe, cornopian, cornopean",Organ pipe with a vibrating reed,schalmei,YES,,,
,bn:00009412n,,"reed_instrument, reed, beating-reed_instrument",A musical instrument that sounds by means of a vibrating reed,riet,YES,,,
,bn:00009412n,,"reed_instrument, reed, beating-reed_instrument",A musical instrument that sounds by means of a vibrating reed,riet_instrument,YES,,,
,bn:00009412n,,"reed_instrument, reed, beating-reed_instrument",A musical instrument that sounds by means of a vibrating reed,afstraffing-riet_instrument,YES,,,
,bn:00066331n,,re-echo,The echo of an echo,re-echo,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.",pianouittreksel,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.",orkestuittreksel,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.",pianoreductie,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.",klavieruittreksel,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.",afname,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.",vermindering,YES,,,
,bn:03810970n,,"reduction, piano_reduction, orchestral_reduction, piano_transcription, conductor’s_part, condensed_score, musical_reduction, music_reduction, score_reduction, conductor's_part, piano_transcriptions","In music, a reduction is an arrangement or transcription of an existing score or composition in which complexity is lessened to make analysis, performance, or practice easier or clearer; the number of parts may be reduced or rhythm may be simplified, such as through the use of block chords.",reductie,YES,,,
,bn:02775658n,,red_dirt,Red dirt is a music genre that gets its name from the color of soil found in Oklahoma.,red_dirt,YES,,,
,bn:00889604n,,recurrent_rotation,Recurrent rotation refers to a group of songs still frequently aired on a contemporary hit radio station several months or even years after the initial debut.,terugkerende_rotatie,YES,,,
,bn:01790906n,,"recording_contract, record_deal, record_contract","A recording contract is a legal agreement between a record label and a recording artist, where the artist makes a record for the label to sell and promote.",platencontract,YES,,,
,bn:00066584n,,"recorder, recording_machine, recording_equipment",Equipment for making records,recorder,YES,,,
,bn:00066584n,,"recorder, recording_machine, recording_equipment",Equipment for making records,controleapparaat,YES,,,
,bn:00066584n,,"recorder, recording_machine, recording_equipment",Equipment for making records,opnameapparaat,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",producer,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",muziekproducent,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",platenproducer,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",muziekproducer,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",muziekproductie,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",muziek_producer,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",platenproducenten,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",muzikale_producer,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",recordproductie,YES,,,
,bn:03326757n,,"record_producer, music_production, music_producer, musical_producer, record_producers, record_production, music_producers, production, record_co-producer, purp_dogg, album_producer, sound_arranger, musical_production, producer, johnny_juliano, record_coproducer, sarom_soundz","A record producer or music producer is a recording project's creative and technical leader, commanding studio time and coaching artists, and in popular genres typically creates the song's very sound and structure.",muziek_productie,YES,,,
,bn:00066583n,,record_jacket,The jacket for a phonograph record,opnemen_jas,YES,,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",hitparade,YES,,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",hitlijsten,YES,,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",muziekhitlijst,YES,,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",hitlijst,YES,,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",chart,YES,,,
,bn:01036036n,,"record_chart, meletop, music_chart, singles_chart, hit_chart, record_charts, chart_position, chart_hit, music_charts, single_chart, hit_list, chilean_singles_chart, single_charts, top_20, singles_charts, top_10, popularity_chart, chart_topper, musical_chart, album_charts, hit_charts, chart-topper, pop_chart, albums_chart","A record chart, also called a music chart, is a ranking of recorded music according to certain criteria during a given period.",populariteit_grafiek,YES,,,
