wn_synset,bn:id,pos,lemmata EN,definition,lemmata DE,is it related to music
,bn:03283719n,n,tea_meeting,"The tea meeting tradition is a part of the culture of Saint Kitts and Nevis, Barbados and the Virgin Islands.",,CHECK
,bn:03286664n,n,music_of_georgia,"Georgia's musical history is diverse and substantial; the state's musicians include Southern rap groups such as Outkast and Goodie Mob, as well as a wide variety of rock, pop, blues, and country artists such as the late Ray Charles, Otis Redding, James Brown, and The Allman Brothers Band.",,CHECK
,bn:03290413n,n,tour_accountant,A Tour Accountant is responsible for the financial operations of a large scale concert tour.,,CHECK
,bn:03312949n,n,,यह भारत के राज्यों की अपनी सरकार के कर राजस्वानुसार सूची है जो वर्ष २००५ के लिए मूल्यांकित है। यह सूची बारहवें वित्त आयोग द्वारा जारी कि जाती है। सारे आँकड़े अरब रूपयों में हैं।,,CHECK
,bn:03315820n,n,"philippine_folk_music, filipino_folk_music, traditional_filipino_music, pinoy_folk, filipino_folk, traditional_philippine_music, filipino_traditional_music, traditional_music_of_the_philippines","The traditional music of the Philippines, like the folk music of other countries, reflects the life of common, mostly rural Filipinos.",,CHECK
,bn:03336883n,n,"newa_music, newari_music, newar_music","Newa Music, also spelled Newar Music, is traditional music developed in Nepal by the Newars.",,CHECK
,bn:03352337n,n,"bouyon_music, alternative_bouyon","Bouyon is a genre of Dominican music that originated in Dominica in the late 1980s mainly with the group ""WCK"", with names such as Derek ""Rah"" Peters on vocals, Cornell Phillips keys and vocals among others, while bands such as the ""Triple Kay"" are very popular with ""Carlyn XP"" being the undisputed MCs for having won numerous contests.",,CHECK
,bn:03354367n,n,"jazz_royalty, jazz_nobility","Jazz royalty is a term encompassing the many jazz musicians who have been termed as exceptionally musically gifted and informally granted honorific, ""aristocratic"" or ""royal"" titles as nicknames.",,CHECK
,bn:03356642n,n,gar,Gar music style is a Tibetan form of chanting and dancing.,,CHECK
,bn:03361586n,n,"romanian_rock, rock_music_in_romania",Romanian rock is a genre of popular music in Romania.,,CHECK
,bn:03361595n,n,"music_and_politics, political_music, politics_in_music, music_in_politics, folk_music_and_politics, politics_and_music","The connection between music and politics, particularly political expression in song, has been seen in many cultures.",,CHECK
,bn:03363847n,n,greek_punk,"The Greek punk scene was small but powerful in the Greek capital, Athens, in the 1980s.",,CHECK
,bn:03363940n,n,"pinoy_hip_hop, filo_rap, pinoy_hip-hop, filipino_hip_hop, filipino_hip-hop, list_of_filipino_hip_hop_artists, pinoy_rap, filipino_rap, list_of_filipino_hip_hop_musicians","Filipino hip-hop or Pinoy hip hop is hip hop music performed by musicians of Filipino descent, both in the Philippines and overseas, especially by Filipino-Americans.",,CHECK
,bn:03366518n,n,"music_of_rwanda, rwandan_music, rwandan_dance, rwanda_music","The music of Rwanda encompasses Rwandan traditions of folk music as well as contemporary East African Afrobeat and Congolese ndombolo, and performers of a wide variety of Western genres including hip-hop, R&B, gospel music and pop ballads.",,CHECK
,bn:03371505n,n,"music_and_mathematics, mathematics_and_music, normalizing_the_musical_scale, musical_kinetics, mathofthewesternmusicalscale, music_and_math, math_and_music, mathematics_of_the_western_music_scale, mathematics_of_musical_scales, mathematics_of_music, the_mathematics_of_western_music, underpinnings_of_musical_scales, math_of_western_music_scale","Music theory has no axiomatic foundation in modern mathematics, although some interesting work has recently been done in this direction, yet the basis of musical sound can be described mathematically and exhibits ""a remarkable array of number properties"".",,CHECK
,bn:03371652n,n,persian_symphonic_music,Persian symphonic music is a term that generally refers to musical pieces written by Persian composers to be played by Western ensembles and orchestras.,,CHECK
,bn:03383050n,n,"punto, the_punto",The punto is a musical genre typical of eastern Venezuela.,,CHECK
,bn:03385333n,n,"relief, profile","Relief, or profile, refers to the amount of curvature in the fingerboard of a guitar or other similar stringed instrument.",,CHECK
,bn:03391620n,n,"langgam_jawa, langgam_sawa",Langgam jawa is a regional form of Indonesian kroncong music most often associated with the city of Surakarta.,,CHECK
,bn:03404932n,n,"memphis_soul, memphis_soul_music","Memphis soul, also known as the Memphis sound, was the most prominent strain of Southern soul.",,CHECK
,bn:03427505n,n,,Optional.empty,,CHECK
,bn:03438223n,n,pacific_reggae,Pacific reggae is a style of reggae music found in the Pacific.,,CHECK
,bn:03461988n,n,"sophisti-pop, sophisticated_pop, sophistipop, sophisti_pop",Sophisti-pop is a subgenre of pop music.,,CHECK
,bn:03472362n,n,"brahmanippattu, brahmanippaattu",Brahmanippattu is a type of domestic devotional offering performed usually in connection with marriages.,,CHECK
,bn:03481118n,n,,Optional.empty,,CHECK
,bn:03481206n,n,party_in_the_park,"Party in the Park is the generic name given to music concerts organised by various radio stations and local authorities and groups in the United Kingdom, typically in large parks during the summer, however it is also used to refer to a family oriented event where people can literally have a Party in the Park.",,CHECK
,bn:03483177n,n,"ouch_noumra,_dourd_noumra,_besh_noumra,_alti_noumra, 3_nuemr@._4_nuemr@._5_nuemr@._6_nuemr@., 3_nümrə._4_nümrə._5_nümrə._6_nümrə.","Ouch noumra, dourd noumra, besh noumra, alti noumra are all dance melodies composed in the second half of the 1920s in Baku, capital city of Azerbaijan.",,CHECK
,bn:03487885n,n,baganda_music,Baganda music is a music culture developed by the people of Uganda with many features that distinguish African music from other world music traditions.,,CHECK
,bn:03496758n,n,french-canadian_music,"French Canadian music is music derived from that brought by the early French settlers to what is now Quebec and other areas throughout Canada, or any music performed by the French Canadian people.",,CHECK
,bn:03508849n,n,korean_contemporary_christian_music,Korean Contemporary Christian music refers to Contemporary Christian music written or played in South Korea.,,CHECK
,bn:03516361n,n,gaana,"Gaana is a style of Tamil music, originating in the local regions of Chennai in India.",,CHECK
,bn:03544145n,n,"warabe_uta, warabe-uta","Warabe uta are traditional Japanese songs, similar to nursery rhymes.",,CHECK
,bn:03548344n,n,south_african_jazz,South African jazz is the jazz of South Africa.,,CHECK
,bn:03549138n,n,"korean_hip_hop, k-hip_hop, hip_hop_in_south_korea, k-hiphop, k-rap, south_korean_hip_hop, korean_hip-hop, korean_rap, k-hip-hop","Korean hip hop, also known as K-hip hop, is a subgenre of hip hop music from South Korea.",,CHECK
,bn:03559097n,n,"new_jersey_hardcore, new_jersey_punk",New Jersey hardcore is hardcore punk and metalcore music created in New Jersey and to the subculture associated with that music.,,CHECK
,bn:03565746n,n,"noise_pop, noisepop, noise-pop",Noise pop is a subgenre of alternative or indie rock that developed in the mid-1980s in the United Kingdom and United States.,,CHECK
,bn:03575662n,n,,A Queen együttes fennállásának 20 éve alatt több mint 700 koncertet adott a világ minden táján.,,CHECK
,bn:03578150n,n,"mákina, makina, maquina, bakalao","Mákina is a subgenre of hardcore techno, originating in Spain.",,CHECK
,bn:03590391n,n,"blackfoot_music, blackfeet_music",Blackfoot music is the music of the Blackfoot people.,,CHECK
,bn:03602431n,n,"political_hip_hop, political_rap, conscious_rap, political_hip-hop, conscious_hip_hop, intelligent_rap_music, marxist_hip_hop, political_hiphop, conscious_hip-hop, post-hip_hop, rap_politique, conscious_rap_music",Political hip hop is a subgenre of hip hop music that was developed in the 1980s as a way of turning hip hop into a call for political and/or social action and a form of social activism.,,CHECK
,bn:03603363n,n,"houston_noise, houston_noise_bands","Houston noise is a subgenre of noise rock, centered in Houston, Texas.",,CHECK
,bn:03633698n,n,dutch_jazz,Dutch jazz refers to the jazz music of the Netherlands.,,CHECK
,bn:03643309n,n,"malaysian_rock, m_rock, mrock, m-rock",Malaysian underground music and idealism is popular locally and overseas.,,CHECK
,bn:03651284n,n,zindalii,Zindalii is an Algerian musical genre.,,CHECK
,bn:03714894n,n,"european_hip_hop, european_rap, europe_hip_hop",European hip hop is hip hop music created by European musicians.,,CHECK
,bn:03731511n,n,"er_ren_zhuan, errenzhuan, erren_zhuan, song_and_dance_duet, two-person_turnabout, two-singer_spin",Errenzhuan or Two-people Rotation is a genre of local folk dance and song from Northeast China.,,CHECK
,bn:03781266n,n,toeshey,Toeshey is a genre of traditional Tibetan dance music closely related to Nangma.,,CHECK
,bn:03785653n,n,panambih,"Panambih is metrical sung form of poetry, and a more modern version of the Tembang sunda of Indonesia.",,CHECK
,bn:03795229n,n,"japanese_reggae, j-reggae",Japanese reggae is reggae music originating from Japan.,,CHECK
,bn:03799791n,n,"moravian_church_music, moravian_music",The Moravian musical tradition in United States began with the earliest Moravian settlers in the first half of the 18th century.,,CHECK
,bn:03816996n,n,"hora_lungă, cintec_lung, cîntec_lung, hora_lunga","Hora lungă, is a Romanian regional folksong style characterized by the union of a lyrical text and improvisational melody.",,CHECK
,bn:03833026n,n,colombian_rock,Colombian Rock is rock music from Colombia.,,CHECK
,bn:03844959n,n,"australian_rock, aussie_rock, rock_music_in_australia, australian_rock_'n'_roll, australian_rock_music, australian_rock_‘n’_roll, oz_rock, australian_rock_and_roll","Rock music in Australia, also known as Oz rock, Australian rock and Aussie rock, is rock music from Australia.",,CHECK
,bn:03844957n,n,"australian_jazz, jazz_in_australia, aussie_jazz",Jazz music has a long history in Australia.,,CHECK
,bn:03855548n,n,"italian_progressive_rock, italian_wave, italian_symphonic_rock, rock_progressivo_italiano","The Italian progressive rock scene was born in the early 1970s, mostly inspired by the progressive rock movement in Britain, but with certain features of its own that make some sources mention it as a separate musical genre.",,CHECK
,bn:03869986n,n,music_of_the_african_diaspora,Music of the African diaspora was mostly refined and developed during the period of slavery.,,CHECK
,bn:03884798n,n,"music_of_the_former_netherlands_antilles, curacao_music, music_of_curacao, music_of_bonaire_and_curaçao, music_of_the_netherlands_antilles, music_of_netherlands_antilles_and_aruba, music_of_bonaire, bonaire_music, music_of_bonaire_and_curacao, music_of_aruba, dutch_antillean_music, music_of_saba, music_of_sint_eustatius, music_of_the_dutch_antilles, music_of_aruba_and_the_netherlands_antilles, curaçao_music, music_of_aruba_and_the_dutch_antilles, music_of_sint_maarten, music_of_saint_eustatius","The music of the former Netherlands Antilles is a mixture of native, African and European elements, and is closely connected with trends from neighboring countries such as Venezuela and Colombia and islands such as Puerto Rico, Cuba, Santo Domingo, Haiti, Martinique, Trinidad, Dominica, and Guadeloupe.",,CHECK
,bn:03887340n,n,"music_of_eswatini, music_of_swaziland, swazi_music","The music of Eswatini is composed of both ethnic Swazi music and varieties of folk music as well as modern genres such as rock, pop and hip hop, which has been popular in Eswatini since headed by bands such as Vamoose.",,CHECK
,bn:04627440n,n,,Zvončići su muzički instrument koji se ranije zvao „metalna harmonika“ — naziv harmonika nekada je označavao instrument koji se sastojao od niza kristalnih čaša koje su sticale određene visine prema količini vode nalivene u njih.,,CHECK
,bn:04721459n,n,,Le bratsch — braci dans l'orthographe roumaine — est un violon alto utilisé par les lăutari de la plaine de Transylvanie.,,CHECK
,bn:04748301n,n,,Le pena est une vièle monocorde rustique indienne jouée en Assam.,,CHECK
,bn:04763089n,n,,"En danse classique, l’adage est une suite de mouvements amples exécutés sur un tempo lent.",,CHECK
,bn:04803005n,n,,La nira est un instrument de musique à vent à six ou huit trous utilisé au Maroc.,,CHECK
,bn:04806523n,n,,Les bunde ou « tambours luo » est un instrument de musique traditionnel originaire du Kenya.,,CHECK
,bn:04822350n,n,,La charge est un instrument de musique médiéval.,,CHECK
,bn:04856495n,n,,L’asson ou açon est un instrument de musique d'Haïti.,,CHECK
,bn:08346680n,n,,Optional.empty,,CHECK
,bn:08346801n,n,,Optional.empty,,CHECK
,bn:08374690n,n,,Optional.empty,,CHECK
,bn:08385938n,n,,երաժշտական ալբոմ,,CHECK
,bn:08403368n,n,,"Catón en Útica es el título de la primera de las cuatro óperas serias que el italiano Pietro Metastasio escribió para el Teatro delle Dame de Roma, las otras tres fueron: Semíramis reconocida, Alejandro en la India y Artajerjes.",,CHECK
,bn:08411076n,n,,compositie van Wolfgang Amadeus Mozart,,CHECK
,bn:08430997n,n,,"Las cuecas del tío Roberto es un EP de los cantautores chilenos Ángel Parra y Roberto Parra, lanzado originalmente en Chile en 1971.",,CHECK
,bn:08446743n,n,,single,,CHECK
,bn:08452060n,n,,"Las dos canciones para alto, viola y piano, op. 91 fueron compuestas por Johannes Brahms entre 1863 y 1884, y publicadas en 1884.",,CHECK
,bn:08480471n,n,,"«Y además es imposible» es el sencillo adelanto del sexto álbum de estudio de la banda grandadina Los Planetas, Los Planetas contra la ley de la gravedad.",,CHECK
,bn:08480530n,n,,"Medusa es el título del EP debut del grupo granadino Los Planetas, producido por los componentes de Lagartija Nick Antonio Arias y Miguel A. Rodríguez.1​",,CHECK
,bn:08481454n,n,,Album by Los Planetas,,CHECK
,bn:08518321n,n,,"El tabal o tabalet és un instrument musical de percussió de forma cilíndrica, amb dues membranes –normalment de cuir–, que emet un so indeterminat.",,CHECK
,bn:08531217n,n,,El Concert per a clavecí num.,,CHECK
,bn:08547114n,n,,"El xerrac és un instrument de percussió tradicional de Mallorca, realitzat amb un bocí de canya en la qual es fan una sèrie de mòsses.",,CHECK
,bn:08563296n,n,,Oleander släpptes 1996 och är första EP-skivan av den amerikanska post-grunge-gruppen med samma namn.,,CHECK
,bn:08566207n,n,,Optional.empty,,CHECK
,bn:08566776n,n,,Singoalla är en svensk opera i fyra akter med musik av Gunnar de Frumerie.,,CHECK
,bn:08568094n,n,,"Joel är en opera baserad på den åländske författaren och bildkonstnären Joel Petterssons liv, med libretto av den finlandssvenske poeten Lars Huldén och musik av rockmusikern Nikolo Kotzev.",,CHECK
,bn:08571225n,n,,"Grabbhalvan är en opera för barn, med libretto av Bengt Malmros och musik av Björn Linnman.",,CHECK
,bn:08575306n,n,,Muziekalbum,,CHECK
,bn:08600840n,n,,"Saidiwas är Saidiwas självbetitlade debut-EP, utgiven 1996 av Desperate Fight Records.",,CHECK
,bn:08600913n,n,,"Mindjive är Mindjives självbetitlade andra EP, utgiven av Burning Heart Records 1995.",,CHECK
,bn:08605448n,n,,Muziekalbum,,CHECK
,bn:08607708n,n,,"Stranded är det svenska punkbandet No Fun at Alls andra EP-skiva, utgiven 1995.",,CHECK
,bn:08608367n,n,,"Power är det brittiska oi!-/streetpunk-bandet Gundogs debut-EP, utgiven som en 7""vinyl 1997 på vrittiska skivbolaget New Blood Records.",,CHECK
,bn:08608415n,n,,"Peepshows är en EP av det svenska garagerockbandet The Peepshows, utgiven 2003 på LP av det tyska skivbolaget Stereodrive!",,CHECK
,bn:08644029n,n,,Herr Arnes penningar är en radioopera med musik av Gösta Nystroem.,,CHECK
,bn:08648465n,n,,Optional.empty,,CHECK
,bn:08655019n,n,,"Kurfursten är ett studentspex i form av en komisk opera i en akt, tillkommen år 2003 vid Kungliga Tekniska högskolan i Stockholm.",,CHECK
,bn:08675083n,n,,William är en opera av B. Tommy Andersson med libretto av Håkan Lindquist.,,CHECK
,bn:08677135n,n,,Drinking song,,CHECK
,bn:08696747n,n,,երաժշտական ալբոմ,,CHECK
,bn:08730459n,n,,"Johann Sebastian Bachin säveltämistä konsertoista ylivoimaisesti tunnetuimpia ovat Brandenburgin varakreiville sävelletyt concerto grosso -muotoiset brandenburgilaiset konsertot BWV 1046 - 1051, mutta säveltäjä sävelsi konserttoja myös muille soittimille.",,CHECK
,bn:08731850n,n,,Iskelmä on Maij' Karman Kauniit Kuvat -yhtyeen EP. Levy ilmestyi vuonna 1997 yhtyeen oman Blomster Records -levymerkin kautta ja myöhemmin vuonna 1998 Megamanian kautta hieman erilaisella kannella.,,CHECK
,bn:08735041n,n,,"Kuilun partaalla on Timo Rautiainen & Trio Niskalaukauksen EP-levy, joka on julkaistu vuonna 2001.",,CHECK
,bn:08740296n,n,,Tasavalta on Nicolen vuonna 2007 julkaisema musiikki DVD. Tasavalta nousi ilmestymisviikollaan suomen virallisen musiikki-dvd listan sijalle 2.,,CHECK
,bn:08740295n,n,,"120 minuuttia on Nicolen vuonna 2004 julkaisema DVD. 120 minuuttia on ensimmäinen suomalainen omakustanne musiikki-DVD. Se sisältää kaksi livetaltiointia, neljä musiikkivideota ja bonusmateriaalia.",,CHECK
,bn:08743069n,n,,Lapset on Sielun Veljien vuonna 1983 julkaistu EP. Levyn kappaleet löytyvät Hei soturit -albumin CD-versiolta.,,CHECK
,bn:08743358n,n,,Kekkonen on Moogetmoogs -yhtyeen vuonna 1993 julkaistu neljän kappaleen CD-EP. Se äänitettiin Harasoo Studiossa vuosina 1992–1993.,,CHECK
,bn:08750447n,n,,Kontravirtanen on rockyhtye Kontravirtasen EP-levy vuodelta 1977.,,CHECK
,bn:08752952n,n,,"Score on Dream Theater -yhtyeen musiikki-DVD, joka julkaistiin 29.",,CHECK
,bn:08758843n,n,,"Kosmonautti on suomalaisen Folkswagen-yhtyeen EP-levy, joka julkaistiin 25.",,CHECK
,bn:08761913n,n,,"Maailmannäyttely on suomalaisen YUP-yhtyeen kappale ja EP, joka julkaistiin 8.",,CHECK
,bn:08762654n,n,,Tiernapojat on suomalaisen suomeksi laulavan heavy metal -yhtyeen Timo Rautiainen & Trio Niskalaukauksen vuonna 2002 julkaistu EP-levy.,,CHECK
,bn:08763413n,n,,"Lava on Ismo Alanko Teholla -yhtyeen DVD, joka julkaistiin 22.",,CHECK
,bn:08764811n,n,,Kinks on The Kinksin huhtikuussa 1968 julkaistu EP-levy.,,CHECK
,bn:08765333n,n,,Optional.empty,,CHECK
,bn:08766917n,n,,Optional.empty,,CHECK
,bn:08770152n,n,,Johann Sebastian Bachin viulusarjat ja -sonaatit BWV 1001 - 1006 kuuluvat sooloviulun keskeiseen ohjelmistoon.,,CHECK
,bn:08770882n,n,,Ö on elektro/hip hop -yhtye Ceebrolisticsin vuonna 2005 julkaistu EP. EP:n julkaisi EMI.,,CHECK
,bn:08771236n,n,,Lankakerä on Itkevä tyttö -rockyhtyeen kolmas EP-julkaisu.,,CHECK
,bn:08780875n,n,,Voitto on Kumikameli-yhtyeen vuonna 1994 ilmestynyt neljän kappaleen EP-levy.,,CHECK
,bn:08783519n,n,,Nimetön on lahtelaisen Raaka-Aine -yhtyeen EP-levy.,,CHECK
,bn:08787948n,n,,Muziekalbum,,CHECK
,bn:08841992n,n,,Cent'anni di solitudine è un extended play dei Modena City Ramblers pubblicato nel 1998.,,CHECK
,bn:08851259n,n,,Aes è un EP della band finlandese Skepticism.,,CHECK
,bn:08856382n,n,,"Cometa è il secondo EP del gruppo Marlene Kuntz, pubblicato nel 2001.",,CHECK
,bn:08862510n,n,,Nomadi & Omnia Symphony Orchestra live 2007 è un album live dei Nomadi registrato assieme alla Omnia Symphony Orchestra nei giorni 6 e 7 aprile 2007 presso il PalaBrescia di Brescia.,,CHECK
,bn:08874339n,n,,"Sindrome di fine millennio è il primo EP degli Uomini di mare, pubblicato nel 2000 in edizione limitata disponibile solo in vinile e contenente 8 tracce, divise in due lati.",,CHECK
,bn:08890330n,n,,"Offside è il quinto EP dei Pretty Maids, uscito nel 1992 per l'Etichetta discografica Epic Records.",,CHECK
,bn:08890341n,n,,"A domani è un EP, primo lavoro da solista dell'mc milanese Ape, uscito nel 2002, a seguito di varie esperienze maturate nel suo gruppo, i Trilamda.",,CHECK
,bn:08901011n,n,,"Nella struttura di un'opera lirica, oltre alla presenza dei personaggi principali e secondari, è prevista quella del coro.",,CHECK
,bn:08902815n,n,,Yuki EP è un EP degli Snuff pubblicato nel 1998.,,CHECK
,bn:08904317n,n,,"Lupi è un EP di Donatella Rettore, pubblicato nel 2002.",,CHECK
,bn:08909478n,n,,երաժշտական ալբոմ,,CHECK
,bn:08927817n,n,,Simfoni oleh Felix Mendelssohn,,CHECK
,bn:08937518n,n,,երաժշտական ալբոմ,,CHECK
,bn:08971183n,n,,"Richter è il primo EP del gruppo pop punk/ska punk statunitense Goldfinger, pubblicato il 1º febbraio 1995 da Mojo Records.",,CHECK
,bn:08974599n,n,,"In punta di piedi è l'unico EP della cantautrice pop italiana Nathalie, pubblicato il 23 novembre 2010 dall'etichetta discografica Sony Music in formato digitale.",,CHECK
,bn:08981752n,n,,Gennaio è un EP dei Diaframma pubblicato nel 1989 da Diaframma Records.,,CHECK
,bn:08982209n,n,,"Benzina è un EP del gruppo elettronico Subsonica, venduto in allegato con la rivista la Repubblica XL.",,CHECK
,bn:08985926n,n,,"Finalmente è il secondo lavoro discografico ed il primo EP del cantautore Virginio, pubblicato l'8 marzo 2011 dalla casa discografica Universal Music.",,CHECK
,bn:08992046n,n,,"Sogno ribelle è una raccolta di videoclip del gruppo musicale rock italiano Litfiba, pubblicata nel 1992 dalla Warner Music Italy.",,CHECK
,bn:08999009n,n,,"Discovery è un video del 1995, pubblicato dalla EMI il 7 agosto 1995, il cui contenuto è il concerto dei Pet Shop Boys tenuto a Rio de Janeiro, in Brasile, durante il loro DiscoVery Tour ",,CHECK
,bn:09001210n,n,dutch_house,Sottogenere di musica house,,CHECK
,bn:09006402n,n,,"Insurrezione è un EP split fra i gruppi Hardcore punk Affluente e Contrasto, pubblicato nel 2008.",,CHECK
,bn:09008382n,n,,Elda è un'opera in quattro atti di Alfredo Catalani su libretto di Carlo d'Ormeville.,,CHECK
,bn:09012113n,n,,Il Gli spari sopra tour è una tournée del cantautore italiano Vasco Rossi.,,CHECK
,bn:09024803n,n,,"Dal tramonto all'alba EP è un EP del DJ italiano DJ 3D e del rapper italiano Jesto, pubblicato nel 2010 dalla ALTOent e dalla Honiro Label.",,CHECK
,bn:09027142n,n,,"Fabrizio De André in concerto è un DVD del cantautore genovese Fabrizio De André, contenente il concerto integrale al Teatro Brancaccio di Roma nel 1998.",,CHECK
,bn:09027792n,n,,"Una partita a scacchi è un'opera in un atto di Pietro Abbà Cornaglia, su libretto basato sull'omonima leggenda drammatica di Giuseppe Giacosa.",,CHECK
,bn:09031133n,n,,"Marsa è un'opera in due atti di Carlo Coccia, su libretto di Giovanni Emanuele Bidera.",,CHECK
,bn:09033318n,n,,"Glauco è un'opera lirica di Alberto Franchetti, su libretto di Giovacchino Forzano tratto dal dramma omonimo di Ercole Luigi Morselli del 1919.",,CHECK
,bn:09034404n,n,,"Statira è un'opera in tre atti di Saverio Mercadante, su libretto di Domenico Bolognese.",,CHECK
,bn:09034406n,n,,"Violetta è un'opera in quattro atti di Saverio Mercadante, su libretto di Marco D'Arienzo.",,CHECK
,bn:09035050n,n,,"Il conte di Essex è un'opera in tre atti di Saverio Mercadante, su libretto di Felice Romani.",,CHECK
,bn:09043211n,n,,Giuliano è un'opera di Riccardo Zandonai su libretto di Arturo Rossato.,,CHECK
,bn:09045653n,n,,Antibes è il primo EP della band giapponese Symphonic metal Ancient Myth.,,CHECK
,bn:09057289n,n,,Polyphony è il sesto EP del gruppo musicale power metal giapponese Dragon Guardian.,,CHECK
,bn:09064653n,n,,Gioventù bruciata è un EP del gruppo musicale hardcore punk romano Bloody Riot.,,CHECK
,bn:09071683n,n,,"Goccia è il primo EP della cantante italiana Cristina Donà, pubblicato nel giugno del 2000 dalla Mescal.",,CHECK
,bn:09211452n,n,,"For alternative betydninger, se Den lille Havfrue.",,CHECK
,bn:09724930n,n,,طاقم موسيقي,,CHECK
,bn:09916552n,n,,《Ego》는 가수 백지영의 첫 번째 EP 음반이다.,,CHECK
,bn:09917286n,n,,երաժշտական ալբոմ,,CHECK
,bn:10425951n,n,,"'77 is een Spaanse hardrockband, opgericht door de broers Armand en L.G. Valeta.",,CHECK
,bn:10479310n,n,,Optional.empty,,CHECK
,bn:10511077n,n,,De kalenga of kalengo is een Nigeriaanse heuptrommel.,,CHECK
,bn:10543142n,n,,"På tokt med Mathilde er en musikk-EP med Berent Andreas Moe, Kåre Siem, Lauritz Johnson og Ulf Wengård, utgitt i 1962.",,CHECK
,bn:10547130n,n,,"La dem ikke lure deg er en musikk-EP med Bannlyst, utgitt i 1985.",,CHECK
,bn:10547577n,n,,"Påfyll er en musikk-EP med Tungtvann, utgitt den 11.",,CHECK
,bn:10547682n,n,,"Bovak er en musikk-EP med Gode Ord Dør Sist, utgitt i 2002.",,CHECK
,bn:10548251n,n,,"Jessheim er en musikk-EP med Diaz, utgitt i 2003.",,CHECK
,bn:10568234n,n,,"L'opera Querini è basata sulla storia del nobile mercante veneziano Pietro Querini che trovò rifugio a Røst in Norvegia in gennaio 1432 dopo un naufragio, e tornò in patria nell'autunno successivo, portando con sé una documentazione di inestimabile importanza riguardo agli usi e ai costumi degli abitanti del Nord.",,CHECK
,bn:10596530n,n,,"Universitetets symfoniorkester, Oslo, tidligere Studenterorkesteret, er et amatørorkester fra Oslo.",,CHECK
,bn:10610884n,n,,طاقم موسيقي,,CHECK
,bn:10833664n,n,,երաժշտական ալբոմ,,CHECK
,bn:10837914n,n,,երաժշտական ալբոմ,,CHECK
,bn:10839176n,n,,Verano é o segundo extended play da banda brasileira Cine lançado em 7 de abril de 2013 pela gravadora Panic!,,CHECK
,bn:10840438n,n,,"Cabal é um extended play do cantor brasileiro C4bal, Foi lançado em 2007 através da Universal Music.",,CHECK
,bn:10845249n,n,,"DVD do grupo Cuidado que Mancha lançado em 2006, contendo três espetáculos para crianças gravados ao vivo no Teatro Bruno Kiefer, em Porto Alegre: ""A Mulher gigante"", ""A Família Sujo"" e ""O Natal de Natanael"".",,CHECK
,bn:10862250n,n,,Concret é uma banda de metal progressivo brasileira formada em 2012.,,CHECK
,bn:11216276n,n,,2003 song with lyrics by Boris Grebenshchikov performed by Aquarium,,CHECK
,bn:11248835n,n,,"В этой статье представлен полный список серий аниме Trigun с кратким описанием сюжета и их названиями на японском и английском языке, а также одна из версий перевода оригинальных названий на русский.",,CHECK
,bn:11424937n,n,,طاقم موسيقي,,CHECK
,bn:11439606n,n,,երաժշտական ալբոմ,,CHECK
,bn:11467998n,n,,Berget (eng.,,CHECK
,bn:11590510n,n,,Lira är ett namn på olika stråkinstrument med ursprung i lyran.,,CHECK
,bn:11720917n,n,,"Si Alicia Beth Moore na mas kilala bilang Pink ay pinanganak noong Septyembre 8, 1979.",,CHECK
,bn:11728837n,n,,երաժշտական ալբոմ,,CHECK
,bn:11817133n,n,,երաժշտական ալբոմ,,CHECK
,bn:12145845n,n,,Richard Sư tử Tâm là vở opera 3 màn của nhà soạn nhạc người Pháp gốc Bỉ André Grétry.,,CHECK
,bn:12147237n,n,,"Polonaise cung Sol thứ, B.1 là tác phẩm polonaise đầu tiên và cũng là tác phẩm đầu tiên của nhà soạn nhạc người Ba Lan Frédéric Chopin.",,CHECK
,bn:12147236n,n,,"Concerto số 1 cho piano cung Fa thứ, Op.",,CHECK
,bn:12147316n,n,,"Concerto số 1 cho piano, cung Fa thăng thứ, Op.",,CHECK
,bn:12147325n,n,,"Con đầm pích, Op.",,CHECK
,bn:12203529n,n,,幸福是香港歌手陳奕迅於1999年11月發行的粵語EP，專輯分為兩部分，第一部分為新曲，另一部分為舊曲番唱，全碟合共有11首歌曲。,,CHECK
,bn:12321191n,n,,երաժշտական ալբոմ,,CHECK
,bn:12327156n,n,,երաժշտական ալբոմ,,CHECK
,bn:12360050n,n,,երաժշտական ալբոմ,,CHECK
,bn:12368710n,n,,《盆栽》是周慧敏的粤语EP，於2011年3月28日推出。,,CHECK
,bn:12379174n,n,,երաժշտական ալբոմ,,CHECK
,bn:12384404n,n,,երաժշտական ալբոմ,,CHECK
,bn:12385690n,n,,երաժշտական ալբոմ,,CHECK
,bn:12402753n,n,,《完整愛》是香港女子團體Twins成員鍾欣潼的第二張個人國語EP，亦是第四張個人專輯。,,CHECK
,bn:12405044n,n,,《希望》是台灣音樂人李宗盛的首張EP，於1993年9月發行。,,CHECK
,bn:12410557n,n,,երաժշտական ալբոմ,,CHECK
,bn:12414450n,n,,երաժշտական ալբոմ,,CHECK
,bn:12837338n,n,,"Süleyman Ələsgərovun ikinci operası ""Solğun çiçəklər""dir.",,CHECK
,bn:12837346n,n,,İsgəndər və Çoban uşaq operası Bakı pioner evinin sifarişi ilə bəstəkar Soltan Hacıbəyov tərəfindən 1947ci ildə yazılmışdır.,,CHECK
